panel,reference_ligands,seed,raw_docking__raw_experiment,raw_docking__centered_experiment,centered_docking__raw_experiment,centered_docking__centered_experiment
DAVIS,15000,11,0.045692765946279315,0.2594382990635402,0.21597361641450927,0.2785524019472766
PKIS2,15000,11,-0.21854199197820032,0.23775582061611272,0.03425929570873082,0.28756096174117673
PKIS1,15000,11,-0.16216194937605796,0.170750611257638,0.06375712404921555,0.17646647158909493
KiRHub,15000,11,-0.0314599762932637,0.27288203055632104,0.23872158581444888,0.32242998421008895
DAVIS,15000,29,0.05044111150476541,0.26369676372431955,0.2135994436352662,0.270696811837622
PKIS2,15000,29,-0.2083069803653987,0.24361339649297767,0.0337256754451574,0.27692179838776704
PKIS1,15000,29,-0.1589164884287508,0.1730583002007637,0.05651213548705972,0.16684381109842672
KiRHub,15000,29,-0.024823839703971975,0.2743394262269986,0.23532391187392568,0.3115721240273459
DAVIS,15000,47,0.047081928206204875,0.26823341075201096,0.222761965997017,0.28497334085650433
PKIS2,15000,47,-0.2193327997130698,0.24568139371115397,0.03438351550779217,0.28992988579651574
PKIS1,15000,47,-0.16529718712138114,0.17604132495287084,0.059675366426537556,0.17611655666216153
KiRHub,15000,47,-0.03249397490235187,0.2781447510573992,0.2400180206187371,0.32568244345593483
DAVIS,15000,71,0.049996719547560006,0.26552331964291187,0.21663495562641336,0.2798330905798528
PKIS2,15000,71,-0.21523529591867982,0.24731899556920225,0.033538470959248036,0.2896359572578917
PKIS1,15000,71,-0.1600694581129963,0.17640523647688158,0.057143731930174475,0.17306704807393705
KiRHub,15000,71,-0.03052745301298622,0.27898804603130867,0.23407296601013883,0.322844633398505
DAVIS,15000,97,0.05749014770783854,0.2672711447029441,0.21321803636490883,0.27818324169936187
PKIS2,15000,97,-0.20257887301149913,0.24673813679049283,0.031948107616335784,0.2838081241498161
PKIS1,15000,97,-0.15298892956649918,0.17426200754941454,0.05699326851159313,0.1754517183009881
KiRHub,15000,97,-0.016842280220621363,0.2815879139384237,0.23621444536297118,0.32271166572627036
