panel,resampling_scheme,resampling_unit,resampled_units,replicates,seed,observed_delta_d,bootstrap_mean,bootstrap_median,bootstrap_sd,bootstrap_bias,interval_95_low,interval_95_high,interval_90_low,interval_90_high,basic_interval_95_low,basic_interval_95_high,basic_interval_90_low,basic_interval_90_high,minimum,maximum,fraction_of_replicates_at_or_below_zero
DAVIS,combined,butina_0.65,69,5000,23261006,0.0163917647521947,0.0240255175999018,0.0233069584957156,0.0167198186351439,0.00763375284770708,-0.0065354485690666,0.0582474073490882,-0.00228872317479929,0.052718620285443,-0.0254638778446988,0.0393189780734561,-0.0199350907810536,0.0350722526791887,-0.0312940130843918,0.0857763956138164,0.069
DAVIS,combined,compound,72,5000,23260806,0.0163917647521947,0.023306305557581,0.022562514488665,0.0170516973248513,0.00691454080538625,-0.00798085965349674,0.0601969146251316,-0.00348384049128068,0.0524787536030302,-0.0274133851207422,0.0407643891578862,-0.0196952240986407,0.0362673699956701,-0.030771518674522,0.108422889684945,0.0788
DAVIS,combined,murcko,72,5000,23260906,0.0163917647521947,0.0234464254572915,0.0223980544730062,0.0170466969692493,0.00705466070509675,-0.00758444978064716,0.0590977006215365,-0.00298661138010815,0.0529121232400372,-0.026314171117147,0.0403679792850366,-0.0201285937356478,0.0357701408844976,-0.0336810612919734,0.0871270672317792,0.072
DAVIS,docking_only,dockstring_chemical_group,99985,5000,21260806,0.0163917647521947,0.0150508704571202,0.0150209730259332,0.00321173771063151,-0.00134089429507455,0.00903283514195616,0.0213098190502434,0.00982657341433874,0.0204353816478369,0.011473710454146,0.0237506943624333,0.0123481478565526,0.0229569560900507,0.00413599443635271,0.0306927878159624,0
DAVIS,docking_only,dockstring_molecule,259579,5000,22260806,0.0163917647521947,0.0158962887148063,0.0158546453393521,0.00143889008377646,-0.000495476037388427,0.0130672230314006,0.0187204923303023,0.0135363714696865,0.0183463020553128,0.0140630371740871,0.0197163064729889,0.0144372274490767,0.0192471580347029,0.0108666080559165,0.0215250167303074,0
DAVIS,experimental_only,butina_0.65,69,5000,23261006,0.0163917647521947,0.0252894024102585,0.024842210237636,0.0164475133132959,0.00889763765806374,-0.0049292953150765,0.0591277495658869,-0.00099227125405141,0.0535656768448171,-0.0263442200614975,0.037712824819466,-0.0207821473404276,0.0337758007584409,-0.0310184529099147,0.097194119679653,0.057
DAVIS,experimental_only,compound,72,5000,23260806,0.0163917647521947,0.0245870253339173,0.0239018138715024,0.0167020865161481,0.00819526058172257,-0.00667178417247305,0.0602557003328566,-0.00183110481264253,0.0530894426292609,-0.0274721708284671,0.0394553136768625,-0.0203059131248714,0.034614634317032,-0.0354078914563895,0.10658758589318,0.0608
DAVIS,experimental_only,murcko,72,5000,23260906,0.0163917647521947,0.024716907498905,0.0238397039719719,0.0166407529915984,0.00832514274671029,-0.00572522055575246,0.0602576248649548,-0.00129643480428809,0.0537376600314049,-0.0274740953605653,0.0385087500601419,-0.0209541305270154,0.0340799643086775,-0.0322936486066824,0.0862890209817738,0.058
KiRHub,combined,compound,92,5000,23290806,0.0454766934788978,0.0420691564863293,0.0418008371714627,0.0141981542899179,-0.00340753699256855,0.0145471444754995,0.0701652473242441,0.0188653133706867,0.0662008424201865,0.0207881396335516,0.0764062424822961,0.0247525445376091,0.0720880735871089,-0.0139458594129302,0.0917074536253372,0.0006
KiRHub,docking_only,dockstring_chemical_group,99985,5000,21260806,0.0454766934788978,0.044361577941363,0.0442554903839003,0.00373566015661175,-0.00111511553753486,0.0375194968223354,0.0517944512240462,0.0384046503693788,0.0505582455265565,0.0391589357337494,0.0534338901354603,0.0403951414312392,0.0525487365884168,0.0320784509266187,0.0620941533589646,0
KiRHub,docking_only,dockstring_molecule,259579,5000,22260806,0.0454766934788978,0.0452068940238904,0.0452046346232071,0.00145779400883323,-0.000269799455007463,0.0423519094420169,0.048053860655128,0.0428015063837604,0.0476095999160205,0.0428995263026676,0.0486014775157788,0.0433437870417752,0.0481518805740352,0.0400967514772971,0.0504839760833147,0
