matrix,minimum_hits_per_library,n_targets,group,n_compounds,metric,observed,null_mean,null_sd,null_q025,null_q975,observed_over_null_mean,lower_tail_probability
nanomolar,1,112,KCGS,187,raw_correlation_pr,29.435772414,45.886733895,2.44806658704,41.8312090873,50.7096948616,0.641487635214,0.00497512437811
nanomolar,1,112,KCGS,187,residual_correlation_pr,28.4138775618,44.5392765281,2.02718420545,41.0682615741,48.4833225942,0.637951035058,0.00497512437811
nanomolar,1,112,KCGS,187,z_then_row_correlation_pr,28.3116892532,46.7111447546,2.6792129354,42.2187273212,51.9340686764,0.606101379059,0.00497512437811
nanomolar,1,112,KCGS,187,raw_covariance_pr,29.0907620009,36.4960827853,0.442147246241,35.6548558113,37.2699232013,0.797092722854,0.00497512437811
nanomolar,1,112,KCGS,187,residual_covariance_pr,29.3668886419,39.3247030127,0.40886133827,38.5562410274,40.1311149351,0.74677966754,0.00497512437811
nanomolar,1,112,KCGS,187,z_then_row_covariance_pr,30.9801934897,48.3367595068,2.42395020596,44.1452476413,52.9576839427,0.640924087709,0.00497512437811
nanomolar,1,112,PKIS_exclusive,299,raw_correlation_pr,30.5122978143,51.7488346913,1.46177631154,48.6607410071,54.2231794776,0.589622896753,0.00497512437811
nanomolar,1,112,PKIS_exclusive,299,residual_correlation_pr,28.9574164723,49.1217322373,0.811818839248,47.3380712692,50.5261313799,0.589503161908,0.00497512437811
nanomolar,1,112,PKIS_exclusive,299,z_then_row_correlation_pr,30.6306616517,56.1803973916,1.76058095627,52.5210841115,59.3680514794,0.54521973987,0.00497512437811
nanomolar,1,112,PKIS_exclusive,299,raw_covariance_pr,21.3228425903,34.5120029764,0.593095829932,33.1573436832,35.5052893163,0.61783845478,0.00497512437811
nanomolar,1,112,PKIS_exclusive,299,residual_covariance_pr,22.3531356193,41.5396505998,0.451729425868,40.5489022694,42.2960808671,0.53811563883,0.00497512437811
nanomolar,1,112,PKIS_exclusive,299,z_then_row_covariance_pr,31.9972314411,56.7222897903,1.7561921128,53.0871143285,59.915778556,0.564103310345,0.00497512437811
nanomolar,1,112,PKIS2_exclusive,470,raw_correlation_pr,18.4705522573,27.1620387653,0.418337145818,26.2607426024,27.8504498814,0.68001347089,0.00497512437811
nanomolar,1,112,PKIS2_exclusive,470,residual_correlation_pr,19.8257181641,38.7879123508,0.670431872517,37.593812681,39.9753805651,0.511131354138,0.00497512437811
nanomolar,1,112,PKIS2_exclusive,470,z_then_row_correlation_pr,27.6877787012,57.2224569345,1.38683804595,54.2826169394,59.2175018948,0.483862109117,0.00497512437811
nanomolar,1,112,PKIS2_exclusive,470,raw_covariance_pr,13.0923453705,19.1239275798,0.355496047957,18.4858453005,19.826839914,0.684605466938,0.00497512437811
nanomolar,1,112,PKIS2_exclusive,470,residual_covariance_pr,21.223103832,46.3392578207,0.546293014991,45.2773290483,47.3326164044,0.457994038535,0.00497512437811
nanomolar,1,112,PKIS2_exclusive,470,z_then_row_covariance_pr,29.6247764924,56.7839158529,1.46044407489,53.8035905394,59.0530715883,0.521710700071,0.00497512437811
nanomolar,1,112,Roche,222,raw_correlation_pr,14.013733637,24.9226362663,0.981696578195,23.0177319563,26.7215187716,0.562289377706,0.00497512437811
nanomolar,1,112,Roche,222,residual_correlation_pr,13.2046822604,27.3966609515,0.532834315798,26.140295716,28.3291781613,0.481981445979,0.00497512437811
nanomolar,1,112,Roche,222,z_then_row_correlation_pr,16.8345614929,37.9577217085,2.11923020156,33.9252509809,42.0862586428,0.443508217438,0.00497512437811
