matrix,minimum_hits_per_library,n_targets,group,n_compounds,raw_correlation_pr,residual_correlation_pr,z_then_row_correlation_pr,raw_covariance_pr,residual_covariance_pr,z_then_row_covariance_pr,mean_hits_per_compound
nanomolar,1,112,KCGS,187,29.435772414,28.4138775618,28.3116892532,29.0907620009,29.3668886419,30.9801934897,2.40106951872
nanomolar,1,112,PKIS_exclusive,299,30.5122978143,28.9574164723,30.6306616517,21.3228425903,22.3531356193,31.9972314411,3.01337792642
nanomolar,1,112,PKIS2_exclusive,470,18.4705522573,19.8257181641,27.6877787012,13.0923453705,21.223103832,29.6247764924,4.20638297872
nanomolar,1,112,Roche,222,14.013733637,13.2046822604,16.8345614929,10.5840876257,13.2036804436,19.4767549252,4.84684684685
nanomolar,2,65,KCGS,187,28.0498857618,27.2388728177,27.1401739488,24.3580890923,24.1239731063,28.0025218565,1.90374331551
nanomolar,2,65,PKIS_exclusive,299,24.7422910274,23.2542453326,24.7328108417,17.1983150012,17.9416693777,25.3802931534,2.45484949833
nanomolar,2,65,PKIS2_exclusive,470,15.971493958,21.7755788842,23.404496516,13.4258580473,19.9402033235,23.8532321338,3.1
nanomolar,2,65,Roche,222,12.5257409379,14.215639517,14.8091183465,10.1657623662,11.5261365234,15.9136632517,3.72522522523
nanomolar,3,48,KCGS,187,24.7829017462,24.1024840104,24.0776702305,21.2072012298,20.8108782085,24.2996777068,1.65240641711
nanomolar,3,48,PKIS_exclusive,299,19.9931649348,19.7637096205,20.2674285655,15.0430489037,15.7193561523,20.8657425312,2.16387959866
nanomolar,3,48,PKIS2_exclusive,470,14.6120137505,19.8377876871,20.4321846792,12.8279135609,17.5613118518,20.8886047486,2.41914893617
nanomolar,3,48,Roche,222,12.9998362175,14.6495135468,15.3474179246,9.69094011152,10.4901094286,15.9655864914,3.31981981982
nanomolar,4,34,KCGS,187,19.7806437328,19.1207860349,19.0784942825,17.5750637968,17.0921676104,19.4396363196,1.35828877005
nanomolar,4,34,PKIS_exclusive,299,16.1075596317,16.0231559315,16.3787794521,12.5967040688,12.9091857881,16.8534969802,1.7491638796
nanomolar,4,34,PKIS2_exclusive,470,11.5796821162,16.3926409706,16.616912044,10.8529510644,14.2583683952,16.9783634791,1.9170212766
nanomolar,4,34,Roche,222,11.3452182547,12.3669891135,13.0099800574,8.00633514243,8.41187972609,13.4211686361,2.72072072072
nanomolar,5,26,KCGS,187,16.704874335,15.701010714,15.695954011,14.8831727514,14.2906923843,16.0303406803,1.17647058824
nanomolar,5,26,PKIS_exclusive,299,14.6569555711,13.8984135223,14.3570163725,10.9089459186,10.9864165994,14.8169425989,1.4983277592
nanomolar,5,26,PKIS2_exclusive,470,10.8150495415,13.3926947153,13.4763095104,9.97891086098,11.9927720047,13.8450587733,1.61914893617
nanomolar,5,26,Roche,222,10.3999778336,11.2535903452,11.8322569695,7.31728173648,7.53860040559,11.881672171,2.25675675676
all_calls,1,186,KCGS,187,40.0744987799,39.6097293213,39.6189765505,42.3056762975,43.1651923926,42.6186311946,5.29411764706
all_calls,1,186,PKIS_exclusive,299,38.4784603851,36.0309133374,40.8070801742,27.3640855306,30.1478685503,42.8192502702,6.41471571906
all_calls,1,186,PKIS2_exclusive,470,19.6226867284,29.3130797932,36.8886225555,16.5507186485,30.9239638489,40.5795999387,8.31276595745
all_calls,1,186,Roche,222,17.4959205606,15.7507276107,23.1479125285,11.9183239216,16.885685635,26.961413019,8.27927927928
all_calls,2,127,KCGS,187,38.4378509353,38.6000577757,38.2470076679,37.0648490233,37.4879143016,39.9624730707,4.49732620321
all_calls,2,127,PKIS_exclusive,299,32.0324591758,32.0739947758,34.5359396943,23.6422659008,26.3565420415,35.7451988785,5.65217391304
all_calls,2,127,PKIS2_exclusive,470,18.7451958453,31.4869692455,34.137914447,16.635373438,29.3202463749,36.1316406866,6.62127659574
all_calls,2,127,Roche,222,16.2207593415,19.1937545322,21.5539131724,12.723046296,16.3152078189,23.5146994797,6.98648648649
all_calls,3,92,KCGS,187,36.0673720701,36.1807005691,36.1190203558,33.0563511202,33.0939426344,36.6372412125,3.87700534759
all_calls,3,92,PKIS_exclusive,299,30.4111028155,30.1177024847,32.4750272329,21.3606274607,23.7724572419,33.3131741432,4.88628762542
all_calls,3,92,PKIS2_exclusive,470,19.0186141587,30.3720634464,32.7380583349,16.4577788805,27.3955581142,34.114801245,5.39361702128
all_calls,3,92,Roche,222,17.2511940696,19.6348487119,21.6849345955,12.247468367,14.8028075658,23.1860527651,6.0990990991
all_calls,4,72,KCGS,187,32.8542827236,32.7424791246,32.7653217783,29.7370367035,29.5969593366,33.0857684911,3.38502673797
