target_a,target_b,primary_replicated_positive,number_of_panels_in_top_10_percent,DAVIS_centered_pair_percentile,PKIS2_centered_pair_percentile,PKIS1_centered_pair_percentile,mean_experimental_centered_pair_percentile,raw_docking_pair_percentile,centered_docking_pair_percentile,receptor_domain_sequence_identity,klifs_pocket_identity,same_klifs_group,same_klifs_family,same_nonempty_klifs_subfamily
ABL1,AKT1,False,0,0.0973684210526315,0.0710526315789473,0.1289473684210526,0.0991228070175438,0.0447368421052631,0.0026315789473684,0.2123076923076923,0.32941176470588235,False,False,False
ABL1,AKT2,False,0,0.0552631578947368,0.0026315789473684,0.1236842105263157,0.0605263157894736,0.2078947368421052,0.3236842105263158,0.2017045454545454,0.3058823529411765,False,False,False
ABL1,CDK2,False,0,0.1605263157894736,0.3815789473684211,0.5078947368421053,0.35,0.1394736842105263,0.0868421052631579,0.2113564668769716,0.4,False,False,False
ABL1,CSF1R,False,1,0.8605263157894737,0.9078947368421052,0.7710526315789473,0.8464912280701755,0.2026315789473684,0.6236842105263158,0.3089700996677741,0.5058823529411764,True,False,False
ABL1,EGFR,False,0,0.55,0.2552631578947368,0.3394736842105263,0.3815789473684211,0.2605263157894736,0.3868421052631579,0.3125,0.5529411764705883,True,False,False
ABL1,FGFR1,False,0,0.4078947368421052,0.6289473684210526,0.3973684210526316,0.4780701754385965,0.5447368421052632,0.9710526315789474,0.3608247422680412,0.5294117647058824,True,False,False
ABL1,IGF1R,False,0,0.1710526315789473,0.1289473684210526,0.2131578947368421,0.1710526315789473,0.0394736842105263,0.1342105263157894,0.363013698630137,0.5882352941176471,True,False,False
ABL1,JAK2,False,0,0.3236842105263158,0.1868421052631579,0.281578947368421,0.2640350877192982,0.1078947368421052,0.1973684210526315,0.2964169381107492,0.49411764705882355,True,False,False
ABL1,KDR,True,2,0.4342105263157895,0.9552631578947368,0.9342105263157896,0.7745614035087719,0.3815789473684211,0.9657894736842104,0.3119266055045872,0.49411764705882355,True,False,False
ABL1,KIT,False,1,0.8657894736842106,0.8921052631578947,0.913157894736842,0.8903508771929824,0.4447368421052631,0.9447368421052632,0.2822085889570552,0.5176470588235295,True,False,False
ABL1,LCK,True,3,0.9815789473684212,0.9342105263157896,0.9710526315789474,0.962280701754386,0.2131578947368421,0.3763157894736842,0.3716216216216216,0.5647058823529412,True,False,False
