panel,arm,docking_support,docking_support_ligands,docking_transform,experimental_endpoint,experimental_endpoint_ligands,targets,target_pairs,spearman,target_label_qap_p_positive,target_label_qap_null_lower_95,target_label_qap_null_upper_95,target_label_qap_permutations,seed
DAVIS,manuscript_reference,broad_dockstring_deleaked,259806,center_then_correlation,centred_experimental_geometry_full_panel,72,20,190,0.27976660674373544,0.00522,-0.1050461231613064,0.1794779269290152,49999,20260806
DAVIS,matched_support,exact_inchikey_matched_compounds,59,center_then_correlation,centred_experimental_geometry_matched_compounds,59,20,190,0.32340274770696376,0.00066,-0.1224944560353764,0.15712028763006988,49999,20260807
DAVIS,broad_support,broad_dockstring_deleaked,259806,center_then_correlation,centred_experimental_geometry_matched_compounds,59,20,190,0.2977224912193223,0.00506,-0.10461520292878794,0.18296342951619848,49999,20260808
DAVIS,matched_support_raw_docking,exact_inchikey_matched_compounds,59,raw,centred_experimental_geometry_matched_compounds,59,20,190,0.3330481526678826,0.00028,-0.13774497325337776,0.164774239263079,49999,20260809
DAVIS,broad_support_raw_docking,broad_dockstring_deleaked,259806,raw,centred_experimental_geometry_matched_compounds,59,20,190,0.2867019205955552,0.00678,-0.11083651537220013,0.2017013738534818,49999,20260810
DAVIS,propensity_matched_support,broad_dockstring_knn_matched_k100,5900,center_then_correlation,centred_experimental_geometry_matched_compounds,59,20,190,0.2533445306109952,0.00736,-0.10711053375148168,0.17817335660267572,49999,20260812
DAVIS,matched_support_21_kinase_sensitivity,exact_inchikey_matched_compounds,59,center_then_correlation,centred_experimental_geometry_matched_compounds_21_kinases,59,21,210,0.3004454263621138,0.00062,-0.1177593920173117,0.15131402396555796,49999,20760806
DAVIS,broad_support_21_kinase_sensitivity,broad_dockstring_deleaked,259806,center_then_correlation,centred_experimental_geometry_matched_compounds_21_kinases,59,21,210,0.29967832117994253,0.00308,-0.10027056007100905,0.17368058232612957,49999,20760807
PKIS2,manuscript_reference,broad_dockstring_deleaked,259806,center_then_correlation,centred_experimental_geometry_full_panel,645,20,190,0.2872582853293793,0.0047,-0.10371093527886033,0.1829584432284898,49999,21260806
PKIS2,matched_support,exact_inchikey_matched_compounds,154,center_then_correlation,centred_experimental_geometry_matched_compounds,154,20,190,0.30996251536345226,0.0023,-0.10978029716525169,0.17337147406036876,49999,21260807
PKIS2,broad_support,broad_dockstring_deleaked,259806,center_then_correlation,centred_experimental_geometry_matched_compounds,154,20,190,0.3251103325503987,0.00254,-0.10141024463427328,0.1839286698421446,49999,21260808
PKIS2,matched_support_raw_docking,exact_inchikey_matched_compounds,154,raw,centred_experimental_geometry_matched_compounds,154,20,190,0.3491407401575492,0.00066,-0.10869748542385632,0.1678223481915959,49999,21260809
PKIS2,broad_support_raw_docking,broad_dockstring_deleaked,259806,raw,centred_experimental_geometry_matched_compounds,154,20,190,0.30692000507376643,0.00256,-0.09569210985579131,0.17910203081875714,49999,21260810
PKIS2,propensity_matched_support,broad_dockstring_knn_matched_k100,15400,center_then_correlation,centred_experimental_geometry_matched_compounds,154,20,190,0.32931456039750334,0.00304,-0.10246838737331986,0.18369886321388054,49999,21260812
PKIS2,matched_support_21_kinase_sensitivity,exact_inchikey_matched_compounds,154,center_then_correlation,centred_experimental_geometry_matched_compounds_21_kinases,154,21,210,0.32608254803315917,0.0016,-0.1070135053272993,0.16785842244560104,49999,21760806
PKIS2,broad_support_21_kinase_sensitivity,broad_dockstring_deleaked,259806,center_then_correlation,centred_experimental_geometry_matched_compounds_21_kinases,154,21,210,0.3290058407544065,0.00212,-0.09901565633169525,0.17132639871976357,49999,21760807
