panel,standard_inchikey,panel_rows,dockstring_rows,dockstring_source_row_indices,molecular_weight,clogp,tpsa,murcko_scaffold_cluster,butina_cluster
DAVIS,AAKJLRGGTJKAMG-UHFFFAOYSA-N,1,1,15,393.4430000000002,3.405100000000002,74.73,c1ccc(Nc2ncnc3ccccc23)cc1,56
DAVIS,AXRCEOKUDYDWLF-UHFFFAOYSA-N,1,1,14091,515.6170000000003,4.932300000000004,72.16,O=C1NC(=O)C(c2cn(C3CCN(Cc4ccccn4)CC3)c3ccccc23)=C1c1c[nH]c2ccccc12,55
DAVIS,BCFGMOOMADDAQU-UHFFFAOYSA-N,1,1,5877,581.0690000000003,6.139100000000004,106.35000000000001,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,54
DAVIS,BCZUAADEACICHN-UHFFFAOYSA-N,1,1,26042,359.41800000000006,3.2242000000000015,73.79,c1cnc2ccc(Sc3nnc4ccc(-c5cn[nH]c5)nn34)cc2c1,53
DAVIS,BIIVYFLTOXDAOV-UHFFFAOYSA-N,1,1,452,401.846,3.3046000000000024,94.14,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,52
DAVIS,BPNUQXPIQBZCMR-UHFFFAOYSA-N,1,1,738,358.4450000000001,3.8821200000000013,76.82,c1ccc(CCCOc2cncc(-c3ccc4n[nH]cc4c3)c2)cc1,51
DAVIS,CDMGBJANTYXAIV-UHFFFAOYSA-N,1,1,32,377.4440000000001,4.682200000000003,58.64,c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1,50
DAVIS,CUIHSIWYWATEQL-UHFFFAOYSA-N,1,1,1070,437.52900000000017,3.1390399999999996,119.02999999999999,c1ccc(Nc2nccc(Nc3ccc4c[nH]nc4c3)n2)cc1,49
DAVIS,CVWXJKQAOSCOAB-UHFFFAOYSA-N,1,1,18761,560.6800000000003,5.856500000000006,106.16,O=C(Nc1ccc(-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc23)cc1)Nc1ccon1,48
DAVIS,CXQHYVUVSFXTMY-UHFFFAOYSA-N,1,1,23645,632.6640000000004,5.7724000000000055,111.25,O=C(Nc1ccccc1)C1(C(=O)Nc2ccc(Oc3ccnc4cc(OCCCN5CCOCC5)ccc34)cc2)CC1,47
DAVIS,CYOHGALHFOKKQC-UHFFFAOYSA-N,1,1,15353,457.6870000000001,3.525600000000001,88.41000000000001,c1ccc(Nc2ccc3[nH]cnc3c2)cc1,46
DAVIS,GCIKSSRWRFVXBI-UHFFFAOYSA-N,1,1,58,464.59900000000033,3.5032200000000016,102.07,O=C(Nc1ccc(Sc2nc(Nc3cc[nH]n3)cc(N3CCNCC3)n2)cc1)C1CC1,45
DAVIS,GFMMXOIFOQCCGU-UHFFFAOYSA-N,1,1,14315,478.664,5.0378000000000025,50.36,O=C(NOCC1CC1)c1ccccc1Nc1ccccc1,44
DAVIS,GUBJNPWVIUFSTR-UHFFFAOYSA-N,1,2,8799;9509,460.5820000000003,3.758680000000001,105.12,O=C(Nc1ccc(C2CCNCC2)cc1C1=CCCCC1)c1ncc[nH]1,43
DAVIS,HFNKQEVNSGCOJV-UHFFFAOYSA-N,1,1,13552,306.37300000000005,3.466380000000002,83.17999999999999,c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1,42
DAVIS,HHFBDROWDBDFBR-UHFFFAOYSA-N,1,1,288,476.8700000000001,5.868000000000004,87.47000000000001,c1ccc(Nc2ncc3c(n2)-c2ccccc2C(c2ccccc2)=NC3)cc1,41
DAVIS,HHZIURLSWUIHRB-UHFFFAOYSA-N,1,1,16317,529.5260000000002,6.355840000000004,97.62,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,40
DAVIS,HKSZLNNOFSGOKW-UHFFFAOYSA-N,1,1,448,466.5410000000002,4.354000000000004,69.45,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCCC3O1,39
DAVIS,HZTYDQRUAWIZRE-UHFFFAOYSA-N,1,1,17786,532.5800000000003,3.403100000000001,127.50999999999999,c1ccc(Nc2nc(Nc3ccc4c(c3)NCC4)nc3[nH]ccc23)cc1,38
DAVIS,JOOXLOJCABQBSG-UHFFFAOYSA-N,1,1,6916,524.6910000000004,4.823620000000004,108.48,c1ccc(Nc2ccnc(Nc3ccc(OCCN4CCCC4)cc3)n2)cc1,37
DAVIS,JRNJNYBQQYBCLE-UHFFFAOYSA-N,1,1,21383,441.4600000000002,1.4124999999999999,127.50999999999999,O=C(c1ccccc1)c1cnc(NC2CCNCC2)nc1,36
DAVIS,KTEIFNKAUNYNJU-UHFFFAOYSA-N,1,1,265,450.3450000000002,5.037700000000004,77.99,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,35
DAVIS,KTUFNOKKBVMGRW-UHFFFAOYSA-N,1,1,3,493.61500000000024,4.590320000000003,86.28000000000002,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,1
DAVIS,LHNIIDJUOCFXAP-UHFFFAOYSA-N,1,2,108189;108190,513.6490000000002,2.1484000000000005,107.55000000000001,c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)c2cn[nH]c2c1,34
DAVIS,MFAQYJIYDMLAIM-UHFFFAOYSA-N,1,1,6941,308.3450000000001,2.8432999999999997,105.64,c1ccc2[nH]c(-c3n[nH]c4ncncc34)cc2c1,33
DAVIS,MLDQJTXFUGDVEO-UHFFFAOYSA-N,1,1,13,464.83100000000013,5.549700000000002,92.35,O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1,32
DAVIS,MPVGZUGXCQEXTM-UHFFFAOYSA-N,1,1,313,375.4070000000001,4.903620000000003,95.83,O=C(Nc1ccccc1)Nc1ccc(-c2cccc3[nH]ncc23)cc1,31
DAVIS,MVCOAUNKQVWQHZ-UHFFFAOYSA-N,1,1,50,527.6690000000003,5.986420000000006,80.65,O=C(Nc1ccc(OCCN2CCOCC2)c2ccccc12)Nc1ccnn1-c1ccccc1,30
DAVIS,MYQAUKPBNJWPIE-UHFFFAOYSA-N,1,1,454,366.4210000000001,2.8280000000000003,105.51,c1ccc(COc2ccc(Cc3cncnc3)cc2)cc1,29
DAVIS,NHHQJBCNYHBUSI-UHFFFAOYSA-N,1,1,229,470.4610000000003,3.633200000000002,128.75,O=C1COc2ccc(Nc3ccnc(Nc4ccccc4)n3)nc2N1,28
DAVIS,ODPGGGTTYSGTGO-UHFFFAOYSA-N,1,1,5171,529.5670000000002,5.110900000000004,94.65,O=C(Nc1ccc(CN2CCNCC2)cc1)Nc1ccc(Oc2ccncn2)cc1,27
DAVIS,OMZCMEYTWSXEPZ-UHFFFAOYSA-N,1,1,745,485.9470000000004,4.391500000000002,88.61,c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)ccc23)cc1,0
DAVIS,OUSFTKFNBAZUKL-UHFFFAOYSA-N,1,1,7934,380.53900000000016,3.6590000000000016,80.05000000000001,O=C(Nc1ncc(SCc2ncco2)s1)C1CCNCC1,26
DAVIS,OVPNQJVDAFNBDN-UHFFFAOYSA-N,1,1,97142,382.2510000000001,2.4505999999999997,98.91,O=C(Nc1cn[nH]c1C(=O)NC1CCNCC1)c1ccccc1,25
