analysis,representation,n_ligands,n_targets,evaluated_pairs,mean_per_ligand_pairwise_accuracy,murcko_ci95_low,murcko_ci95_high,butina_ci95_low,butina_ci95_high
all exact endpoints,absolute_vina,137,38,2522,0.5663677451687892,0.5018133710748701,0.6226583390305427,0.5062429380641433,0.6233502444277247
all exact endpoints,column_standardized,137,38,2522,0.5464924837018124,0.4848609326020688,0.6039855522555287,0.48815155331509974,0.6052661379365553
all exact endpoints,two_way_residual,137,38,2522,0.5639355480794093,0.500815382748916,0.626419871827704,0.5068008883603885,0.6200017021495227
human binding all endpoints,absolute_vina,128,35,2427,0.5624612005023915,0.5038654522927375,0.6178741094382124,0.49754412028403133,0.6258822277795245
human binding all endpoints,column_standardized,128,35,2427,0.5460119616303101,0.47910381407153124,0.6041183905666074,0.4868643412515256,0.6053413061506213
human binding all endpoints,two_way_residual,128,35,2427,0.5805965430257951,0.5157058290361558,0.6442712626568503,0.5219542752233794,0.6369683865797295
human binding Ki/Kd,absolute_vina,107,30,2224,0.564688847840377,0.49598761289284893,0.6298098720639582,0.49563274798242835,0.6301404451221586
human binding Ki/Kd,column_standardized,107,30,2224,0.5540239531501358,0.4875549873600687,0.6176124101868475,0.48756026603651054,0.621685394573224
human binding Ki/Kd,two_way_residual,107,30,2224,0.5787607665266009,0.5072341713695652,0.6458460298315453,0.5153959008504367,0.6432202395865759
same-endpoint pairs on fixed primary support,absolute_vina,137,38,4330,0.5531447106489323,0.492115819025854,0.6122439266825861,0.4930610004895672,0.6110922756738779
same-endpoint pairs on fixed primary support,column_standardized,137,38,4330,0.5379373931775364,0.47877406763194735,0.5956508793505326,0.48105351415324094,0.5964207252176508
same-endpoint pairs on fixed primary support,two_way_residual,137,38,4330,0.5546122208143446,0.4936484602466058,0.6156558596404417,0.49863267875139045,0.610772531386101
