endpoint,metric,representation,estimate
DAVIS,spearman_geometry_concordance,raw_column_z,0.2634080839095995
PKIS2,spearman_geometry_concordance,raw_column_z,0.24349442541782032
PKIS1,spearman_geometry_concordance,raw_column_z,0.17278186740848633
KiRHub,spearman_geometry_concordance,raw_column_z,0.27611174533191624
equal_weight_mean_of_four_panels,mean_spearman_geometry_concordance,raw_column_z,0.2389490305169556
DAVIS,spearman_geometry_concordance,standard_centered,0.29249826136020685
PKIS2,spearman_geometry_concordance,standard_centered,0.30027162146203207
PKIS1,spearman_geometry_concordance,standard_centered,0.185354310733203
KiRHub,spearman_geometry_concordance,standard_centered,0.3361291535995311
equal_weight_mean_of_four_panels,mean_spearman_geometry_concordance,standard_centered,0.27856333678874323
DAVIS,spearman_geometry_concordance,within_ligand_ordinal,0.2525869647941844
PKIS2,spearman_geometry_concordance,within_ligand_ordinal,0.24620626610155408
PKIS1,spearman_geometry_concordance,within_ligand_ordinal,0.14189137765880672
KiRHub,spearman_geometry_concordance,within_ligand_ordinal,0.304027958202662
equal_weight_mean_of_four_panels,mean_spearman_geometry_concordance,within_ligand_ordinal,0.2361781416893018
DAVIS,spearman_geometry_concordance,heavy_atom_efficiency,0.22255551619012628
PKIS2,spearman_geometry_concordance,heavy_atom_efficiency,0.21911760203300576
PKIS1,spearman_geometry_concordance,heavy_atom_efficiency,0.12552410695149743
KiRHub,spearman_geometry_concordance,heavy_atom_efficiency,0.24529648729152725
equal_weight_mean_of_four_panels,mean_spearman_geometry_concordance,heavy_atom_efficiency,0.20312342811653916
replicated_upper_10pct_in_at_least_two_old_panels,roc_auc,raw_column_z,0.5965714285714285
replicated_upper_10pct_in_at_least_two_old_panels,average_precision,raw_column_z,0.2355064642070323
replicated_upper_10pct_in_at_least_two_old_panels,roc_auc,standard_centered,0.7180952380952381
replicated_upper_10pct_in_at_least_two_old_panels,average_precision,standard_centered,0.2954755215313279
replicated_upper_10pct_in_at_least_two_old_panels,roc_auc,within_ligand_ordinal,0.7302857142857143
replicated_upper_10pct_in_at_least_two_old_panels,average_precision,within_ligand_ordinal,0.29967649242933037
replicated_upper_10pct_in_at_least_two_old_panels,roc_auc,heavy_atom_efficiency,0.708952380952381
replicated_upper_10pct_in_at_least_two_old_panels,average_precision,heavy_atom_efficiency,0.2622190401637298
