discovery,validation,alpha,discovery_pair_weighted_accuracy,discovery_equal_pair_accuracy
PKIS2,DAVIS,0.0,0.5249833887043189,0.522578836815517
PKIS2,DAVIS,0.05,0.5259800664451827,0.5235442623945318
PKIS2,DAVIS,0.1,0.5264451827242524,0.5239257061896946
PKIS2,DAVIS,0.15000000000000002,0.5274418604651163,0.5244074126205046
PKIS2,DAVIS,0.2,0.5279069767441861,0.5246947934983193
PKIS2,DAVIS,0.25,0.5282392026578073,0.5250810031210956
PKIS2,DAVIS,0.30000000000000004,0.5287043189368771,0.5253418217423546
PKIS2,DAVIS,0.35000000000000003,0.5283720930232558,0.5242440831388363
PKIS2,DAVIS,0.4,0.5281727574750831,0.5238797088760125
PKIS2,DAVIS,0.45,0.5281727574750831,0.5236222642999333
PKIS2,DAVIS,0.5,0.5281063122923588,0.5233718667437208
PKIS2,DAVIS,0.55,0.5281063122923588,0.5233684234468847
PKIS2,DAVIS,0.6000000000000001,0.5289036544850498,0.5245769400639629
PKIS2,DAVIS,0.65,0.5290365448504983,0.5247131671035157
PKIS2,DAVIS,0.7000000000000001,0.5284385382059801,0.5241682146279316
PKIS2,DAVIS,0.75,0.5279734219269103,0.5237320616151429
PKIS2,DAVIS,0.8,0.5275747508305648,0.5234191268830362
PKIS2,DAVIS,0.8500000000000001,0.5261794019933554,0.5219357833143166
PKIS2,DAVIS,0.9,0.5276411960132891,0.5233044371379586
PKIS2,DAVIS,0.9500000000000001,0.5281727574750831,0.5238589996824599
PKIS2,DAVIS,1.0,0.5275747508305648,0.5232496462116067
DAVIS,PKIS2,0.0,0.49147408570787526,0.4907955499630336
DAVIS,PKIS2,0.05,0.49046443796275524,0.49088455855823737
DAVIS,PKIS2,0.1,0.49225936728741304,0.49322386019276554
DAVIS,PKIS2,0.15000000000000002,0.49360556428090646,0.4930975792767741
DAVIS,PKIS2,0.2,0.4956248597711465,0.4944158322869308
DAVIS,PKIS2,0.25,0.4947273951088176,0.4935740005001485
DAVIS,PKIS2,0.30000000000000004,0.49450302894323533,0.4929180457447329
DAVIS,PKIS2,0.35000000000000003,0.49360556428090646,0.4919884894481873
DAVIS,PKIS2,0.4,0.4947273951088176,0.4929994536543121
DAVIS,PKIS2,0.45,0.4971954229302221,0.49554532103994214
DAVIS,PKIS2,0.5,0.4985416199237155,0.4965103727493251
DAVIS,PKIS2,0.55,0.49809288759255105,0.49520509913996935
DAVIS,PKIS2,0.6000000000000001,0.4962979582678932,0.4935244410425328
DAVIS,PKIS2,0.65,0.4971954229302221,0.4944280726533841
DAVIS,PKIS2,0.7000000000000001,0.4962979582678932,0.49380844086879516
DAVIS,PKIS2,0.75,0.4956248597711465,0.4929727926559165
DAVIS,PKIS2,0.8,0.49764415526138656,0.4950715486394116
DAVIS,PKIS2,0.8500000000000001,0.4956248597711465,0.4924758358330626
DAVIS,PKIS2,0.9,0.49741978909580437,0.4948787724158168
DAVIS,PKIS2,0.9500000000000001,0.4994390845860444,0.49708621875483244
DAVIS,PKIS2,1.0,0.4994390845860444,0.49650009726972316
PKIS2,PKIS1,0.0,0.5249833887043189,0.522578836815517
PKIS2,PKIS1,0.05,0.5259800664451827,0.5235442623945318
PKIS2,PKIS1,0.1,0.5264451827242524,0.5239257061896946
