discovery,validation,role,minimum_pair_support_in_each_panel,eligible_target_pairs,discovery_ligands,validation_ligands,discovery_match,validation_match,pairs_selecting_residual,fraction_pairs_selecting_residual,selected_global_alpha,globally_selected_single_representation,pair_weighted_absolute_accuracy,pair_weighted_residual_accuracy,pair_weighted_globally_selected_single_accuracy,pair_weighted_globally_selected_alpha_mixture_accuracy,pair_weighted_discovery_experimental_target_mean_prior_accuracy,pair_weighted_transferred_pair_rule_accuracy,pair_weighted_rule_minus_absolute,pair_weighted_rule_minus_residual,pair_weighted_rule_minus_global_alpha_mixture,pair_weighted_rule_minus_target_mean_prior,pair_weighted_rule_minus_validation_oracle_best_single,equal_target_pair_absolute_accuracy,equal_target_pair_residual_accuracy,equal_target_pair_globally_selected_single_accuracy,equal_target_pair_globally_selected_alpha_mixture_accuracy,equal_target_pair_discovery_experimental_target_mean_prior_accuracy,equal_target_pair_transferred_pair_rule_accuracy,equal_target_pair_rule_minus_absolute,equal_target_pair_rule_minus_residual,equal_target_pair_rule_minus_global_alpha_mixture,equal_target_pair_rule_minus_target_mean_prior,equal_target_pair_rule_minus_validation_oracle_best_single,normalization_gain_spearman,normalization_gain_sign_agreement,prior_tied_cells,prior_reversal_cells,prior_reversal_absolute_accuracy,prior_reversal_residual_accuracy,prior_reversal_transferred_pair_rule_accuracy,prior_routine_cells,prior_routine_absolute_accuracy,prior_routine_residual_accuracy,prior_routine_transferred_pair_rule_accuracy
PKIS2,DAVIS,primary_exact_full_key_transfer,3,187,154,59,exact_full_standard_InChIKey,exact_full_standard_InChIKey,85,0.45454545454545453,0.65,residual,0.49236556760345207,0.49811905288780706,0.49811905288780706,0.49657003761894225,0.7603452091170613,0.5378402301394114,0.04547466253595933,0.039721177251604345,0.04127019252046915,-0.22250497897764987,0.039721177251604345,0.4939191221150826,0.49214604741997137,0.49214604741997137,0.4933042558490694,0.7478440735042908,0.5337719953038776,0.039852873188795046,0.04162594788390628,0.04046773945480825,-0.21407207820041319,0.039852873188795046,0.6172546529859946,0.6470588235294118,0,1083,0.5221606648199446,0.4884579870729455,0.4602954755309326,3436,0.48297438882421423,0.5011641443538999,0.5622817229336438
DAVIS,PKIS2,primary_exact_full_key_transfer,3,187,59,154,exact_full_standard_InChIKey,exact_full_standard_InChIKey,83,0.44385026737967914,0.9500000000000001,residual,0.5258053691275167,0.5280536912751678,0.5280536912751678,0.5286577181208054,0.6803355704697986,0.55,0.024194630872483303,0.021946308724832275,0.021342281879194624,-0.1303355704697986,0.021946308724832275,0.5238445108022717,0.5240021668663523,0.5240021668663523,0.5246212960613368,0.6731147953211668,0.5454687715023794,0.0216242607001077,0.02146660463602712,0.020847475441042596,-0.12764602381878742,0.02146660463602712,0.6172546529859947,0.6470588235294118,0,4763,0.5040940583665757,0.4948561830778921,0.4386941003569179,10137,0.5360067080990432,0.5436519680378811,0.6022985104074183
PKIS2,PKIS1,connectivity_match_sensitivity,3,188,154,220,exact_full_standard_InChIKey,standard_InChI_connectivity_block_sensitivity,87,0.4627659574468085,0.65,residual,0.5231361591931307,0.5557448548453047,0.5557448548453047,0.5496115578574349,0.748194084775794,0.5768706555813002,0.05373449638816952,0.02112580073599557,0.027259097723865366,-0.17132342919449373,0.02112580073599557,0.5277446312814277,0.5463345393328625,0.5463345393328625,0.5456047813407886,0.7206995923702084,0.5745785480659439,0.046833916784516205,0.028244008733081416,0.02897376672515528,-0.14612104430426454,0.028244008733081416,0.629924900922484,0.6968085106382979,0,3695,0.5041948579161029,0.5182679296346414,0.4679296346414073,10979,0.5295108844157027,0.5683577739320521,0.613534930321523
DAVIS,PKIS1,connectivity_match_sensitivity,3,186,59,220,exact_full_standard_InChIKey,standard_InChI_connectivity_block_sensitivity,83,0.44623655913978494,0.9500000000000001,residual,0.5227319270939996,0.5557375930097618,0.5557375930097618,0.5547136323298518,0.7547955491842446,0.5742712813161308,0.051539354222131184,0.018533688306369034,0.019557648986278986,-0.18052426786811382,0.018533688306369034,0.5242795197898301,0.5452198569600974,0.5452198569600974,0.5448473280290349,0.7334432131442115,0.5695487928909138,0.04526927310108364,0.02432893593081631,0.024701464861878852,-0.1638944202532977,0.02432893593081631,0.5773828201761669,0.6290322580645161,0,3592,0.5229677060133631,0.5403674832962138,0.47383073496659245,11057,0.5226553314642308,0.5607307587953333,0.6069006059509813
PKIS1,PKIS2,connectivity_match_sensitivity,3,188,220,154,standard_InChI_connectivity_block_sensitivity,exact_full_standard_InChIKey,100,0.5319148936170213,1.0,residual,0.5249531709927749,0.5278967085897779,0.5278967085897779,0.5278967085897779,0.6565426812951566,0.5515453572384266,0.026592186245651628,0.023648648648648685,0.023648648648648685,-0.10499732405673001,0.023648648648648685,0.5226012942682637,0.5237956017610769,0.5237956017610769,0.5237956017610769,0.6439335891208436,0.5465785871048296,0.02397729283656591,0.022782985343752782,0.022782985343752782,-0.09735500201601399,0.022782985343752782,0.629924900922484,0.6968085106382979,0,5134,0.5356447214647448,0.5003895597974289,0.455687573042462,9814,0.5193600978194416,0.5422865294477277,0.6016914611779091
PKIS1,DAVIS,connectivity_match_sensitivity,3,186,220,59,standard_InChI_connectivity_block_sensitivity,exact_full_standard_InChIKey,100,0.5376344086021505,1.0,residual,0.49177595021115805,0.49788841964881086,0.49788841964881086,0.49788841964881086,0.7219382084907757,0.5331184707712825,0.04134252056012444,0.03523005112247163,0.03523005112247163,-0.18881973771949323,0.03523005112247163,0.4932143862124755,0.49183500466416474,0.49183500466416474,0.49183500466416474,0.7076844328674006,0.5282264404060318,0.03501205419355635,0.036391435741867095,0.036391435741867095,-0.17945799246136873,0.03501205419355635,0.5773828201761669,0.6290322580645161,0,1251,0.5767386091127098,0.5203836930455635,0.4876099120703437,3248,0.45905172413793105,0.4892241379310345,0.5506465517241379
PKIS2,DAVIS,primary_exact_full_key_transfer,5,184,154,59,exact_full_standard_InChIKey,exact_full_standard_InChIKey,84,0.45652173913043476,0.65,residual,0.4922377467287647,0.4981148813484143,0.4981148813484143,0.4963406520292748,0.7609225992459525,0.5378132623641606,0.04557551563539591,0.0396983810157463,0.04147261033488581,-0.2231093368817919,0.0396983810157463,0.4929141802655096,0.492017993845297,0.492017993845297,0.49138349190457964,0.7523379080360637,0.5334168285606438,0.04050264829513417,0.04139883471534678,0.042033336656064124,-0.21892107947541994,0.04050264829513417,0.6264531767000344,0.6521739130434783,0,1078,0.5227272727272727,0.4897959183673469,0.461038961038961,3431,0.4826581171670067,0.5007286505392013,0.5619352958321189
DAVIS,PKIS2,primary_exact_full_key_transfer,5,184,59,154,exact_full_standard_InChIKey,exact_full_standard_InChIKey,82,0.44565217391304346,0.9500000000000001,residual,0.5260575296108291,0.528595600676819,0.528595600676819,0.5292047377326565,0.6817597292724197,0.5506260575296108,0.024568527918781724,0.022030456852791813,0.021421319796954275,-0.13113367174280888,0.022030456852791813,0.5242835991356253,0.5250668508306798,0.5250668508306798,0.5256960745234086,0.6758523216857308,0.5466850216949738,0.022401422559348516,0.021618170864293962,0.020988947171565187,-0.12916729999075705,0.021618170864293962,0.6264531767000344,0.6521739130434783,0,4702,0.5043598468736707,0.4944704381114419,0.4376860910250957,10073,0.5361858433435918,0.5445249677355306,0.6033455772858135
PKIS2,PKIS1,connectivity_match_sensitivity,5,187,154,220,exact_full_standard_InChIKey,standard_InChI_connectivity_block_sensitivity,87,0.46524064171123,0.65,residual,0.5230743012951602,0.5558282208588957,0.5558282208588957,0.5495569188820723,0.7483980913428766,0.5768234492160873,0.05374914792092711,0.020995228357191587,0.02726653033401505,-0.1715746421267893,0.020995228357191587,0.5265560998979059,0.5479192160137868,0.5479192160137868,0.5445117587811137,0.7245536008855572,0.5736404654352805,0.047084365537374606,0.025721249421493675,0.02912870665416678,-0.15091313545027674,0.025721249421493675,0.6288005632418899,0.6951871657754011,0,3691,0.5039284746681116,0.5185586561907343,0.4676239501490111,10979,0.5295108844157027,0.5683577739320521,0.613534930321523
DAVIS,PKIS1,connectivity_match_sensitivity,5,183,59,220,exact_full_standard_InChIKey,standard_InChI_connectivity_block_sensitivity,82,0.44808743169398907,0.9500000000000001,residual,0.522504624237857,0.5555936151263958,0.5555936151263958,0.5545660067137083,0.7563882989655408,0.5739535520997465,0.05144892786188948,0.0183599369733507,0.019387545386038263,-0.1824347468657943,0.0183599369733507,0.5224703696034434,0.5459682936743399,0.5459682936743399,0.5455896577116206,0.7372653993421088,0.5676074449958015,0.04513707539235812,0.021639151321461658,0.022017787284180912,-0.16965795434630726,0.021639151321461658,0.5681756877517682,0.6284153005464481,0,3556,0.5227784026996626,0.5393700787401575,0.4714566929133858,11041,0.5224164477855266,0.5608187664160855,0.606964948827099
