panel,match,target_a,target_b,informative_ligands,absolute_accuracy,residual_accuracy,residual_minus_absolute
PKIS2,exact_full_standard_InChIKey,ABL1,AKT1,100,0.67,0.67,0.0
PKIS2,exact_full_standard_InChIKey,ABL1,AKT2,111,0.7342342342342343,0.5765765765765766,-0.1576576576576577
PKIS2,exact_full_standard_InChIKey,ABL1,CDK2,97,0.7216494845360825,0.6185567010309279,-0.1030927835051546
PKIS2,exact_full_standard_InChIKey,ABL1,CSF1R,86,0.5406976744186046,0.45348837209302323,-0.08720930232558138
PKIS2,exact_full_standard_InChIKey,ABL1,EGFR,135,0.5148148148148148,0.5111111111111111,-0.0037037037037037646
PKIS2,exact_full_standard_InChIKey,ABL1,FGFR1,96,0.6875,0.4270833333333333,-0.2604166666666667
PKIS2,exact_full_standard_InChIKey,ABL1,IGF1R,104,0.75,0.625,-0.125
PKIS2,exact_full_standard_InChIKey,ABL1,JAK2,103,0.5339805825242718,0.5728155339805825,0.03883495145631066
PKIS2,exact_full_standard_InChIKey,ABL1,KDR,89,0.6797752808988764,0.6292134831460674,-0.050561797752809
PKIS2,exact_full_standard_InChIKey,ABL1,KIT,100,0.455,0.49,0.034999999999999976
PKIS2,exact_full_standard_InChIKey,ABL1,LCK,100,0.62,0.58,-0.040000000000000036
PKIS2,exact_full_standard_InChIKey,ABL1,MAP2K1,100,0.62,0.54,-0.07999999999999996
PKIS2,exact_full_standard_InChIKey,ABL1,MAPK1,100,0.685,0.63,-0.05500000000000005
PKIS2,exact_full_standard_InChIKey,ABL1,MAPK14,111,0.6801801801801802,0.7477477477477478,0.06756756756756754
PKIS2,exact_full_standard_InChIKey,ABL1,MAPKAPK2,106,0.7452830188679245,0.49056603773584906,-0.2547169811320754
PKIS2,exact_full_standard_InChIKey,ABL1,MET,98,0.6428571428571429,0.5,-0.1428571428571429
PKIS2,exact_full_standard_InChIKey,ABL1,PLK1,109,0.6238532110091743,0.6238532110091743,0.0
PKIS2,exact_full_standard_InChIKey,ABL1,ROCK1,116,0.6422413793103449,0.603448275862069,-0.03879310344827591
PKIS2,exact_full_standard_InChIKey,ABL1,SRC,92,0.657608695652174,0.5217391304347826,-0.13586956521739135
PKIS2,exact_full_standard_InChIKey,AKT1,AKT2,45,0.4444444444444444,0.4,-0.0444444444444444
PKIS2,exact_full_standard_InChIKey,AKT1,CDK2,48,0.5520833333333334,0.4583333333333333,-0.09375000000000006
PKIS2,exact_full_standard_InChIKey,AKT1,CSF1R,83,0.3313253012048193,0.40963855421686746,0.07831325301204817
PKIS2,exact_full_standard_InChIKey,AKT1,EGFR,87,0.5804597701149425,0.5632183908045977,-0.017241379310344862
PKIS2,exact_full_standard_InChIKey,AKT1,FGFR1,60,0.4166666666666667,0.5333333333333333,0.11666666666666664
PKIS2,exact_full_standard_InChIKey,AKT1,IGF1R,45,0.5,0.4666666666666667,-0.033333333333333326
PKIS2,exact_full_standard_InChIKey,AKT1,JAK2,75,0.44666666666666666,0.6,0.15333333333333332
PKIS2,exact_full_standard_InChIKey,AKT1,KDR,77,0.5454545454545454,0.6363636363636364,0.09090909090909094
PKIS2,exact_full_standard_InChIKey,AKT1,KIT,105,0.3,0.5619047619047619,0.2619047619047619
PKIS2,exact_full_standard_InChIKey,AKT1,LCK,84,0.24404761904761904,0.5952380952380952,0.35119047619047616
