removed_target,discovery,validation,rule_minus_global_alpha_mixture
ABL1,PKIS2,DAVIS,0.02764857881136945
ABL1,DAVIS,PKIS2,0.01348305562263552
ABL1,locked_exact_mean,locked_exact_mean,0.020565817217002486
AKT1,PKIS2,DAVIS,0.03467021019569949
AKT1,DAVIS,PKIS2,0.01727238666167097
AKT1,locked_exact_mean,locked_exact_mean,0.02597129842868523
AKT2,PKIS2,DAVIS,0.03900193798449614
AKT2,DAVIS,PKIS2,0.020423543597859695
AKT2,locked_exact_mean,locked_exact_mean,0.029712740791177916
CDK2,PKIS2,DAVIS,0.04562133072407043
CDK2,DAVIS,PKIS2,0.021938737111462325
CDK2,locked_exact_mean,locked_exact_mean,0.03378003391776638
CSF1R,PKIS2,DAVIS,0.03099765563948953
CSF1R,DAVIS,PKIS2,0.017707763271049948
CSF1R,locked_exact_mean,locked_exact_mean,0.02435270945526974
EGFR,PKIS2,DAVIS,0.03372063652437485
EGFR,DAVIS,PKIS2,0.01668126443188156
EGFR,locked_exact_mean,locked_exact_mean,0.025200950478128203
FGFR1,PKIS2,DAVIS,0.040433925049309705
FGFR1,DAVIS,PKIS2,0.020235892691951918
FGFR1,locked_exact_mean,locked_exact_mean,0.03033490887063081
IGF1R,PKIS2,DAVIS,0.036292300147130974
IGF1R,DAVIS,PKIS2,0.017583923270153012
IGF1R,locked_exact_mean,locked_exact_mean,0.026938111708641993
JAK2,PKIS2,DAVIS,0.04219409282700426
JAK2,DAVIS,PKIS2,0.022031249999999947
JAK2,locked_exact_mean,locked_exact_mean,0.0321126714135021
KDR,PKIS2,DAVIS,0.04531645569620257
KDR,DAVIS,PKIS2,0.022383427729071315
KDR,locked_exact_mean,locked_exact_mean,0.033849941712636944
KIT,PKIS2,DAVIS,0.03933021806853576
KIT,DAVIS,PKIS2,0.015408628832145999
KIT,locked_exact_mean,locked_exact_mean,0.02736942345034088
LCK,PKIS2,DAVIS,0.03318526260778676
LCK,DAVIS,PKIS2,0.019030322173089087
LCK,locked_exact_mean,locked_exact_mean,0.026107792390437923
MAP2K1,PKIS2,DAVIS,0.04451710261569414
MAP2K1,DAVIS,PKIS2,0.023466953912441357
MAP2K1,locked_exact_mean,locked_exact_mean,0.03399202826406775
MAPK1,PKIS2,DAVIS,0.04022157996146436
MAPK1,DAVIS,PKIS2,0.02118739237852818
MAPK1,locked_exact_mean,locked_exact_mean,0.03070448616999627
MAPK14,PKIS2,DAVIS,0.04937965260545907
MAPK14,DAVIS,PKIS2,0.03144976718491044
MAPK14,locked_exact_mean,locked_exact_mean,0.04041470989518475
MAPKAPK2,PKIS2,DAVIS,0.02723547842853702
MAPKAPK2,DAVIS,PKIS2,0.013763537906137269
MAPKAPK2,locked_exact_mean,locked_exact_mean,0.020499508167337144
MET,PKIS2,DAVIS,0.04044943820224722
MET,DAVIS,PKIS2,0.020854290799350084
MET,locked_exact_mean,locked_exact_mean,0.030651864500798653
PLK1,PKIS2,DAVIS,0.04585365853658541
PLK1,DAVIS,PKIS2,0.025373134328358193
PLK1,locked_exact_mean,locked_exact_mean,0.0356133964324718
ROCK1,PKIS2,DAVIS,0.040778383738225066
ROCK1,DAVIS,PKIS2,0.022433132010353685
ROCK1,locked_exact_mean,locked_exact_mean,0.031605757874289375
SRC,PKIS2,DAVIS,0.04148802017654479
SRC,DAVIS,PKIS2,0.02129042122161906
SRC,locked_exact_mean,locked_exact_mean,0.03138922069908193
