block_targets,complete_compounds,predictor,target_pairs,positive_pairs,positive_fraction,continuous_spearman,roc_auc,average_precision,precision_at_positive_count
ADRA1A|ADRA2A|CHRM1|CHRM2|HTR1A,20,raw_docking,10,2,0.2,0.006060606060606061,0.6875,0.6428571428571428,0.5
ADRA1A|ADRA2A|CHRM1|CHRM2|HTR1A,20,residual_docking,10,2,0.2,0.5272727272727272,0.875,0.75,0.5
ADRA1A|ADRA2A|CHRM1|CHRM2|HTR1A,20,full_sequence_identity,10,2,0.2,0.12727272727272726,1.0,1.0,1.0
ADRA1A|ADRA2A|CHRM1|CHRM2|HTR1A,20,equal_rank_sequence_family_residual,10,2,0.2,0.5349568784384567,1.0,1.0,1.0
ADRA1A|ADRA2A|CHRM1|DRD2|HRH1,20,raw_docking,10,2,0.2,-0.5757575757575757,0.125,0.17142857142857143,0.0
ADRA1A|ADRA2A|CHRM1|DRD2|HRH1,20,residual_docking,10,2,0.2,0.12727272727272726,0.4375,0.2777777777777778,0.0
ADRA1A|ADRA2A|CHRM1|DRD2|HRH1,20,full_sequence_identity,10,2,0.2,-0.09090909090909088,0.8125,0.5,0.5
ADRA1A|ADRA2A|CHRM1|DRD2|HRH1,20,equal_rank_sequence_family_residual,10,2,0.2,0.1158558123306298,0.59375,0.375,0.5
ADRA1A|ADRA2A|CHRM1|HTR1A|HTR2A,20,raw_docking,10,2,0.2,0.23636363636363633,0.6875,0.6428571428571428,0.5
ADRA1A|ADRA2A|CHRM1|HTR1A|HTR2A,20,residual_docking,10,2,0.2,0.6121212121212121,1.0,1.0,1.0
ADRA1A|ADRA2A|CHRM1|HTR1A|HTR2A,20,full_sequence_identity,10,2,0.2,-0.0303030303030303,0.6875,0.6428571428571428,0.5
ADRA1A|ADRA2A|CHRM1|HTR1A|HTR2A,20,equal_rank_sequence_family_residual,10,2,0.2,0.32218993815043423,0.90625,0.75,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HRH1,20,raw_docking,10,2,0.2,0.2727272727272727,0.625,0.3333333333333333,0.0
ADRA1A|ADRA2A|DRD1|DRD2|HRH1,20,residual_docking,10,2,0.2,-0.09090909090909088,0.5,0.29166666666666663,0.0
ADRA1A|ADRA2A|DRD1|DRD2|HRH1,20,full_sequence_identity,10,2,0.2,-0.16363636363636364,0.25,0.19642857142857142,0.0
ADRA1A|ADRA2A|DRD1|DRD2|HRH1,20,equal_rank_sequence_family_residual,10,2,0.2,-0.09847319278346618,0.5,0.3611111111111111,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR1A,25,raw_docking,10,2,0.2,0.3939393939393939,0.8125,0.7,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR1A,25,residual_docking,10,2,0.2,0.49090909090909085,0.875,0.75,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR1A,25,full_sequence_identity,10,2,0.2,0.22424242424242422,0.5625,0.6111111111111112,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR1A,25,equal_rank_sequence_family_residual,10,2,0.2,0.5957474328064633,0.875,0.75,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR1B,23,raw_docking,10,2,0.2,0.3696969696969697,0.75,0.6666666666666666,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR1B,23,residual_docking,10,2,0.2,0.43030303030303024,0.75,0.45,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR1B,23,full_sequence_identity,10,2,0.2,0.2121212121212121,0.5625,0.6111111111111112,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR1B,23,equal_rank_sequence_family_residual,10,2,0.2,0.4724282017376836,0.8125,0.6666666666666666,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR2A,27,raw_docking,10,2,0.2,0.006060606060606061,0.8125,0.7,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR2A,27,residual_docking,10,2,0.2,0.33333333333333326,0.8125,0.7,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR2A,27,full_sequence_identity,10,2,0.2,-0.006060606060606061,0.5625,0.6111111111111112,0.5
ADRA1A|ADRA2A|DRD1|DRD2|HTR2A,27,equal_rank_sequence_family_residual,10,2,0.2,0.5878787878787878,0.875,0.75,0.5
ADRA1A|ADRA2A|DRD1|HRH1|HTR2A,20,raw_docking,10,2,0.2,-0.5515151515151515,0.1875,0.18253968253968253,0.0
ADRA1A|ADRA2A|DRD1|HRH1|HTR2A,20,residual_docking,10,2,0.2,-0.5636363636363636,0.0,0.15555555555555556,0.0
ADRA1A|ADRA2A|DRD1|HRH1|HTR2A,20,full_sequence_identity,10,2,0.2,0.6727272727272726,0.875,0.5833333333333333,0.5
