permutation_scheme,contrast,metric,observed_gain,permutations,one_sided_qap_p,two_sided_qap_p,holm_adjusted_two_sided_qap_p,bonferroni_adjusted_two_sided_qap_p
all_target_labels,residual_minus_raw_joint_label,continuous_spearman,0.2513835572320712,20000,0.000999950002499875,0.00199990000499975,0.023998800059997,0.023998800059997
all_target_labels,residual_minus_raw_joint_label,roc_auc_top10,0.2065162907268171,20000,0.0023998800059997,0.0047997600119994,0.047997600119994,0.0575971201439928
all_target_labels,residual_minus_raw_joint_label,best_partner_recall_at_3,0.22222222222222227,20000,0.0013499325033748313,0.0026998650067496625,0.029698515074246288,0.03239838008099595
all_target_labels,residual_increment_to_sequence_family,continuous_spearman,0.09633399778793866,20000,0.006349682515874206,0.012699365031748412,0.1015949202539873,0.15239238038098094
all_target_labels,residual_increment_to_sequence_family,roc_auc_top10,0.06691729323308271,20000,0.04004799760012,0.08009599520024,0.24028798560071998,0.9611519424028799
all_target_labels,residual_increment_to_sequence_family,best_partner_recall_at_3,0.11111111111111105,20000,0.018699065046747662,0.037398130093495324,0.18699065046747662,0.4487775611219439
within_curated_family,residual_minus_raw_joint_label,continuous_spearman,0.2513835572320712,20000,0.0066996650167491624,0.013399330033498325,0.1015949202539873,0.1607919604019799
within_curated_family,residual_minus_raw_joint_label,roc_auc_top10,0.2065162907268171,20000,0.10774461276936154,0.21548922553872307,0.255987200639968,1.0
within_curated_family,residual_minus_raw_joint_label,best_partner_recall_at_3,0.22222222222222227,20000,0.010449477526123694,0.020898955052247387,0.12539373031348433,0.25078746062696866
within_curated_family,residual_increment_to_sequence_family,continuous_spearman,0.09633399778793866,20000,0.004749762511874406,0.009499525023748812,0.08549572521373931,0.11399430028498575
within_curated_family,residual_increment_to_sequence_family,roc_auc_top10,0.06691729323308271,20000,0.024198790060496977,0.048397580120993954,0.19359032048397581,0.5807709614519274
within_curated_family,residual_increment_to_sequence_family,best_partner_recall_at_3,0.11111111111111105,20000,0.063996800159992,0.127993600319984,0.255987200639968,1.0
