panel,role,predictor,selected_threshold,continuous_spearman,roc_auc,average_precision
PKIS1,threshold_selection,sequence_only,0.55,0.2240178737021463,0.6772853185595569,0.31766639064038327
PKIS1,threshold_selection,ungated_equal_rank_sequence_plus_raw_Vina,0.55,0.25854270284192954,0.7125269313634964,0.3184861365151998
PKIS1,threshold_selection,ungated_equal_rank_sequence_plus_Vina,0.55,0.2375160746253042,0.7082179132040628,0.2770013554807135
PKIS1,threshold_selection,ungated_equal_rank_sequence_plus_raw_plus_centered_Vina,0.55,0.23671325586369224,0.7006771314250538,0.32886242057937204
PKIS1,threshold_selection,pocket_gated_sequence_plus_raw_Vina,0.55,0.27850535239836877,0.7366882117574639,0.36091707702581355
PKIS1,threshold_selection,pocket_gated_sequence_plus_Vina,0.55,0.2507532070855881,0.7302246845183132,0.36856940007804384
PKIS1,threshold_selection,pocket_gated_sequence_plus_raw_plus_centered_Vina,0.55,0.26389652519089263,0.7403816558941213,0.3749647893282731
DAVIS,locked_no_retuning_evaluation,sequence_only,0.55,0.2605823299505445,0.6989843028624192,0.4215039001412804
DAVIS,locked_no_retuning_evaluation,ungated_equal_rank_sequence_plus_raw_Vina,0.55,0.36987023416015913,0.7474607571560481,0.3842284842838392
DAVIS,locked_no_retuning_evaluation,ungated_equal_rank_sequence_plus_Vina,0.55,0.3371976451016806,0.7713142505386272,0.40389567305818813
DAVIS,locked_no_retuning_evaluation,ungated_equal_rank_sequence_plus_raw_plus_centered_Vina,0.55,0.3457068549418886,0.7700831024930748,0.4061687776138536
DAVIS,locked_no_retuning_evaluation,pocket_gated_sequence_plus_raw_Vina,0.55,0.40289544591760157,0.8273314866112651,0.5264905488556846
DAVIS,locked_no_retuning_evaluation,pocket_gated_sequence_plus_Vina,0.55,0.3557184248632752,0.8065558633425669,0.4843858399863753
DAVIS,locked_no_retuning_evaluation,pocket_gated_sequence_plus_raw_plus_centered_Vina,0.55,0.3863693921898821,0.8530317020621729,0.5381539792426899
PKIS2,locked_no_retuning_evaluation,sequence_only,0.55,0.2717568924682975,0.6728224068944291,0.3765800346982742
PKIS2,locked_no_retuning_evaluation,ungated_equal_rank_sequence_plus_raw_Vina,0.55,0.35590989575490134,0.6618959679901508,0.31581199638332264
PKIS2,locked_no_retuning_evaluation,ungated_equal_rank_sequence_plus_Vina,0.55,0.3446509960495662,0.7211449676823639,0.32878708974944326
PKIS2,locked_no_retuning_evaluation,ungated_equal_rank_sequence_plus_raw_plus_centered_Vina,0.55,0.34477081449776964,0.7016004924592182,0.3129339136216097
PKIS2,locked_no_retuning_evaluation,pocket_gated_sequence_plus_raw_Vina,0.55,0.3724170692396819,0.7131425053862727,0.3808231143870005
PKIS2,locked_no_retuning_evaluation,pocket_gated_sequence_plus_Vina,0.55,0.35054570337911883,0.7379193598030164,0.3958678573676816
PKIS2,locked_no_retuning_evaluation,pocket_gated_sequence_plus_raw_plus_centered_Vina,0.55,0.36457025237839635,0.7477685441674362,0.38848711570787975
KiRHub,locked_no_retuning_evaluation,sequence_only,0.55,0.3378043830470408,0.6740535549399815,0.3452119229688825
KiRHub,locked_no_retuning_evaluation,ungated_equal_rank_sequence_plus_raw_Vina,0.55,0.4340625960790095,0.7903970452446907,0.4339665075107982
KiRHub,locked_no_retuning_evaluation,ungated_equal_rank_sequence_plus_Vina,0.55,0.4145191627344001,0.7514619883040935,0.3269374345125874
KiRHub,locked_no_retuning_evaluation,ungated_equal_rank_sequence_plus_raw_plus_centered_Vina,0.55,0.4021159763602802,0.7896275777162204,0.4203200951594866
KiRHub,locked_no_retuning_evaluation,pocket_gated_sequence_plus_raw_Vina,0.55,0.47274639145726416,0.8251769775315483,0.46086285351899814
KiRHub,locked_no_retuning_evaluation,pocket_gated_sequence_plus_Vina,0.55,0.43491713856615427,0.7716220375500153,0.40614238804082775
KiRHub,locked_no_retuning_evaluation,pocket_gated_sequence_plus_raw_plus_centered_Vina,0.55,0.4497766417511049,0.8311788242536164,0.46202934263710954
