omitted_target,panel,metric,gated_minus_sequence
ABL1,DAVIS,continuous_spearman,0.12045756427998017
ABL1,DAVIS,roc_auc,0.16503267973856217
ABL1,DAVIS,average_precision,0.12453125577267238
ABL1,PKIS2,continuous_spearman,0.0918350206703607
ABL1,PKIS2,roc_auc,0.11310820624546114
ABL1,PKIS2,average_precision,0.05312643988447452
ABL1,KiRHub,continuous_spearman,0.10358607136128639
ABL1,KiRHub,roc_auc,0.161038489469862
ABL1,KiRHub,average_precision,0.11627692720304555
AKT1,DAVIS,continuous_spearman,0.11725462428500988
AKT1,DAVIS,roc_auc,0.17683369644153946
AKT1,DAVIS,average_precision,0.09878744884143287
AKT1,PKIS2,continuous_spearman,0.0785844759319837
AKT1,PKIS2,roc_auc,0.08460421205519242
AKT1,PKIS2,average_precision,0.021795005834677417
AKT1,KiRHub,continuous_spearman,0.10010660921365999
AKT1,KiRHub,roc_auc,0.20206971677559904
AKT1,KiRHub,average_precision,0.09546223364728368
AKT2,DAVIS,continuous_spearman,0.13150005859196762
AKT2,DAVIS,roc_auc,0.17429193899782136
AKT2,DAVIS,average_precision,0.12272024770350498
AKT2,PKIS2,continuous_spearman,0.0870339143994428
AKT2,PKIS2,roc_auc,0.05682643427741463
AKT2,PKIS2,average_precision,0.010564224524186427
AKT2,KiRHub,continuous_spearman,0.10709417943328142
AKT2,KiRHub,roc_auc,0.19517066085693535
AKT2,KiRHub,average_precision,0.1090969998036343
CDK2,DAVIS,continuous_spearman,0.09496351924033619
CDK2,DAVIS,roc_auc,0.13725490196078427
CDK2,DAVIS,average_precision,0.10384646466800224
CDK2,PKIS2,continuous_spearman,0.07342597102628595
CDK2,PKIS2,roc_auc,0.08551198257080606
CDK2,PKIS2,average_precision,0.007182682949691599
CDK2,KiRHub,continuous_spearman,0.07170843746447164
CDK2,KiRHub,roc_auc,0.15141612200435717
CDK2,KiRHub,average_precision,0.10486567026807814
CSF1R,DAVIS,continuous_spearman,0.1692165558883132
CSF1R,DAVIS,roc_auc,0.16503267973856217
CSF1R,DAVIS,average_precision,0.12633202924093534
CSF1R,PKIS2,continuous_spearman,0.13592960098810056
CSF1R,PKIS2,roc_auc,0.11383442265795207
CSF1R,PKIS2,average_precision,0.07152981642695855
CSF1R,KiRHub,continuous_spearman,0.14132801498889247
CSF1R,KiRHub,roc_auc,0.16212781408859833
CSF1R,KiRHub,average_precision,0.13237396423363812
EGFR,DAVIS,continuous_spearman,0.08846150921451257
EGFR,DAVIS,roc_auc,0.1425199709513436
EGFR,DAVIS,average_precision,0.10041756478553365
EGFR,PKIS2,continuous_spearman,0.072849344164712
EGFR,PKIS2,roc_auc,0.07824981844589696
EGFR,PKIS2,average_precision,-0.0013785746152218947
EGFR,KiRHub,continuous_spearman,0.09297808343252345
EGFR,KiRHub,roc_auc,0.1541394335511983
EGFR,KiRHub,average_precision,0.10062140200011327
FGFR1,DAVIS,continuous_spearman,0.15101111963024
FGFR1,DAVIS,roc_auc,0.1470588235294119
FGFR1,DAVIS,average_precision,0.12628257996362718
FGFR1,PKIS2,continuous_spearman,0.1157696445248389
FGFR1,PKIS2,roc_auc,0.04502541757443723
FGFR1,PKIS2,average_precision,-0.031866983686742345
FGFR1,KiRHub,continuous_spearman,0.11513263199352236
FGFR1,KiRHub,roc_auc,0.13870733478576625
FGFR1,KiRHub,average_precision,0.11216201512199897
IGF1R,DAVIS,continuous_spearman,0.07535321364039649
IGF1R,DAVIS,roc_auc,0.1374364560639072
IGF1R,DAVIS,average_precision,0.10904514893060735
IGF1R,PKIS2,continuous_spearman,0.02079169437328371
IGF1R,PKIS2,roc_auc,0.03794480755265062
IGF1R,PKIS2,average_precision,0.004169453027691616
IGF1R,KiRHub,continuous_spearman,0.058312331179599164
IGF1R,KiRHub,roc_auc,0.15032679738562105
IGF1R,KiRHub,average_precision,0.09539483262066323
JAK2,DAVIS,continuous_spearman,0.13055933423148725
JAK2,DAVIS,roc_auc,0.13925199709513436
JAK2,DAVIS,average_precision,0.10715020736593994
JAK2,PKIS2,continuous_spearman,0.08392855735019589
JAK2,PKIS2,roc_auc,0.05718954248366026
JAK2,PKIS2,average_precision,0.015970389444231292
JAK2,KiRHub,continuous_spearman,0.12500283803990814
JAK2,KiRHub,roc_auc,0.1497821350762527
JAK2,KiRHub,average_precision,0.10831019412973042
KDR,DAVIS,continuous_spearman,0.08863613992725461
KDR,DAVIS,roc_auc,0.16503267973856217
KDR,DAVIS,average_precision,0.1177999027910418
KDR,PKIS2,continuous_spearman,0.0681601177306165
KDR,PKIS2,roc_auc,0.07316630355846043
KDR,PKIS2,average_precision,0.03512929979164997
KDR,KiRHub,continuous_spearman,0.11038197614671919
KDR,KiRHub,roc_auc,0.15450254175744382
KDR,KiRHub,average_precision,0.1346624545954232
KIT,DAVIS,continuous_spearman,0.14541847130315808
KIT,DAVIS,roc_auc,0.16158315177923033
KIT,DAVIS,average_precision,0.12664729371744704
KIT,PKIS2,continuous_spearman,0.11156290069176417
KIT,PKIS2,roc_auc,0.1054829339143063
KIT,PKIS2,average_precision,0.05317307788638337
KIT,KiRHub,continuous_spearman,0.12262899450591425
KIT,KiRHub,roc_auc,0.15795206971677556
KIT,KiRHub,average_precision,0.11713801297778076
LCK,DAVIS,continuous_spearman,0.2148510866526222
LCK,DAVIS,roc_auc,0.165758896151053
LCK,DAVIS,average_precision,0.11728034328176884
LCK,PKIS2,continuous_spearman,0.19464671032995357
LCK,PKIS2,roc_auc,0.12581699346405228
LCK,PKIS2,average_precision,0.06787147578645514
LCK,KiRHub,continuous_spearman,0.23751361354999284
LCK,KiRHub,roc_auc,0.16249092229484385
LCK,KiRHub,average_precision,0.11022747400721533
MAP2K1,DAVIS,continuous_spearman,0.1161199554150974
MAP2K1,DAVIS,roc_auc,0.15232389251997103
MAP2K1,DAVIS,average_precision,0.10633294300194407
MAP2K1,PKIS2,continuous_spearman,0.07973094957141857
MAP2K1,PKIS2,roc_auc,0.07534495279593323
MAP2K1,PKIS2,average_precision,0.002854019425284904
MAP2K1,KiRHub,continuous_spearman,0.08037862089558984
MAP2K1,KiRHub,roc_auc,0.16721132897603486
MAP2K1,KiRHub,average_precision,0.10758722871144988
MAPK1,DAVIS,continuous_spearman,0.07824167778110358
MAPK1,DAVIS,roc_auc,0.14288307915758902
MAPK1,DAVIS,average_precision,0.1262469010309083
MAPK1,PKIS2,continuous_spearman,0.04869633879432872
MAPK1,PKIS2,roc_auc,0.038489469862018955
MAPK1,PKIS2,average_precision,0.025080055634818688
MAPK1,KiRHub,continuous_spearman,0.06861766451850293
MAPK1,KiRHub,roc_auc,0.16267247639796656
MAPK1,KiRHub,average_precision,0.12582585528360063
MAPK14,DAVIS,continuous_spearman,0.12595915718971756
MAPK14,DAVIS,roc_auc,0.13943355119825718
MAPK14,DAVIS,average_precision,0.10833250204932876
MAPK14,PKIS2,continuous_spearman,0.08890075201631747
MAPK14,PKIS2,roc_auc,0.06499636891793747
MAPK14,PKIS2,average_precision,-0.0007751951116212741
MAPK14,KiRHub,continuous_spearman,0.1148434933887571
MAPK14,KiRHub,roc_auc,0.15141612200435728
MAPK14,KiRHub,average_precision,0.1065560658554695
MAPKAPK2,DAVIS,continuous_spearman,0.09949829417819445
MAPKAPK2,DAVIS,roc_auc,0.12708787218591122
MAPKAPK2,DAVIS,average_precision,0.1218903413942174
MAPKAPK2,PKIS2,continuous_spearman,0.05795519855316439
MAPKAPK2,PKIS2,roc_auc,0.0492011619462599
MAPKAPK2,PKIS2,average_precision,0.02825341180013441
MAPKAPK2,KiRHub,continuous_spearman,0.08314224690614896
MAPKAPK2,KiRHub,roc_auc,0.14179375453885246
MAPKAPK2,KiRHub,average_precision,0.11440273095680886
MET,DAVIS,continuous_spearman,0.1309855141581418
MET,DAVIS,roc_auc,0.12944807552650683
MET,DAVIS,average_precision,0.09294525721765678
MET,PKIS2,continuous_spearman,0.10080507956273205
MET,PKIS2,roc_auc,0.05029048656499646
MET,PKIS2,average_precision,-0.016115407508545343
MET,KiRHub,continuous_spearman,0.10286336001530438
MET,KiRHub,roc_auc,0.13888888888888884
MET,KiRHub,average_precision,0.09341016887957976
PLK1,DAVIS,continuous_spearman,0.09965420436122507
PLK1,DAVIS,roc_auc,0.15268700072621633
PLK1,DAVIS,average_precision,0.119041848305879
PLK1,PKIS2,continuous_spearman,0.07017981498936665
PLK1,PKIS2,roc_auc,0.08042846768336964
PLK1,PKIS2,average_precision,0.005782358307802382
PLK1,KiRHub,continuous_spearman,0.07837687587103215
PLK1,KiRHub,roc_auc,0.1403413217138707
PLK1,KiRHub,average_precision,0.11289234417364213
ROCK1,DAVIS,continuous_spearman,0.12416075522662998
ROCK1,DAVIS,roc_auc,0.16503267973856206
ROCK1,DAVIS,average_precision,0.06512191756961405
ROCK1,PKIS2,continuous_spearman,0.09651498192918534
ROCK1,PKIS2,roc_auc,0.06590413943355111
ROCK1,PKIS2,average_precision,0.0027897413076279354
ROCK1,KiRHub,continuous_spearman,0.11174306782901211
ROCK1,KiRHub,roc_auc,0.20515613652868558
ROCK1,KiRHub,average_precision,0.10075240286192355
SRC,DAVIS,continuous_spearman,0.19194238997173224
SRC,DAVIS,roc_auc,0.16394335511982572
SRC,DAVIS,average_precision,0.12505998808240915
SRC,PKIS2,continuous_spearman,0.17164551962200073
SRC,PKIS2,roc_auc,0.08623819898329699
SRC,PKIS2,average_precision,0.01687732966114308
SRC,KiRHub,continuous_spearman,0.19584135210854958
SRC,KiRHub,roc_auc,0.16176470588235292
SRC,KiRHub,average_precision,0.11661678613679483
