threshold,low_identity_pairs,panel,role,metric,gated_minus_sequence
0.3,9,PKIS1,threshold_selection,continuous_spearman,0.011777395697099069
0.3,9,PKIS1,threshold_selection,roc_auc,-0.010310864881502013
0.3,9,PKIS1,threshold_selection,average_precision,-0.002914656348458111
0.3,9,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.008570431565905923
0.3,9,DAVIS,locked_no_retuning_evaluation,roc_auc,-0.00615574022776233
0.3,9,DAVIS,locked_no_retuning_evaluation,average_precision,-0.0017149266828499488
0.3,9,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.015399921950287498
0.3,9,PKIS2,locked_no_retuning_evaluation,roc_auc,-0.003693444136657509
0.3,9,PKIS2,locked_no_retuning_evaluation,average_precision,-0.0013487072885829399
0.3,9,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.028203377216726888
0.3,9,KiRHub,locked_no_retuning_evaluation,roc_auc,-0.007694675284703023
0.3,9,KiRHub,locked_no_retuning_evaluation,average_precision,-0.0022223047001025953
0.35,64,PKIS1,threshold_selection,continuous_spearman,0.021071130254274345
0.35,64,PKIS1,threshold_selection,roc_auc,-0.051554324407510066
0.35,64,PKIS1,threshold_selection,average_precision,-0.011439865856764764
0.35,64,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.062199941622624655
0.35,64,DAVIS,locked_no_retuning_evaluation,roc_auc,0.00261618959679899
0.35,64,DAVIS,locked_no_retuning_evaluation,average_precision,-0.0005533283082967411
0.35,64,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.08088654458850258
0.35,64,PKIS2,locked_no_retuning_evaluation,roc_auc,0.050630963373345605
0.35,64,PKIS2,locked_no_retuning_evaluation,average_precision,0.006513665512817124
0.35,64,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.08047850591832112
0.35,64,KiRHub,locked_no_retuning_evaluation,roc_auc,0.022622345337026784
0.35,64,KiRHub,locked_no_retuning_evaluation,average_precision,0.007425523536308487
0.4,127,PKIS1,threshold_selection,continuous_spearman,0.010396560423827
0.4,127,PKIS1,threshold_selection,roc_auc,0.023084025854108847
0.4,127,PKIS1,threshold_selection,average_precision,0.02335328770636902
0.4,127,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.0847219893628321
0.4,127,DAVIS,locked_no_retuning_evaluation,roc_auc,0.06017236072637733
0.4,127,DAVIS,locked_no_retuning_evaluation,average_precision,0.03935990503338482
0.4,127,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.0705538784578677
0.4,127,PKIS2,locked_no_retuning_evaluation,roc_auc,0.07633117882425355
0.4,127,PKIS2,locked_no_retuning_evaluation,average_precision,0.025602609086309236
0.4,127,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.09164471483707859
0.4,127,KiRHub,locked_no_retuning_evaluation,roc_auc,0.07156048014773775
0.4,127,KiRHub,locked_no_retuning_evaluation,average_precision,0.03363082950213708
0.45,148,PKIS1,threshold_selection,continuous_spearman,-0.00022354839942642646
0.45,148,PKIS1,threshold_selection,roc_auc,0.026623576485072187
0.45,148,PKIS1,threshold_selection,average_precision,0.03182603035434767
0.45,148,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.1166264717207422
0.45,148,DAVIS,locked_no_retuning_evaluation,roc_auc,0.1175746383502616
0.45,148,DAVIS,locked_no_retuning_evaluation,average_precision,0.07548343060413948
0.45,148,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.09097668316650287
0.45,148,PKIS2,locked_no_retuning_evaluation,roc_auc,0.10172360726377339
0.45,148,PKIS2,locked_no_retuning_evaluation,average_precision,0.04553366187419572
0.45,148,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.10803817756209594
0.45,148,KiRHub,locked_no_retuning_evaluation,roc_auc,0.1072637734687597
0.45,148,KiRHub,locked_no_retuning_evaluation,average_precision,0.06191007608291621
0.5,170,PKIS1,threshold_selection,continuous_spearman,0.0464921390674948
0.5,170,PKIS1,threshold_selection,roc_auc,0.05278547245306242
0.5,170,PKIS1,threshold_selection,average_precision,0.04653369320902534
0.5,170,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.1528498733155495
0.5,170,DAVIS,locked_no_retuning_evaluation,roc_auc,0.14542936288088648
0.5,170,DAVIS,locked_no_retuning_evaluation,average_precision,0.10304016593490145
0.5,170,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.11986742298686787
0.5,170,PKIS2,locked_no_retuning_evaluation,roc_auc,0.0835641735918744
0.5,170,PKIS2,locked_no_retuning_evaluation,average_precision,0.0130665879987798
0.5,170,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.13076908510678464
0.5,170,KiRHub,locked_no_retuning_evaluation,roc_auc,0.14327485380116955
0.5,170,KiRHub,locked_no_retuning_evaluation,average_precision,0.09311130731463796
0.55,177,PKIS1,threshold_selection,continuous_spearman,0.039878651488746336
0.55,177,PKIS1,threshold_selection,roc_auc,0.06309633733456443
0.55,177,PKIS1,threshold_selection,average_precision,0.05729839868788983
0.55,177,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.1257870622393376
0.55,177,DAVIS,locked_no_retuning_evaluation,roc_auc,0.15404739919975374
0.55,177,DAVIS,locked_no_retuning_evaluation,average_precision,0.11665007910140951
0.55,177,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.09281335991009887
0.55,177,PKIS2,locked_no_retuning_evaluation,roc_auc,0.07494613727300714
0.55,177,PKIS2,locked_no_retuning_evaluation,average_precision,0.011907081009605525
0.55,177,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.11197225870406408
0.55,177,KiRHub,locked_no_retuning_evaluation,roc_auc,0.1571252693136349
0.55,177,KiRHub,locked_no_retuning_evaluation,average_precision,0.11681741966822706
0.6,181,PKIS1,threshold_selection,continuous_spearman,0.03797170220613075
0.6,181,PKIS1,threshold_selection,roc_auc,0.05109264389042767
0.6,181,PKIS1,threshold_selection,average_precision,0.04634454905708768
0.6,181,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.1187267178012607
0.6,181,DAVIS,locked_no_retuning_evaluation,roc_auc,0.14142813173284086
0.6,181,DAVIS,locked_no_retuning_evaluation,average_precision,0.11866144146810836
0.6,181,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.1049846163239912
0.6,181,PKIS2,locked_no_retuning_evaluation,roc_auc,0.062019082794706026
0.6,181,PKIS2,locked_no_retuning_evaluation,average_precision,-0.0015997540386197828
0.6,181,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.10293139406058316
0.6,181,KiRHub,locked_no_retuning_evaluation,roc_auc,0.14604493690366271
0.6,181,KiRHub,locked_no_retuning_evaluation,average_precision,0.11396478395218107
0.65,184,PKIS1,threshold_selection,continuous_spearman,0.02772462151831981
0.65,184,PKIS1,threshold_selection,roc_auc,0.023084025854108847
0.65,184,PKIS1,threshold_selection,average_precision,0.02033899958966484
0.65,184,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.1063312786404671
0.65,184,DAVIS,locked_no_retuning_evaluation,roc_auc,0.11588180978762697
0.65,184,DAVIS,locked_no_retuning_evaluation,average_precision,0.14794000916521216
0.65,184,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.09650041118809127
0.65,184,PKIS2,locked_no_retuning_evaluation,roc_auc,0.07125269313634963
0.65,184,PKIS2,locked_no_retuning_evaluation,average_precision,0.04872634930713088
0.65,184,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.0820355895741664
0.65,184,KiRHub,locked_no_retuning_evaluation,roc_auc,0.12019082794706071
0.65,184,KiRHub,locked_no_retuning_evaluation,average_precision,0.1084139399675042
0.7,185,PKIS1,threshold_selection,continuous_spearman,0.028329984138919434
0.7,185,PKIS1,threshold_selection,roc_auc,0.02369959987688508
0.7,185,PKIS1,threshold_selection,average_precision,0.027743875415593255
0.7,185,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.10541273709186949
0.7,185,DAVIS,locked_no_retuning_evaluation,roc_auc,0.11311172668513392
0.7,185,DAVIS,locked_no_retuning_evaluation,average_precision,0.12007623207542889
0.7,185,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.0957638283462634
0.7,185,PKIS2,locked_no_retuning_evaluation,roc_auc,0.0724838411819021
0.7,185,PKIS2,locked_no_retuning_evaluation,average_precision,0.07790506532795216
0.7,185,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.08143372615946631
0.7,185,KiRHub,locked_no_retuning_evaluation,roc_auc,0.12142197599261317
0.7,185,KiRHub,locked_no_retuning_evaluation,average_precision,0.13320669107604483
