target,PKIS1_compounds,activity_threshold_percent_inhibition,active_compounds,target_degree
ABL1,360,50.0,53,0.14722222222222223
AKT1,360,50.0,7,0.019444444444444445
AKT2,360,50.0,7,0.019444444444444445
CDK2,360,50.0,36,0.1
CSF1R,360,50.0,52,0.14444444444444443
EGFR,360,50.0,51,0.14166666666666666
FGFR1,360,50.0,2,0.005555555555555556
IGF1R,360,50.0,21,0.058333333333333334
JAK2,360,50.0,3,0.008333333333333333
KDR,360,50.0,70,0.19444444444444445
KIT,360,50.0,85,0.2361111111111111
LCK,360,50.0,30,0.08333333333333333
MAP2K1,360,50.0,4,0.011111111111111112
MAPK1,360,50.0,3,0.008333333333333333
MAPK14,360,50.0,58,0.16111111111111112
MAPKAPK2,360,50.0,0,0.0
MET,360,50.0,7,0.019444444444444445
PLK1,360,50.0,23,0.06388888888888888
ROCK1,360,50.0,19,0.05277777777777778
SRC,360,50.0,51,0.14166666666666666
