omitted_target,panel,metric,degree_prior_increment
ABL1,DAVIS,continuous_spearman,0.2102383180934552
ABL1,DAVIS,top_10_roc_auc,0.13507625272331159
ABL1,DAVIS,top_10_average_precision,0.09983454928242486
ABL1,PKIS2,continuous_spearman,0.25142198862409093
ABL1,PKIS2,top_10_roc_auc,0.16957153231663036
ABL1,PKIS2,top_10_average_precision,0.11316035327747484
ABL1,KiRHub,continuous_spearman,0.13662610699114403
ABL1,KiRHub,top_10_roc_auc,0.16230936819172115
ABL1,KiRHub,top_10_average_precision,0.12056451218182282
AKT1,DAVIS,continuous_spearman,0.24036527707778332
AKT1,DAVIS,top_10_roc_auc,0.0958605664488017
AKT1,DAVIS,top_10_average_precision,0.0073489279358577575
AKT1,PKIS2,continuous_spearman,0.2297909616723066
AKT1,PKIS2,top_10_roc_auc,0.11074800290486564
AKT1,PKIS2,top_10_average_precision,0.026616783291646268
AKT1,KiRHub,continuous_spearman,0.16508987928096575
AKT1,KiRHub,top_10_roc_auc,0.18264342774146702
AKT1,KiRHub,top_10_average_precision,0.06593507237765703
AKT2,DAVIS,continuous_spearman,0.21154390764873876
AKT2,DAVIS,top_10_roc_auc,0.10348583877995643
AKT2,DAVIS,top_10_average_precision,0.03653551360656074
AKT2,PKIS2,continuous_spearman,0.22131662946696426
AKT2,PKIS2,top_10_roc_auc,0.10312273057371102
AKT2,PKIS2,top_10_average_precision,0.029804014338459583
AKT2,KiRHub,continuous_spearman,0.13158614731082147
AKT2,KiRHub,top_10_roc_auc,0.11728395061728403
AKT2,KiRHub,top_10_average_precision,0.036036991710369254
CDK2,DAVIS,continuous_spearman,0.239297285621715
CDK2,DAVIS,top_10_roc_auc,0.12962962962962965
CDK2,DAVIS,top_10_average_precision,0.10349904553297654
CDK2,PKIS2,continuous_spearman,0.2544651642786857
CDK2,PKIS2,top_10_roc_auc,0.13435003631082065
CDK2,PKIS2,top_10_average_precision,0.08423093680905952
CDK2,KiRHub,continuous_spearman,0.15616915064679482
CDK2,KiRHub,top_10_roc_auc,0.13689179375453886
CDK2,KiRHub,top_10_average_precision,0.0989325851943208
CSF1R,DAVIS,continuous_spearman,0.24767321861425107
CSF1R,DAVIS,top_10_roc_auc,0.12490922294843865
CSF1R,DAVIS,top_10_average_precision,0.08762218866784133
CSF1R,PKIS2,continuous_spearman,0.27670818633450933
CSF1R,PKIS2,top_10_roc_auc,0.17247639796659409
CSF1R,PKIS2,top_10_average_precision,0.11410120406142335
CSF1R,KiRHub,continuous_spearman,0.1708690330477356
CSF1R,KiRHub,top_10_roc_auc,0.15395787944807549
CSF1R,KiRHub,top_10_average_precision,0.11565611090606556
EGFR,DAVIS,continuous_spearman,0.2003551971584227
EGFR,DAVIS,top_10_roc_auc,0.09513435003631088
EGFR,DAVIS,top_10_average_precision,0.07857234603133567
EGFR,PKIS2,continuous_spearman,0.23344373245014038
EGFR,PKIS2,top_10_roc_auc,0.10929557007988377
EGFR,PKIS2,top_10_average_precision,0.06550949187631899
EGFR,KiRHub,continuous_spearman,0.12388460892312858
EGFR,KiRHub,top_10_roc_auc,0.11583151779230205
EGFR,KiRHub,top_10_average_precision,0.0814835530631251
FGFR1,DAVIS,continuous_spearman,0.24396044831641345
FGFR1,DAVIS,top_10_roc_auc,0.13471314451706606
FGFR1,DAVIS,top_10_average_precision,0.09827839581855027
FGFR1,PKIS2,continuous_spearman,0.236297309621523
FGFR1,PKIS2,top_10_roc_auc,0.09513435003631088
FGFR1,PKIS2,top_10_average_precision,0.040281734576192635
FGFR1,KiRHub,continuous_spearman,0.2347973216214269
FGFR1,KiRHub,top_10_roc_auc,0.12926652142338424
FGFR1,KiRHub,top_10_average_precision,0.09384856939087319
IGF1R,DAVIS,continuous_spearman,0.1282237742098063
IGF1R,DAVIS,top_10_roc_auc,0.1027596223674655
IGF1R,DAVIS,top_10_average_precision,0.05565377436842736
IGF1R,PKIS2,continuous_spearman,0.14326925384596922
IGF1R,PKIS2,top_10_roc_auc,0.07843137254901955
IGF1R,PKIS2,top_10_average_precision,0.024062258811477943
IGF1R,KiRHub,continuous_spearman,0.08939688482492136
IGF1R,KiRHub,top_10_roc_auc,0.13180827886710245
IGF1R,KiRHub,top_10_average_precision,0.0670987921816357
JAK2,DAVIS,continuous_spearman,0.19424484604123166
JAK2,DAVIS,top_10_roc_auc,0.11873638344226578
JAK2,DAVIS,top_10_average_precision,0.11909095019814869
JAK2,PKIS2,continuous_spearman,0.21053111575107403
JAK2,PKIS2,top_10_roc_auc,0.10312273057371091
JAK2,PKIS2,top_10_average_precision,0.07214114204644975
JAK2,KiRHub,continuous_spearman,0.16614587083303334
JAK2,KiRHub,top_10_roc_auc,0.1521423384168482
JAK2,KiRHub,top_10_average_precision,0.1415411401917145
KDR,DAVIS,continuous_spearman,0.21188950488396088
KDR,DAVIS,top_10_roc_auc,0.15976761074800294
KDR,DAVIS,top_10_average_precision,0.10516038125152977
KDR,PKIS2,continuous_spearman,0.2604195166438668
KDR,PKIS2,top_10_roc_auc,0.14814814814814814
KDR,PKIS2,top_10_average_precision,0.10481044627249442
KDR,KiRHub,continuous_spearman,0.14188206494348043
KDR,KiRHub,top_10_roc_auc,0.1285403050108933
KDR,KiRHub,top_10_average_precision,0.10482882795799287
KIT,DAVIS,continuous_spearman,0.2534883720930232
KIT,DAVIS,top_10_roc_auc,0.11183732752360198
KIT,DAVIS,top_10_average_precision,0.08275478022394891
KIT,PKIS2,continuous_spearman,0.27822497420020637
KIT,PKIS2,top_10_roc_auc,0.18845315904139437
KIT,PKIS2,top_10_average_precision,0.11285616531702225
KIT,KiRHub,continuous_spearman,0.16144910840713272
KIT,KiRHub,top_10_roc_auc,0.16702977487291215
KIT,KiRHub,top_10_average_precision,0.12146238757416244
LCK,DAVIS,continuous_spearman,0.2968368253053975
LCK,DAVIS,top_10_roc_auc,0.13907044299201166
LCK,DAVIS,top_10_average_precision,0.10094017085081503
LCK,PKIS2,continuous_spearman,0.33692130462956293
LCK,PKIS2,top_10_roc_auc,0.24364560639070443
LCK,PKIS2,top_10_average_precision,0.13897821975555222
LCK,KiRHub,continuous_spearman,0.22340221278229772
LCK,KiRHub,top_10_roc_auc,0.16158315177923022
LCK,KiRHub,top_10_average_precision,0.11988734184850403
MAP2K1,DAVIS,continuous_spearman,0.213406292749658
MAP2K1,DAVIS,top_10_roc_auc,0.12164124909222951
MAP2K1,DAVIS,top_10_average_precision,0.09414602461502442
MAP2K1,PKIS2,continuous_spearman,0.23884128926968579
MAP2K1,PKIS2,top_10_roc_auc,0.11728395061728392
MAP2K1,PKIS2,top_10_average_precision,0.05137678404726356
MAP2K1,KiRHub,continuous_spearman,0.12108383132934936
MAP2K1,KiRHub,top_10_roc_auc,0.15359477124183007
MAP2K1,KiRHub,top_10_average_precision,0.1213580771981062
MAPK1,DAVIS,continuous_spearman,0.1586459308325533
MAPK1,DAVIS,top_10_roc_auc,0.049745824255628124
MAPK1,DAVIS,top_10_average_precision,0.05977757701989175
MAPK1,PKIS2,continuous_spearman,0.1572875416996664
MAPK1,PKIS2,top_10_roc_auc,0.04030501089324623
MAPK1,PKIS2,top_10_average_precision,0.07716862271221805
MAPK1,KiRHub,continuous_spearman,0.06573547411620706
MAPK1,KiRHub,top_10_roc_auc,0.08896151053013801
MAPK1,KiRHub,top_10_average_precision,0.09821590330996993
MAPK14,DAVIS,continuous_spearman,0.22295581635346912
MAPK14,DAVIS,top_10_roc_auc,0.08278867102396514
MAPK14,DAVIS,top_10_average_precision,0.06561345861362838
MAPK14,PKIS2,continuous_spearman,0.23650130798953606
MAPK14,PKIS2,top_10_roc_auc,0.10457516339869288
MAPK14,PKIS2,top_10_average_precision,0.061311003572613515
MAPK14,KiRHub,continuous_spearman,0.14086687306501544
MAPK14,KiRHub,top_10_roc_auc,0.09912854030501084
MAPK14,KiRHub,top_10_average_precision,0.07054471286734437
MAPKAPK2,DAVIS,continuous_spearman,0.1816377468980248
MAPKAPK2,DAVIS,top_10_roc_auc,0.07080610021786493
