PKIS1_activity_threshold_percent_inhibition,selected_pocket_identity_threshold,panel,metric,augmented_minus_baseline
20.0,0.55,DAVIS,continuous_spearman,0.007957065438465305
20.0,0.55,DAVIS,top_5_roc_auc,0.01722222222222214
20.0,0.55,DAVIS,top_5_average_precision,0.023054309309965354
20.0,0.55,DAVIS,top_10_roc_auc,0.013542628501077236
20.0,0.55,DAVIS,top_10_average_precision,0.017880002923911453
20.0,0.55,DAVIS,top_15_roc_auc,0.012636538873420422
20.0,0.55,DAVIS,top_15_average_precision,0.016849845294775068
20.0,0.55,PKIS2,continuous_spearman,0.004454417019862045
20.0,0.55,PKIS2,top_5_roc_auc,0.008888888888888946
20.0,0.55,PKIS2,top_5_average_precision,0.007454808502719568
20.0,0.55,PKIS2,top_10_roc_auc,0.005540166204986097
20.0,0.55,PKIS2,top_10_average_precision,0.004614782651315985
20.0,0.55,PKIS2,top_15_roc_auc,0.009423859498821963
20.0,0.55,PKIS2,top_15_average_precision,0.013717868213791284
20.0,0.55,KiRHub,continuous_spearman,0.007757613930113316
20.0,0.55,KiRHub,top_5_roc_auc,0.00666666666666671
20.0,0.55,KiRHub,top_5_average_precision,0.014620159828146684
20.0,0.55,KiRHub,top_10_roc_auc,0.011388119421360421
20.0,0.55,KiRHub,top_10_average_precision,0.01678075673493895
20.0,0.55,KiRHub,top_15_roc_auc,0.01135146712358115
20.0,0.55,KiRHub,top_15_average_precision,0.014895565328242155
35.0,0.55,DAVIS,continuous_spearman,0.009552677505281548
35.0,0.55,DAVIS,top_5_roc_auc,0.016666666666666607
35.0,0.55,DAVIS,top_5_average_precision,0.013809454921360986
35.0,0.55,DAVIS,top_10_roc_auc,0.01692828562634663
35.0,0.55,DAVIS,top_10_average_precision,0.01534669194345084
35.0,0.55,DAVIS,top_15_roc_auc,0.013921610623259806
35.0,0.55,DAVIS,top_15_average_precision,0.012184873473273572
35.0,0.55,PKIS2,continuous_spearman,0.00371259737476326
35.0,0.55,PKIS2,top_5_roc_auc,0.012222222222222245
35.0,0.55,PKIS2,top_5_average_precision,0.01073582817839891
35.0,0.55,PKIS2,top_10_roc_auc,0.005540166204986097
35.0,0.55,PKIS2,top_10_average_precision,0.005016577543959566
35.0,0.55,PKIS2,top_15_roc_auc,0.007496251874062998
35.0,0.55,PKIS2,top_15_average_precision,0.008456170293168142
35.0,0.55,KiRHub,continuous_spearman,0.010245509060609614
35.0,0.55,KiRHub,top_5_roc_auc,0.01055555555555554
35.0,0.55,KiRHub,top_5_average_precision,0.01055288388887804
35.0,0.55,KiRHub,top_10_roc_auc,0.01323484148968912
35.0,0.55,KiRHub,top_10_average_precision,0.014865937731670498
35.0,0.55,KiRHub,top_15_roc_auc,0.014992503748125885
35.0,0.55,KiRHub,top_15_average_precision,0.014200605718101222
50.0,0.55,DAVIS,continuous_spearman,0.024887699178137268
50.0,0.55,DAVIS,top_5_roc_auc,0.033333333333333326
