model,feature,coefficient
PKIS1_target_degree_prior,intercept,0.3230035018474198
PKIS1_target_degree_prior,joint_degree,-0.13002106836888477
PKIS1_target_degree_prior,degree_similarity,0.4840140646740452
degree_prior_plus_sequence_plus_KLIFS_pocket,intercept,0.23429631305851442
degree_prior_plus_sequence_plus_KLIFS_pocket,joint_degree,-0.17171018693574602
degree_prior_plus_sequence_plus_KLIFS_pocket,degree_similarity,0.46838335608249976
degree_prior_plus_sequence_plus_KLIFS_pocket,receptor_domain_sequence_identity,0.28297202666707155
degree_prior_plus_sequence_plus_KLIFS_pocket,KLIFS_pocket_identity,-0.04823782193085419
baseline_plus_raw_Vina_gate,intercept,0.19468615646776705
baseline_plus_raw_Vina_gate,joint_degree,-0.1648636605940815
baseline_plus_raw_Vina_gate,degree_similarity,0.4509818714052709
baseline_plus_raw_Vina_gate,receptor_domain_sequence_identity,0.35626900500453484
baseline_plus_raw_Vina_gate,KLIFS_pocket_identity,-0.03938724849094421
baseline_plus_raw_Vina_gate,raw_Vina_gate_increment,0.09451739677436517
baseline_plus_residual_Vina_gate,intercept,0.2167467554592327
baseline_plus_residual_Vina_gate,joint_degree,-0.16983271846076703
baseline_plus_residual_Vina_gate,degree_similarity,0.45752504905548314
baseline_plus_residual_Vina_gate,receptor_domain_sequence_identity,0.325069385050193
baseline_plus_residual_Vina_gate,KLIFS_pocket_identity,-0.04937484688120004
baseline_plus_residual_Vina_gate,residual_Vina_gate_increment,0.06022879871672325
baseline_plus_separate_raw_and_residual_Vina_gates,intercept,0.1911619915009284
baseline_plus_separate_raw_and_residual_Vina_gates,joint_degree,-0.16288848579603776
baseline_plus_separate_raw_and_residual_Vina_gates,degree_similarity,0.453154347960099
baseline_plus_separate_raw_and_residual_Vina_gates,receptor_domain_sequence_identity,0.35141874135380724
baseline_plus_separate_raw_and_residual_Vina_gates,KLIFS_pocket_identity,-0.032622085752010595
baseline_plus_separate_raw_and_residual_Vina_gates,raw_Vina_gate_increment,0.15241464635459426
baseline_plus_separate_raw_and_residual_Vina_gates,residual_Vina_gate_increment,-0.0711757460775516
