panel,role,model,continuous_spearman,top_5_roc_auc,top_5_average_precision,top_10_roc_auc,top_10_average_precision,top_15_roc_auc,top_15_average_precision
PKIS1,discovery_fit,PKIS1_target_degree_prior,0.510588302447093,0.7727777777777778,0.17819740026450878,0.7502308402585411,0.253887695737688,0.7665452987791819,0.39707491218169916
PKIS1,discovery_fit,degree_prior_plus_sequence_plus_KLIFS_pocket,0.5756336740629935,0.8422222222222222,0.2893302608575168,0.804247460757156,0.3243103081813188,0.8098093810237739,0.4242690106304667
PKIS1,discovery_fit,baseline_plus_ungated_raw_Vina,0.5693911917665018,0.8472222222222222,0.3003069319681896,0.8064019698368728,0.3388456616279977,0.8068108802741486,0.4492676763752544
PKIS1,discovery_fit,baseline_plus_ungated_raw_plus_residual_Vina,0.5707488616830033,0.8472222222222222,0.3005036471604255,0.8057863958140966,0.338628432941182,0.8068108802741486,0.44858162634829896
PKIS1,discovery_fit,baseline_plus_raw_Vina_gate,0.5763527492378415,0.8705555555555555,0.319255641613706,0.8153277931671283,0.364069413592581,0.8140929535232384,0.48393864663612934
PKIS1,discovery_fit,baseline_plus_residual_Vina_gate,0.5755496944805294,0.85,0.294096053094284,0.8104032009849185,0.34003260742454705,0.8121653458984793,0.4581337956824325
PKIS1,discovery_fit,baseline_plus_separate_raw_and_residual_Vina_gates,0.5780340904617565,0.8811111111111111,0.37013370678524943,0.8174823022468451,0.39338327238977333,0.8183765260227029,0.5170270377920183
PKIS1,discovery_fit,baseline_plus_exact_dual_surface_gate_increment,0.5767096624633136,0.8644444444444445,0.3103142428424031,0.817174515235457,0.3572868001137307,0.8158063825230242,0.47508794109072594
DAVIS,locked_no_retuning_evaluation,PKIS1_target_degree_prior,0.3945404164040444,0.6908333333333333,0.1153646822190248,0.6914435210834102,0.17462912057953767,0.6680231312914972,0.22432035920078686
DAVIS,locked_no_retuning_evaluation,degree_prior_plus_sequence_plus_KLIFS_pocket,0.4761336150148495,0.7644444444444445,0.22076148098585463,0.7614650661742074,0.24975314710448882,0.726279717284215,0.279275217515325
DAVIS,locked_no_retuning_evaluation,baseline_plus_ungated_raw_Vina,0.48613418362660576,0.77,0.22789152654872738,0.7673130193905817,0.2614908111935874,0.7331334332833583,0.28953299930642384
DAVIS,locked_no_retuning_evaluation,baseline_plus_ungated_raw_plus_residual_Vina,0.48549208973568303,0.7688888888888888,0.2273633049645147,0.7639273622653124,0.2598042681014797,0.7305632897836796,0.28821257091888364
DAVIS,locked_no_retuning_evaluation,baseline_plus_raw_Vina_gate,0.5078901442086893,0.8055555555555556,0.2537993900678348,0.7996306555863343,0.29332109833356124,0.7605482972799315,0.3158564495457502
DAVIS,locked_no_retuning_evaluation,baseline_plus_residual_Vina_gate,0.48895799708695825,0.7788888888888889,0.23179318740536686,0.7805478608802708,0.2694557075469888,0.7464125080316985,0.29816656490005705
DAVIS,locked_no_retuning_evaluation,baseline_plus_separate_raw_and_residual_Vina_gates,0.5115939937102791,0.8122222222222222,0.27553698821847644,0.7977839335180056,0.2994438307753098,0.758192332405226,0.3191381751192439
DAVIS,locked_no_retuning_evaluation,baseline_plus_exact_dual_surface_gate_increment,0.5010213141929868,0.7977777777777778,0.24684958586427022,0.7925515543244075,0.2845874643883815,0.7566930820304134,0.31034010326211947
PKIS2,locked_no_retuning_evaluation,PKIS1_target_degree_prior,0.42550833225830514,0.7052777777777778,0.11572675867114915,0.6634349030470914,0.15827841780380617,0.6776611694152923,0.22228379934976922
PKIS2,locked_no_retuning_evaluation,degree_prior_plus_sequence_plus_KLIFS_pocket,0.5051713052264168,0.7838888888888889,0.21320318690812967,0.7159125884887658,0.2110848964426323,0.7059327479117584,0.26603361333443215
PKIS2,locked_no_retuning_evaluation,baseline_plus_ungated_raw_Vina,0.5095977290521242,0.7861111111111111,0.21985968392662106,0.7159125884887658,0.21367993700237736,0.7119297494110087,0.2743702183785839
