omitted_target,panel,metric,selected_threshold_after_deletion,augmented_minus_baseline
ABL1,DAVIS,continuous_spearman,0.55,0.01393668850649199
ABL1,DAVIS,top_5_roc_auc,0.55,0.017832647462277085
ABL1,DAVIS,top_5_average_precision,0.55,0.010138965943112171
ABL1,DAVIS,top_10_roc_auc,0.55,0.019607843137254943
ABL1,DAVIS,top_10_average_precision,0.55,0.01285734534566052
ABL1,DAVIS,top_15_roc_auc,0.55,0.020424403183023854
ABL1,DAVIS,top_15_average_precision,0.55,0.014560074438209003
ABL1,PKIS2,continuous_spearman,0.55,0.00845753233974128
ABL1,PKIS2,top_5_roc_auc,0.55,0.016460905349794275
ABL1,PKIS2,top_5_average_precision,0.55,0.007896198544994348
ABL1,PKIS2,top_10_roc_auc,0.55,0.01125635439360928
ABL1,PKIS2,top_10_average_precision,0.55,0.008276064145498557
ABL1,PKIS2,top_15_roc_auc,0.55,0.010079575596816936
ABL1,PKIS2,top_15_average_precision,0.55,0.008071674019191177
ABL1,KiRHub,continuous_spearman,0.55,0.013135094919240642
ABL1,KiRHub,top_5_roc_auc,0.55,0.011659807956104218
ABL1,KiRHub,top_5_average_precision,0.55,0.00789544146401644
ABL1,KiRHub,top_10_roc_auc,0.55,0.013798111837327487
ABL1,KiRHub,top_10_average_precision,0.55,0.013712273656226848
ABL1,KiRHub,top_15_roc_auc,0.55,0.01618037135278516
ABL1,KiRHub,top_15_average_precision,0.55,0.013320269287491693
AKT1,DAVIS,continuous_spearman,0.55,0.023169414644682862
AKT1,DAVIS,top_5_roc_auc,0.55,0.03155006858710563
AKT1,DAVIS,top_5_average_precision,0.55,0.01677427003580606
AKT1,DAVIS,top_10_roc_auc,0.55,0.03631082062454616
AKT1,DAVIS,top_10_average_precision,0.55,0.02677416938496649
AKT1,DAVIS,top_15_roc_auc,0.55,0.03448275862068961
AKT1,DAVIS,top_15_average_precision,0.55,0.025653423179075818
AKT1,PKIS2,continuous_spearman,0.55,0.014359085127318982
AKT1,PKIS2,top_5_roc_auc,0.55,0.027434842249656977
AKT1,PKIS2,top_5_average_precision,0.55,0.011437900926925468
AKT1,PKIS2,top_10_roc_auc,0.55,0.023965141612200425
AKT1,PKIS2,top_10_average_precision,0.55,0.013959579110340542
AKT1,PKIS2,top_15_roc_auc,0.55,0.02652519893899208
AKT1,PKIS2,top_15_average_precision,0.55,0.019979251873500192
AKT1,KiRHub,continuous_spearman,0.55,0.02220942232462142
AKT1,KiRHub,top_5_roc_auc,0.55,0.030178326474622708
AKT1,KiRHub,top_5_average_precision,0.55,0.018205068792471857
AKT1,KiRHub,top_10_roc_auc,0.55,0.027959331880900495
AKT1,KiRHub,top_10_average_precision,0.55,0.02322434243257307
AKT1,KiRHub,top_15_roc_auc,0.55,0.02997347480106105
AKT1,KiRHub,top_15_average_precision,0.55,0.02495650349333825
AKT2,DAVIS,continuous_spearman,0.55,0.034756521947824415
AKT2,DAVIS,top_5_roc_auc,0.55,0.040466392318244226
AKT2,DAVIS,top_5_average_precision,0.55,0.044853473734938476
AKT2,DAVIS,top_10_roc_auc,0.55,0.038489469862018955
AKT2,DAVIS,top_10_average_precision,0.55,0.03395914916297671
AKT2,DAVIS,top_15_roc_auc,0.55,0.04031830238726797
AKT2,DAVIS,top_15_average_precision,0.55,0.03127875175272821
AKT2,PKIS2,continuous_spearman,0.55,0.023498212014303854
AKT2,PKIS2,top_5_roc_auc,0.55,0.03017832647462282
AKT2,PKIS2,top_5_average_precision,0.55,0.019702108181364586
AKT2,PKIS2,top_10_roc_auc,0.55,0.024691358024691357
AKT2,PKIS2,top_10_average_precision,0.55,0.0183497211680079
AKT2,PKIS2,top_15_roc_auc,0.55,0.025198938992042397
AKT2,PKIS2,top_15_average_precision,0.55,0.02322346005954562
AKT2,KiRHub,continuous_spearman,0.55,0.03348693210454318
AKT2,KiRHub,top_5_roc_auc,0.55,0.029492455418381414
AKT2,KiRHub,top_5_average_precision,0.55,0.03173842922568598
AKT2,KiRHub,top_10_roc_auc,0.55,0.035221496005809705
AKT2,KiRHub,top_10_average_precision,0.55,0.03648706528849241
AKT2,KiRHub,top_15_roc_auc,0.55,0.037400530503978846
AKT2,KiRHub,top_15_average_precision,0.55,0.03455370572079797
CDK2,DAVIS,continuous_spearman,0.55,0.03420692634458922
CDK2,DAVIS,top_5_roc_auc,0.55,0.04938271604938271
CDK2,DAVIS,top_5_average_precision,0.55,0.04487671250546177
CDK2,DAVIS,top_10_roc_auc,0.55,0.04829339143064626
CDK2,DAVIS,top_10_average_precision,0.55,0.059478392946309355
CDK2,DAVIS,top_15_roc_auc,0.55,0.0472148541114058
CDK2,DAVIS,top_15_average_precision,0.55,0.052632900002445304
CDK2,PKIS2,continuous_spearman,0.55,0.021395828833369324
CDK2,PKIS2,top_5_roc_auc,0.55,0.04732510288065839
CDK2,PKIS2,top_5_average_precision,0.55,0.03148709586686482
CDK2,PKIS2,top_10_roc_auc,0.55,0.03449527959331877
CDK2,PKIS2,top_10_average_precision,0.55,0.024028164577467537
CDK2,PKIS2,top_15_roc_auc,0.55,0.03315649867374004
CDK2,PKIS2,top_15_average_precision,0.55,0.042692638621976864
