target_prior_definition,panel,metric,target_prior_increment
fraction_at_least_20_percent_inhibition,DAVIS,continuous_spearman,0.38797867268520336
fraction_at_least_20_percent_inhibition,DAVIS,top_10_roc_auc,0.15143120960295475
fraction_at_least_20_percent_inhibition,DAVIS,top_10_average_precision,0.12283846687158073
fraction_at_least_20_percent_inhibition,PKIS2,continuous_spearman,0.433247166782576
fraction_at_least_20_percent_inhibition,PKIS2,top_10_roc_auc,0.2185287780855648
fraction_at_least_20_percent_inhibition,PKIS2,top_10_average_precision,0.13979599794345568
fraction_at_least_20_percent_inhibition,KiRHub,continuous_spearman,0.2662677636499626
fraction_at_least_20_percent_inhibition,KiRHub,top_10_roc_auc,0.1483533394890736
fraction_at_least_20_percent_inhibition,KiRHub,top_10_average_precision,0.10854827068322936
fraction_at_least_35_percent_inhibition,DAVIS,continuous_spearman,0.2925201310431401
fraction_at_least_35_percent_inhibition,DAVIS,top_10_roc_auc,0.13696522006771306
fraction_at_least_35_percent_inhibition,DAVIS,top_10_average_precision,0.11360677466906105
fraction_at_least_35_percent_inhibition,PKIS2,continuous_spearman,0.32262681135648896
fraction_at_least_35_percent_inhibition,PKIS2,top_10_roc_auc,0.16189596799015082
fraction_at_least_35_percent_inhibition,PKIS2,top_10_average_precision,0.10135116071959469
fraction_at_least_35_percent_inhibition,KiRHub,continuous_spearman,0.18577158428357105
fraction_at_least_35_percent_inhibition,KiRHub,top_10_roc_auc,0.14804555247768547
fraction_at_least_35_percent_inhibition,KiRHub,top_10_average_precision,0.11367507347591399
fraction_at_least_50_percent_inhibition,DAVIS,continuous_spearman,0.21442261850087696
fraction_at_least_50_percent_inhibition,DAVIS,top_10_roc_auc,0.1157279162819328
fraction_at_least_50_percent_inhibition,DAVIS,top_10_average_precision,0.09150416230618391
fraction_at_least_50_percent_inhibition,PKIS2,continuous_spearman,0.23629755015811782
fraction_at_least_50_percent_inhibition,PKIS2,top_10_roc_auc,0.12496152662357651
fraction_at_least_50_percent_inhibition,PKIS2,top_10_average_precision,0.07791047465532819
fraction_at_least_50_percent_inhibition,KiRHub,continuous_spearman,0.14194299011052935
fraction_at_least_50_percent_inhibition,KiRHub,top_10_roc_auc,0.13111726685133884
fraction_at_least_50_percent_inhibition,KiRHub,top_10_average_precision,0.09683264607456388
fraction_at_least_65_percent_inhibition,DAVIS,continuous_spearman,0.09772424079395697
fraction_at_least_65_percent_inhibition,DAVIS,top_10_roc_auc,0.11295783317943975
fraction_at_least_65_percent_inhibition,DAVIS,top_10_average_precision,0.10648701801027627
fraction_at_least_65_percent_inhibition,PKIS2,continuous_spearman,0.11399178574709024
fraction_at_least_65_percent_inhibition,PKIS2,top_10_roc_auc,0.10557094490612495
fraction_at_least_65_percent_inhibition,PKIS2,top_10_average_precision,0.07544395247808561
fraction_at_least_65_percent_inhibition,KiRHub,continuous_spearman,0.04258814575706282
fraction_at_least_65_percent_inhibition,KiRHub,top_10_roc_auc,0.11357340720221609
fraction_at_least_65_percent_inhibition,KiRHub,top_10_average_precision,0.09877998832479418
fraction_at_least_80_percent_inhibition,DAVIS,continuous_spearman,-0.03690377776902992
fraction_at_least_80_percent_inhibition,DAVIS,top_10_roc_auc,0.04032009849184359
fraction_at_least_80_percent_inhibition,DAVIS,top_10_average_precision,0.04198694233120931
fraction_at_least_80_percent_inhibition,PKIS2,continuous_spearman,-0.019680965065368483
fraction_at_least_80_percent_inhibition,PKIS2,top_10_roc_auc,0.010772545398584188
fraction_at_least_80_percent_inhibition,PKIS2,top_10_average_precision,0.016595001252076608
fraction_at_least_80_percent_inhibition,KiRHub,continuous_spearman,-0.03521893739584564
fraction_at_least_80_percent_inhibition,KiRHub,top_10_roc_auc,0.014465989535241586
fraction_at_least_80_percent_inhibition,KiRHub,top_10_average_precision,0.009966840721997716
clipped_mean_percent_inhibition,DAVIS,continuous_spearman,0.31120208899211377
clipped_mean_percent_inhibition,DAVIS,top_10_roc_auc,0.14004309018159433
clipped_mean_percent_inhibition,DAVIS,top_10_average_precision,0.15722650518951958
clipped_mean_percent_inhibition,PKIS2,continuous_spearman,0.3488336898091652
clipped_mean_percent_inhibition,PKIS2,top_10_roc_auc,0.1594336718990459
clipped_mean_percent_inhibition,PKIS2,top_10_average_precision,0.0980125700692166
clipped_mean_percent_inhibition,KiRHub,continuous_spearman,0.20996820148101497
clipped_mean_percent_inhibition,KiRHub,top_10_roc_auc,0.14096645121575868
clipped_mean_percent_inhibition,KiRHub,top_10_average_precision,0.15033176858862296
raw_mean_percent_inhibition,DAVIS,continuous_spearman,0.3158752028413092
raw_mean_percent_inhibition,DAVIS,top_10_roc_auc,0.1449676823638042
raw_mean_percent_inhibition,DAVIS,top_10_average_precision,0.1619656941446363
raw_mean_percent_inhibition,PKIS2,continuous_spearman,0.35536835106964615
raw_mean_percent_inhibition,PKIS2,top_10_roc_auc,0.16928285626346562
raw_mean_percent_inhibition,PKIS2,top_10_average_precision,0.10320333015413821
raw_mean_percent_inhibition,KiRHub,continuous_spearman,0.21243510171589536
raw_mean_percent_inhibition,KiRHub,top_10_roc_auc,0.14465989535241608
raw_mean_percent_inhibition,KiRHub,top_10_average_precision,0.15369976855025153
standard_deviation_percent_inhibition,DAVIS,continuous_spearman,0.05105958613812017
standard_deviation_percent_inhibition,DAVIS,top_10_roc_auc,0.1009541397353031
standard_deviation_percent_inhibition,DAVIS,top_10_average_precision,0.09332537592464046
standard_deviation_percent_inhibition,PKIS2,continuous_spearman,0.09036902902981714
standard_deviation_percent_inhibition,PKIS2,top_10_roc_auc,0.08895044629116644
standard_deviation_percent_inhibition,PKIS2,top_10_average_precision,0.07406254070648502
standard_deviation_percent_inhibition,KiRHub,continuous_spearman,0.008380462500054697
standard_deviation_percent_inhibition,KiRHub,top_10_roc_auc,0.060326254232071386
standard_deviation_percent_inhibition,KiRHub,top_10_average_precision,0.06940705958600568
median_percent_inhibition,DAVIS,continuous_spearman,0.32022464538309126
median_percent_inhibition,DAVIS,top_10_roc_auc,0.07140658664204369
median_percent_inhibition,DAVIS,top_10_average_precision,0.19556728328303297
median_percent_inhibition,PKIS2,continuous_spearman,0.3461585901927594
median_percent_inhibition,PKIS2,top_10_roc_auc,0.10895660203139423
median_percent_inhibition,PKIS2,top_10_average_precision,0.11185324183316248
median_percent_inhibition,KiRHub,continuous_spearman,0.22330870807035036
median_percent_inhibition,KiRHub,top_10_roc_auc,0.1323484148968913
