workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,missing_fixed21_targets,structure_usable,rdkit_standard_inchikey,rdkit_connectivity,candidate_connectivity_blocks,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks,butina_r2_2048_tanimoto50_cluster,murcko_scaffold,cluster_multiplier_group,cluster_multiplier_group_source
1,ATM Kinase Inhibitor,587871-26-9,True,,True,XRKYMMUGXMWDAO-UHFFFAOYSA-N,XRKYMMUGXMWDAO,XRKYMMUGXMWDAO,,XRKYMMUGXMWDAO,B129,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,B129,resolved_structure_butina
2,ATM/ATR Kinase Inhibitor,905973-89-9,True,,True,HLCDNLNLQNYZTK-UHFFFAOYSA-N,HLCDNLNLQNYZTK,HLCDNLNLQNYZTK,,HLCDNLNLQNYZTK,B128,O=C(NCNC(=S)Nc1ccccc1)C(c1ccccc1)c1ccccc1,B128,resolved_structure_butina
3,AG 1024,65678-07-1,True,,True,ABBADGFSRBWENF-UHFFFAOYSA-N,ABBADGFSRBWENF,ABBADGFSRBWENF,,ABBADGFSRBWENF,B127,c1ccccc1,B127,resolved_structure_butina
4,AGL 2043,226717-28-8,True,,True,ZGDACLBJJXLKJY-UHFFFAOYSA-N,ZGDACLBJJXLKJY,ZGDACLBJJXLKJY,,ZGDACLBJJXLKJY,B126,c1csc(-c2cnc3cc4[nH]cnc4cc3n2)c1,B126,resolved_structure_butina
5,Akt Inhibitor IV,681281-88-9,True,,True,NAYRELMNTQSBIN-UHFFFAOYSA-M,NAYRELMNTQSBIN,NAYRELMNTQSBIN,,NAYRELMNTQSBIN,B125,C(=Cc1[nH+]c2cc(-c3nc4ccccc4s3)ccc2n1-c1ccccc1)Nc1ccccc1,B125,resolved_structure_butina
6,"Akt Inhibitor V, Triciribine",35943-35-2,True,,False,,,HOGVTUZUJGHKPL,HOGVTUZUJGHKPL,HOGVTUZUJGHKPL,,,U006,unresolved_identity_specific_singleton
7,"Akt Inhibitor VIII, Isozyme-Selective, Akti-1/2",612847-09-3,True,,True,IWCQHVUQEFDRIW-UHFFFAOYSA-N,IWCQHVUQEFDRIW,IWCQHVUQEFDRIW,,IWCQHVUQEFDRIW,B124,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3[nH]c4cc5ncnc5cc4nc3-c3ccccc3)cc2)CC1,B124,resolved_structure_butina
8,Akt Inhibitor X,925681-41-0,True,,True,SVKSJUIYYCQZEC-UHFFFAOYSA-N,SVKSJUIYYCQZEC,SVKSJUIYYCQZEC,,SVKSJUIYYCQZEC,B123,c1ccc2c(c1)Nc1ccccc1O2,B123,resolved_structure_butina
9,Alsterpaullone,237430-03-4,True,,True,OLUKILHGKRVDCT-UHFFFAOYSA-N,OLUKILHGKRVDCT,OLUKILHGKRVDCT,,OLUKILHGKRVDCT,B006,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,B006,resolved_structure_butina
10,Alsterpaullone 2-Cyanoethyl,852527-97-0,True,,True,UBLFSMURWWWWMH-UHFFFAOYSA-N,UBLFSMURWWWWMH,UBLFSMURWWWWMH,,UBLFSMURWWWWMH,B006,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,B006,resolved_structure_butina
11,"Aloisine A, RP107",496864-16-5,True,,True,PRIGRJPRGZCFAS-UHFFFAOYSA-N,PRIGRJPRGZCFAS,PRIGRJPRGZCFAS,,PRIGRJPRGZCFAS,B015,c1ccc(-c2cc3nccnc3[nH]2)cc1,B015,resolved_structure_butina
12,"Aloisine, RP106",496864-15-4,True,,True,WVMANZPBOBRWCB-UHFFFAOYSA-N,WVMANZPBOBRWCB,WVMANZPBOBRWCB,,WVMANZPBOBRWCB,B015,c1ccc(-c2cc3nccnc3[nH]2)cc1,B015,resolved_structure_butina
13,Aminopurvalanol A,220792-57-4,True,,True,RAMROQQYRRQPDL-HNNXBMFYSA-N,RAMROQQYRRQPDL,RAMROQQYRRQPDL,,RAMROQQYRRQPDL,B001,c1ccc(Nc2ncnc3[nH]cnc23)cc1,B001,resolved_structure_butina
14,"AMPK Inhibitor, Compound C",866405-64-3,True,,True,XHBVYDAKJHETMP-UHFFFAOYSA-N,XHBVYDAKJHETMP,XHBVYDAKJHETMP,,XHBVYDAKJHETMP,B122,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,B122,resolved_structure_butina
