panel,workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,structure_usable,rdkit_standard_inchikey,rdkit_connectivity,exact_full_standard_inchikey_overlap,connectivity_overlap,connectivity_only_overlap,conservative_de_leakage_connectivity_overlap,matching_full_rows,matching_connectivity_rows,matching_conservative_de_leakage_rows
DAVIS,1,ATM Kinase Inhibitor,587871-26-9,True,True,XRKYMMUGXMWDAO-UHFFFAOYSA-N,XRKYMMUGXMWDAO,False,False,False,False,,,
DAVIS,2,ATM/ATR Kinase Inhibitor,905973-89-9,True,True,HLCDNLNLQNYZTK-UHFFFAOYSA-N,HLCDNLNLQNYZTK,False,False,False,False,,,
DAVIS,3,AG 1024,65678-07-1,True,True,ABBADGFSRBWENF-UHFFFAOYSA-N,ABBADGFSRBWENF,False,False,False,False,,,
DAVIS,4,AGL 2043,226717-28-8,True,True,ZGDACLBJJXLKJY-UHFFFAOYSA-N,ZGDACLBJJXLKJY,False,False,False,False,,,
DAVIS,5,Akt Inhibitor IV,681281-88-9,True,True,NAYRELMNTQSBIN-UHFFFAOYSA-M,NAYRELMNTQSBIN,False,False,False,False,,,
DAVIS,6,"Akt Inhibitor V, Triciribine",35943-35-2,True,False,,,False,False,False,False,,,
DAVIS,7,"Akt Inhibitor VIII, Isozyme-Selective, Akti-1/2",612847-09-3,True,True,IWCQHVUQEFDRIW-UHFFFAOYSA-N,IWCQHVUQEFDRIW,False,False,False,False,,,
DAVIS,8,Akt Inhibitor X,925681-41-0,True,True,SVKSJUIYYCQZEC-UHFFFAOYSA-N,SVKSJUIYYCQZEC,False,False,False,False,,,
DAVIS,9,Alsterpaullone,237430-03-4,True,True,OLUKILHGKRVDCT-UHFFFAOYSA-N,OLUKILHGKRVDCT,False,False,False,False,,,
DAVIS,10,Alsterpaullone 2-Cyanoethyl,852527-97-0,True,True,UBLFSMURWWWWMH-UHFFFAOYSA-N,UBLFSMURWWWWMH,False,False,False,False,,,
DAVIS,11,"Aloisine A, RP107",496864-16-5,True,True,PRIGRJPRGZCFAS-UHFFFAOYSA-N,PRIGRJPRGZCFAS,False,False,False,False,,,
DAVIS,12,"Aloisine, RP106",496864-15-4,True,True,WVMANZPBOBRWCB-UHFFFAOYSA-N,WVMANZPBOBRWCB,False,False,False,False,,,
DAVIS,13,Aminopurvalanol A,220792-57-4,True,True,RAMROQQYRRQPDL-HNNXBMFYSA-N,RAMROQQYRRQPDL,False,False,False,False,,,
DAVIS,14,"AMPK Inhibitor, Compound C",866405-64-3,True,True,XHBVYDAKJHETMP-UHFFFAOYSA-N,XHBVYDAKJHETMP,False,False,False,False,,,
DAVIS,15,Aurora Kinase Inhibitor III,879127-16-9,True,True,RDTDWGQDFJPTPD-UHFFFAOYSA-N,RDTDWGQDFJPTPD,False,False,False,False,,,
DAVIS,16,Aurora Kinase/Cdk Inhibitor,443797-96-4,True,True,KDKUVYLMPJIGKA-UHFFFAOYSA-N,KDKUVYLMPJIGKA,False,False,False,False,,,
DAVIS,17,BAY 11-7082,19542-67-7,True,True,DOEWDSDBFRHVAP-KRXBUXKQSA-N,DOEWDSDBFRHVAP,False,False,False,False,,,
DAVIS,18,Bcr-abl Inhibitor,778270-11-4,True,True,WEVYNIUIFUYDGI-UHFFFAOYSA-N,WEVYNIUIFUYDGI,False,False,False,False,,,
DAVIS,19,Bisindolylmaleimide I,133052-90-1,True,True,QMGUOJYZJKLOLH-UHFFFAOYSA-N,QMGUOJYZJKLOLH,False,False,False,False,,,
