workbook_compound_index_1based,workbook_excel_column_1based,workbook_compound_name,workbook_cas,complete_fixed21,missing_fixed21_targets,pubchem_cas_query,pubchem_cas_query_cids,pubchem_name_query,pubchem_name_query_cids,pubchem_cas_query_url,pubchem_name_query_url,pubchem_cid,resolution_status,resolution_ambiguity,resolution_decision,pubchem_access_date,candidate_pubchem_cids,candidate_pubchem_inchikeys,candidate_connectivity_blocks,pubchem_smiles,pubchem_connectivity_smiles,pubchem_inchikey,pubchem_iupac_name,rdkit_standard_inchikey,rdkit_connectivity,rdkit_canonical_isomeric_smiles,rdkit_canonical_nonisomeric_smiles,structure_fragment_count,pubchem_rdkit_inchikey_agree,structure_usable,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks
1,2,ATM Kinase Inhibitor,587871-26-9,True,,587871-26-9,5278396,ATM Kinase Inhibitor,5278396,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/587871-26-9/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ATM%20Kinase%20Inhibitor/cids/JSON,5278396,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,5278396,XRKYMMUGXMWDAO-UHFFFAOYSA-N,XRKYMMUGXMWDAO,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,XRKYMMUGXMWDAO-UHFFFAOYSA-N,2-morpholin-4-yl-6-thianthren-1-ylpyran-4-one,XRKYMMUGXMWDAO-UHFFFAOYSA-N,XRKYMMUGXMWDAO,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,1,True,True,,XRKYMMUGXMWDAO
2,3,ATM/ATR Kinase Inhibitor,905973-89-9,True,,905973-89-9,6605258,ATM/ATR Kinase Inhibitor,,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/905973-89-9/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ATM%2FATR%20Kinase%20Inhibitor/cids/JSON,6605258,resolved_unique_cas_name_not_found,False,cas_unique,2026-08-10,6605258,HLCDNLNLQNYZTK-UHFFFAOYSA-N,HLCDNLNLQNYZTK,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC3=CC(=C(C=C3)F)[N+](=O)[O-],C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC3=CC(=C(C=C3)F)[N+](=O)[O-],HLCDNLNLQNYZTK-UHFFFAOYSA-N,"2,2-diphenyl-N-[2,2,2-trichloro-1-[(4-fluoro-3-nitrophenyl)carbamothioylamino]ethyl]acetamide",HLCDNLNLQNYZTK-UHFFFAOYSA-N,HLCDNLNLQNYZTK,O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,1,True,True,,HLCDNLNLQNYZTK
3,4,AG 1024,65678-07-1,True,,65678-07-1,2044,AG 1024,2044,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/65678-07-1/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/AG%201024/cids/JSON,2044,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,2044,ABBADGFSRBWENF-UHFFFAOYSA-N,ABBADGFSRBWENF,CC(C)(C)C1=C(C(=CC(=C1)C=C(C#N)C#N)Br)O,CC(C)(C)C1=C(C(=CC(=C1)C=C(C#N)C#N)Br)O,ABBADGFSRBWENF-UHFFFAOYSA-N,2-[(3-bromo-5-tert-butyl-4-hydroxyphenyl)methylidene]propanedinitrile,ABBADGFSRBWENF-UHFFFAOYSA-N,ABBADGFSRBWENF,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,1,True,True,,ABBADGFSRBWENF
4,5,AGL 2043,226717-28-8,True,,226717-28-8,9817165,AGL 2043,9817165,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/226717-28-8/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/AGL%202043/cids/JSON,9817165,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,9817165,ZGDACLBJJXLKJY-UHFFFAOYSA-N,ZGDACLBJJXLKJY,CC1=NC2=C(N1C)C=C3C(=C2)N=C(C=N3)C4=CC=CS4,CC1=NC2=C(N1C)C=C3C(=C2)N=C(C=N3)C4=CC=CS4,ZGDACLBJJXLKJY-UHFFFAOYSA-N,"1,2-dimethyl-6-thiophen-2-ylimidazo[4,5-g]quinoxaline",ZGDACLBJJXLKJY-UHFFFAOYSA-N,ZGDACLBJJXLKJY,Cc1nc2cc3nc(-c4cccs4)cnc3cc2n1C,Cc1nc2cc3nc(-c4cccs4)cnc3cc2n1C,1,True,True,,ZGDACLBJJXLKJY
5,6,Akt Inhibitor IV,681281-88-9,True,,681281-88-9,5719375,Akt Inhibitor IV,5719375,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/681281-88-9/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Akt%20Inhibitor%20IV/cids/JSON,5719375,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,5719375,NAYRELMNTQSBIN-UHFFFAOYSA-M,NAYRELMNTQSBIN,CC[N+]1=C(N(C2=C1C=C(C=C2)C3=NC4=CC=CC=C4S3)C5=CC=CC=C5)/C=C/N(C)C6=CC=CC=C6.[I-],CC[N+]1=C(N(C2=C1C=C(C=C2)C3=NC4=CC=CC=C4S3)C5=CC=CC=C5)C=CN(C)C6=CC=CC=C6.[I-],NAYRELMNTQSBIN-UHFFFAOYSA-M,"N-[(E)-2-[5-(1,3-benzothiazol-2-yl)-3-ethyl-1-phenylbenzimidazol-3-ium-2-yl]ethenyl]-N-methylaniline iodide",NAYRELMNTQSBIN-UHFFFAOYSA-M,NAYRELMNTQSBIN,CC[n+]1c(/C=C/N(C)c2ccccc2)n(-c2ccccc2)c2ccc(-c3nc4ccccc4s3)cc21.[I-],CC[n+]1c(C=CN(C)c2ccccc2)n(-c2ccccc2)c2ccc(-c3nc4ccccc4s3)cc21.[I-],2,True,True,,NAYRELMNTQSBIN
6,7,"Akt Inhibitor V, Triciribine",35943-35-2,True,,35943-35-2,65399,"Akt Inhibitor V, Triciribine",290486,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/35943-35-2/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Akt%20Inhibitor%20V%2C%20Triciribine/cids/JSON,,unresolved_cas_name_conflict,True,disjoint_candidate_sets,2026-08-10,65399;290486,HOGVTUZUJGHKPL-HTVVRFAVSA-N;HOGVTUZUJGHKPL-UHFFFAOYSA-N,HOGVTUZUJGHKPL,,,,,,,,,,False,False,HOGVTUZUJGHKPL,HOGVTUZUJGHKPL
7,8,"Akt Inhibitor VIII, Isozyme-Selective, Akti-1/2",612847-09-3,True,,612847-09-3,135398501,"Akt Inhibitor VIII, Isozyme-Selective, Akti-1/2",,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/612847-09-3/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Akt%20Inhibitor%20VIII%2C%20Isozyme-Selective%2C%20Akti-1%2F2/cids/JSON,135398501,resolved_unique_cas_name_not_found,False,cas_unique,2026-08-10,135398501,IWCQHVUQEFDRIW-UHFFFAOYSA-N,IWCQHVUQEFDRIW,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=C(N=C6C=C7C(=NC=N7)C=C6N5)C8=CC=CC=C8,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=C(N=C6C=C7C(=NC=N7)C=C6N5)C8=CC=CC=C8,IWCQHVUQEFDRIW-UHFFFAOYSA-N,"3-[1-[[4-(6-phenyl-8H-imidazo[4,5-g]quinoxalin-7-yl)phenyl]methyl]piperidin-4-yl]-1H-benzimidazol-2-one",IWCQHVUQEFDRIW-UHFFFAOYSA-N,IWCQHVUQEFDRIW,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3[nH]c4cc5ncnc5cc4nc3-c3ccccc3)cc2)CC1,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3[nH]c4cc5ncnc5cc4nc3-c3ccccc3)cc2)CC1,1,True,True,,IWCQHVUQEFDRIW
8,9,Akt Inhibitor X,925681-41-0,True,,925681-41-0,16760284,Akt Inhibitor X,16760284,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/925681-41-0/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Akt%20Inhibitor%20X/cids/JSON,16760284,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,16760284,SVKSJUIYYCQZEC-UHFFFAOYSA-N,SVKSJUIYYCQZEC,CCN(CC)CCCCN1C2=CC=CC=C2OC3=C1C=C(C=C3)Cl.Cl,CCN(CC)CCCCN1C2=CC=CC=C2OC3=C1C=C(C=C3)Cl.Cl,SVKSJUIYYCQZEC-UHFFFAOYSA-N,"4-(2-chlorophenoxazin-10-yl)-N,N-diethylbutan-1-amine;hydrochloride",SVKSJUIYYCQZEC-UHFFFAOYSA-N,SVKSJUIYYCQZEC,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21.Cl,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21.Cl,2,True,True,,SVKSJUIYYCQZEC
9,10,Alsterpaullone,237430-03-4,True,,237430-03-4,5005498,Alsterpaullone,5005498,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/237430-03-4/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Alsterpaullone/cids/JSON,5005498,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,5005498,OLUKILHGKRVDCT-UHFFFAOYSA-N,OLUKILHGKRVDCT,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-],C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-],OLUKILHGKRVDCT-UHFFFAOYSA-N,"9-nitro-7,12-dihydro-5H-indolo[3,2-d][1]benzazepin-6-one",OLUKILHGKRVDCT-UHFFFAOYSA-N,OLUKILHGKRVDCT,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,1,True,True,,OLUKILHGKRVDCT
10,11,Alsterpaullone 2-Cyanoethyl,852527-97-0,True,,852527-97-0,16760286,Alsterpaullone 2-Cyanoethyl,16760286,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/852527-97-0/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Alsterpaullone%202-Cyanoethyl/cids/JSON,16760286,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,16760286,UBLFSMURWWWWMH-UHFFFAOYSA-N,UBLFSMURWWWWMH,C1C2=C(C3=C(C=CC(=C3)CCC#N)NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-],C1C2=C(C3=C(C=CC(=C3)CCC#N)NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-],UBLFSMURWWWWMH-UHFFFAOYSA-N,"3-(9-nitro-6-oxo-7,12-dihydro-5H-indolo[3,2-d][1]benzazepin-2-yl)propanenitrile",UBLFSMURWWWWMH-UHFFFAOYSA-N,UBLFSMURWWWWMH,N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,1,True,True,,UBLFSMURWWWWMH
