dataset,mw_band,control_type,repetition,first_ligands,second_ligands,first_chemical_groups,second_chemical_groups,chemical_group_overlap,first_median_molecular_weight,second_median_molecular_weight,absolute_median_mw_difference,mw_ks_statistic,transformation,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,full_support,mw_matched_chemical_group_disjoint,0,6326,6325,4108,4042,0,281.43200000000002,282.81499999999994,1.3829999999999245,0.0099629485691150599,raw,0.99560208624819024,0.0043979137518097566,0.0021141649048625794,0.79245283018867929,1.84640052278301,1.8202053268700433,0.69079401616949299,0.69848222508692726
Docking-44,full_support,mw_matched_chemical_group_disjoint,0,6326,6325,4108,4042,0,281.43200000000002,282.81499999999994,1.3829999999999245,0.0099629485691150599,row_centered_residual,0.99071340813439479,0.0092865918656052093,0.03699788583509514,0.86274509803921573,8.8155832871493516,9.7682593525351287,0.25555830593833129,0.23668415383158464
Docking-44,full_support,mw_matched_chemical_group_disjoint,1,6332,6319,4064,4086,0,282.70349999999996,282.29900000000004,0.4044999999999277,0.009538485392898477,raw,0.99493171655937795,0.0050682834406220456,0.0031712473572938688,0.71171171171171166,1.8393503423328506,1.8282127550041247,0.69278002820837958,0.69620739934638498
Docking-44,full_support,mw_matched_chemical_group_disjoint,1,6332,6319,4064,4086,0,282.70349999999996,282.29900000000004,0.4044999999999277,0.009538485392898477,row_centered_residual,0.99156623222829821,0.0084337677717017945,0.039112050739957716,0.88118811881188119,9.4296590097050892,9.1108813087953084,0.24387802672186332,0.2486397375990918
Docking-44,full_support,mw_matched_chemical_group_disjoint,2,6332,6319,4128,4022,0,282.77099999999996,282.33600000000001,0.43499999999994543,0.010606867335594239,raw,0.99472513712340815,0.0052748628765918459,0.0021141649048625794,0.7592592592592593,1.8247755821444893,1.8423844789884785,0.69528631489810822,0.69382543882439518
Docking-44,full_support,mw_matched_chemical_group_disjoint,2,6332,6319,4128,4022,0,282.77099999999996,282.33600000000001,0.43499999999994543,0.010606867335594239,row_centered_residual,0.99213950646381066,0.0078604935361893391,0.03382663847780127,0.84466019417475724,8.9293483616062073,9.6298878801554952,0.25228495290107789,0.24013575403666182
Docking-44,full_support,mw_matched_chemical_group_disjoint,3,6320,6331,4024,4126,0,282.77100000000007,282.29899999999998,0.47200000000009368,0.015730137419049162,raw,0.99230757373239131,0.0076924262676086874,0.0021141649048625794,0.68141592920353977,1.8195897882846384,1.8468127935780412,0.69556022959563057,0.69364354148568796
Docking-44,full_support,mw_matched_chemical_group_disjoint,3,6320,6331,4024,4126,0,282.77100000000007,282.29899999999998,0.47200000000009368,0.015730137419049162,row_centered_residual,0.98759355403838578,0.012406445961614221,0.042283298097251586,0.7592592592592593,8.8567520919288718,9.6421710035997066,0.25290845125744549,0.24075616058990684
Docking-44,full_support,mw_matched_chemical_group_disjoint,4,6317,6334,4162,3988,0,282.43200000000002,282.42999999999995,0.0020000000000663931,0.011601404962796269,raw,0.99465853105989632,0.0053414689401036775,0.0021141649048625794,0.74311926605504586,1.8367369178148594,1.8290930471140177,0.69221373020618826,0.69709886724221859
Docking-44,full_support,mw_matched_chemical_group_disjoint,4,6317,6334,4162,3988,0,282.43200000000002,282.42999999999995,0.0020000000000663931,0.011601404962796269,row_centered_residual,0.98916400566654727,0.010835994333452725,0.043340380549682873,0.88118811881188119,9.3446405207355561,9.1975138617788215,0.24303790342718057,0.24919103510554033
Docking-44,full_support,mw_matched_chemical_group_disjoint,5,6318,6333,4032,4118,0,282.77100000000007,281.827,0.94400000000007367,0.014687682617573583,raw,0.99543957539095185,0.0045604246090481526,0.0021141649048625794,0.74311926605504586,1.8314124078929654,1.8357418427489987,0.69381935016779928,0.69521564510837364
Docking-44,full_support,mw_matched_chemical_group_disjoint,5,6318,6333,4032,4118,0,282.77100000000007,281.827,0.94400000000007367,0.014687682617573583,row_centered_residual,0.98912584786212632,0.010874152137873683,0.035940803382663845,0.80952380952380953,9.4705176466150434,9.0731257184386394,0.23986466608668186,0.25235248134228749
Docking-44,full_support,mw_matched_chemical_group_disjoint,6,6325,6326,4060,4090,0,282.774,281.87900000000002,0.89499999999998181,0.011865880068329671,raw,0.99369958234426192,0.0063004176557380775,0.0010570824524312897,0.82692307692307687,1.84114667760208,1.825657496010852,0.69427297477887417,0.69483332373319295
Docking-44,full_support,mw_matched_chemical_group_disjoint,6,6325,6326,4060,4090,0,282.774,281.87900000000002,0.89499999999998181,0.011865880068329671,row_centered_residual,0.98922064704339197,0.010779352956608035,0.046511627906976744,0.84466019417475724,9.2012692045575761,9.3374769735455754,0.24887433934766923,0.24394484049862897
Docking-44,full_support,mw_matched_chemical_group_disjoint,7,6324,6327,3966,4184,0,282.47199999999998,282.38700000000006,0.084999999999922693,0.01117593674769346,raw,0.99658161636502041,0.0034183836349795937,0.0021141649048625794,0.79245283018867929,1.8282287813810314,1.839097397348292,0.69597111677546886,0.69317178712997007
Docking-44,full_support,mw_matched_chemical_group_disjoint,7,6324,6327,3966,4184,0,282.47199999999998,282.38700000000006,0.084999999999922693,0.01117593674769346,row_centered_residual,0.99233138692385758,0.0076686130761424165,0.038054968287526428,0.88118811881188119,9.2116470454234438,9.3356806500443863,0.24785251083732404,0.24439829406816135
Docking-44,full_support,mw_matched_chemical_group_disjoint,8,6331,6320,4103,4047,0,281.76300000000003,283.37099999999998,1.6079999999999472,0.012010295931812298,raw,0.99557424749340473,0.0044257525065952708,0.0010570824524312897,0.7592592592592593,1.8451436398555139,1.8222271637147176,0.69329758474927738,0.69575133095967823
Docking-44,full_support,mw_matched_chemical_group_disjoint,8,6331,6320,4103,4047,0,281.76300000000003,283.37099999999998,1.6079999999999472,0.012010295931812298,row_centered_residual,0.99129242304999265,0.0087075769500073452,0.040169133192389003,0.80952380952380953,9.4690162726568676,9.0574306403587013,0.24275187985792054,0.24980705991634583
Docking-44,full_support,mw_matched_chemical_group_disjoint,9,6328,6323,4185,3965,0,283.40049999999997,281.39600000000002,2.0044999999999504,0.012402646569734332,raw,0.9953339610518952,0.0046660389481048004,0.0021141649048625794,0.79245283018867929,1.813618427221418,1.8541291620827243,0.69769700354563657,0.691364289444244
Docking-44,full_support,mw_matched_chemical_group_disjoint,9,6328,6323,4185,3965,0,283.40049999999997,281.39600000000002,2.0044999999999504,0.012402646569734332,row_centered_residual,0.99167313644855926,0.0083268635514407441,0.039112050739957716,0.84466019417475724,9.3189186533527408,9.2294037131686064,0.24526777928933657,0.24682317185391769
Docking-44,full_support,mw_matched_chemical_group_disjoint,10,6322,6329,4056,4094,0,281.42250000000001,283.37099999999998,1.9484999999999673,0.015751523957674762,raw,0.99649145225137947,0.0035085477486205274,0.0031712473572938688,0.82692307692307687,1.8323141615679222,1.8349110793073222,0.6942155823646855,0.69494154321436641
Docking-44,full_support,mw_matched_chemical_group_disjoint,10,6322,6329,4056,4094,0,281.42250000000001,283.37099999999998,1.9484999999999673,0.015751523957674762,row_centered_residual,0.99379414055870907,0.0062058594412909285,0.03699788583509514,0.86274509803921573,9.3353098486162551,9.2201330430984854,0.24445091598147783,0.24808195122648877
Docking-44,full_support,mw_matched_chemical_group_disjoint,11,6326,6325,4062,4088,0,281.46349999999995,282.83499999999998,1.3715000000000259,0.011915965105424808,raw,0.99553349575205619,0.0044665042479438144,0.0021141649048625794,0.77570093457943923,1.7936180407839342,1.8754986578805533,0.70411276224069919,0.68481376619024004
Docking-44,full_support,mw_matched_chemical_group_disjoint,11,6326,6325,4062,4088,0,281.46349999999995,282.83499999999998,1.3715000000000259,0.011915965105424808,row_centered_residual,0.99142175135888433,0.0085782486411156711,0.038054968287526428,0.79245283018867929,9.528876471348898,9.0339193742107486,0.2401972819489738,0.25191205624907081
