dataset,mw_band,control_type,repetition,first_ligands,second_ligands,first_chemical_groups,second_chemical_groups,chemical_group_overlap,first_median_molecular_weight,second_median_molecular_weight,absolute_median_mw_difference,mw_ks_statistic,transformation,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,low_mw,row_random_disjoint,0,1581,1581,1448,1449,153,177.24699999999996,178.19399999999999,0.94700000000003115,0.033523086654016487,raw,0.988523175674768,0.011476824325232005,0,0.82692307692307687,1.1828489758173131,1.1915872850280511,0.91387105184124307,0.90989071929820076
Docking-44,low_mw,row_random_disjoint,0,1581,1581,1448,1449,153,177.24699999999996,178.19399999999999,0.94700000000003115,0.033523086654016487,row_centered_residual,0.98011789868571375,0.019882101314286249,0.069767441860465115,0.80952380952380953,13.625016620258526,13.496674508213262,0.17455206913128343,0.17690268041982152
Docking-44,low_mw,row_random_disjoint,1,1581,1581,1451,1453,161,178.25999999999999,176.26299999999998,1.9970000000000141,0.028462998102466774,raw,0.99078321763913946,0.0092167823608605426,0,0.77570093457943923,1.1800207767987214,1.1951298244680035,0.91503253001017626,0.90843693465768793
Docking-44,low_mw,row_random_disjoint,1,1581,1581,1451,1453,161,178.25999999999999,176.26299999999998,1.9970000000000141,0.028462998102466774,row_centered_residual,0.98249187543163607,0.017508124568363925,0.057082452431289642,0.79245283018867929,13.417930744130055,13.733217052801162,0.17699708121980715,0.17409900131149092
Docking-44,low_mw,row_random_disjoint,2,1581,1581,1452,1449,158,178.167,177.31399999999999,0.85300000000000864,0.024035420619860845,raw,0.98990568735908957,0.01009431264091043,0,0.84466019417475724,1.1812964801409467,1.193370157675306,0.91447241019766701,0.90920946594122742
Docking-44,low_mw,row_random_disjoint,2,1581,1581,1452,1449,158,178.167,177.31399999999999,0.85300000000000864,0.024035420619860845,row_centered_residual,0.98167032032605073,0.018329679673949273,0.053911205073995772,0.79245283018867929,13.337230730988086,13.793279633266383,0.1774857933806975,0.17366124946882339
Docking-44,low_mw,row_random_disjoint,3,1581,1581,1457,1443,157,177.251,178.15099999999998,0.89999999999997726,0.03352308665401646,raw,0.9877775676405377,0.012222432359462299,0,0.84466019417475724,1.1887742067843956,1.1857082634956395,0.91116590056429492,0.91256649146588009
Docking-44,low_mw,row_random_disjoint,3,1581,1581,1457,1443,157,177.251,178.15099999999998,0.89999999999997726,0.03352308665401646,row_centered_residual,0.98270637842357567,0.017293621576424334,0.056025369978858354,0.80952380952380953,13.525950749389834,13.620703495161587,0.17563626930386539,0.17496203783910105
Docking-44,low_mw,row_random_disjoint,4,1581,1581,1446,1460,162,176.26300000000001,178.23500000000001,1.9720000000000084,0.041113219481340946,raw,0.98792905072220405,0.01207094927779595,0,0.86274509803921573,1.1803151250410944,1.1947389292258672,0.91519278211644972,0.9082827307172131
Docking-44,low_mw,row_random_disjoint,4,1581,1581,1446,1460,162,176.26300000000001,178.23500000000001,1.9720000000000084,0.041113219481340946,row_centered_residual,0.98007534678048658,0.019924653219513422,0.063424947145877375,0.80952380952380953,13.378334870332397,13.767975667725542,0.1779203733950365,0.17313613609946218
Docking-44,low_mw,row_random_disjoint,5,1581,1581,1455,1447,158,179.179,176.21899999999999,2.960000000000008,0.033523086654016432,raw,0.98390874614935908,0.016091253850640919,0,0.82692307692307687,1.1970523299039015,1.1778906346863269,0.90742376194514762,0.91610909203498692
Docking-44,low_mw,row_random_disjoint,5,1581,1581,1455,1447,158,179.179,176.21899999999999,2.960000000000008,0.033523086654016432,row_centered_residual,0.96874004085025411,0.031259959149745886,0.072938689217758979,0.72727272727272729,13.594804788175919,13.465667665405967,0.1757109615940399,0.17610482224242932
Docking-44,low_mw,row_random_disjoint,6,1581,1581,1459,1433,149,178.21199999999993,177.22199999999998,0.98999999999995225,0.019607843137254943,raw,0.98822259083058173,0.011777409169418274,0,0.84466019417475724,1.1874966639641833,1.1869939849926645,0.91167912030444453,0.91205764974179304
Docking-44,low_mw,row_random_disjoint,6,1581,1581,1459,1433,149,178.21199999999993,177.22199999999998,0.98999999999995225,0.019607843137254943,row_centered_residual,0.98367354836007359,0.016326451639926409,0.065539112050739964,0.7592592592592593,13.570587597371047,13.574663633788218,0.17537686879468634,0.17560671007601214
Docking-44,low_mw,row_random_disjoint,7,1581,1581,1457,1456,170,179.179,176.25899999999999,2.9200000000000159,0.032890575585072745,raw,0.98913949792366329,0.010860502076336709,0,0.88118811881188119,1.1923209979512679,1.1823206170067895,0.90946713329527462,0.91418396224594456
Docking-44,low_mw,row_random_disjoint,7,1581,1581,1457,1456,170,179.179,176.25899999999999,2.9200000000000159,0.032890575585072745,row_centered_residual,0.9811280457630005,0.0188719542369995,0.057082452431289642,0.80952380952380953,13.813472411739275,13.330948777785359,0.17259010184468357,0.17806854911473155
Docking-44,low_mw,row_random_disjoint,8,1581,1581,1451,1443,150,178.21199999999993,177.251,0.96099999999992747,0.029095509171410516,raw,0.9906518340250321,0.0093481659749679036,0,0.82692307692307687,1.1881189234456435,1.1867800998526683,0.91140227331630097,0.91216175871864913
Docking-44,low_mw,row_random_disjoint,8,1581,1581,1451,1443,150,178.21199999999993,177.251,0.96099999999992747,0.029095509171410516,row_centered_residual,0.98176256809394469,0.018237431906055313,0.057082452431289642,0.84466019417475724,13.555236831556559,13.579830675347859,0.17481520669392978,0.17640299360679135
Docking-44,low_mw,row_random_disjoint,9,1581,1581,1438,1450,145,176.47399999999999,178.23500000000001,1.7610000000000241,0.032258064516129115,raw,0.99004064295191696,0.0099593570480830396,0,0.82692307692307687,1.1844203278572012,1.1899671708467034,0.91307371693618644,0.91071282315397473
Docking-44,low_mw,row_random_disjoint,9,1581,1581,1438,1450,145,176.47399999999999,178.23500000000001,1.7610000000000241,0.032258064516129115,row_centered_residual,0.98161797382838112,0.018382026171618882,0.057082452431289642,0.80952380952380953,13.405637070008265,13.7209151255422,0.17692050763224529,0.17419649811117541
Docking-44,low_mw,row_random_disjoint,10,1581,1581,1448,1447,152,178.27499999999995,176.30399999999997,1.9709999999999752,0.022770398481973431,raw,0.99304800806728555,0.0069519919327144519,0,0.86274509803921573,1.1899246838555395,1.1846284798081543,0.91078535311588216,0.91293447170734576
Docking-44,low_mw,row_random_disjoint,10,1581,1581,1448,1447,152,178.27499999999995,176.30399999999997,1.9709999999999752,0.022770398481973431,row_centered_residual,0.98439945381326954,0.015600546186730457,0.064482029598308663,0.80952380952380953,13.663339712239738,13.481934591930756,0.17564297194133149,0.17542453088656226
Docking-44,low_mw,row_random_disjoint,11,1581,1581,1464,1450,171,176.30399999999997,178.23099999999997,1.9269999999999925,0.024035420619860859,raw,0.98963219002019609,0.01036780997980391,0,0.84466019417475724,1.1884878456853583,1.1858744291727348,0.91165692844905788,0.9121396974357795
Docking-44,low_mw,row_random_disjoint,11,1581,1581,1464,1450,171,176.30399999999997,178.23099999999997,1.9269999999999925,0.024035420619860859,row_centered_residual,0.98075485903387949,0.019245140966120511,0.063424947145877375,0.79245283018867929,13.776381311843922,13.364044659123385,0.17361080403335152,0.17733288901509969
Docking-44,low_mw,row_random_disjoint,12,1581,1581,1434,1465,156,178.14299999999997,178.054,0.088999999999970214,0.02024035420619863,raw,0.98727406038621368,0.012725939613786319,0,0.84466019417475724,1.1848023944746819,1.1897053351800615,0.91269532373264928,0.91102680260077429
Docking-44,low_mw,row_random_disjoint,12,1581,1581,1434,1465,156,178.14299999999997,178.054,0.088999999999970214,0.02024035420619863,row_centered_residual,0.97919861027348554,0.020801389726514463,0.058139534883720929,0.80952380952380953,13.445112721293002,13.664300303699202,0.17744441739074743,0.17401262510057522
Docking-44,low_mw,row_random_disjoint,13,1581,1581,1448,1455,160,178.16699999999997,177.24699999999996,0.92000000000001592,0.025932953826692029,raw,0.98956934020414766,0.010430659795852337,0,0.86274509803921573,1.1911894000343772,1.1833357468344965,0.91047700554165578,0.91326585606340493
Docking-44,low_mw,row_random_disjoint,13,1581,1581,1448,1455,160,178.16699999999997,177.24699999999996,0.92000000000001592,0.025932953826692029,row_centered_residual,0.98261448501864979,0.017385514981350214,0.0613107822410148,0.79245283018867929,13.691570673567801,13.438394030543666,0.17476675059729455,0.17620924786644029
Docking-44,low_mw,row_random_disjoint,14,1581,1581,1452,1459,167,178.20899999999997,177.24699999999996,0.96200000000001751,0.022770398481973431,raw,0.98893378313333602,0.01106621686666398,0,0.84466019417475724,1.1912129297985856,1.183574863230999,0.91020312454797225,0.91341218737772123
Docking-44,low_mw,row_random_disjoint,14,1581,1581,1452,1459,167,178.20899999999997,177.24699999999996,0.96200000000001751,0.022770398481973431,row_centered_residual,0.98086318070601342,0.019136819293986584,0.054968287526427059,0.82692307692307687,13.924675015516527,13.22010792598288,0.17226978147772901,0.17856595237291922
Docking-44,low_mw,row_random_disjoint,15,1581,1581,1448,1450,155,177.29099999999997,178.167,0.8760000000000332,0.027197975964579402,raw,0.98931015912917131,0.010689840870828693,0,0.84466019417475724,1.1834064664201611,1.1912886863512584,0.91361478303992516,0.91002617468117797
Docking-44,low_mw,row_random_disjoint,15,1581,1581,1448,1450,155,177.29099999999997,178.167,0.8760000000000332,0.027197975964579402,row_centered_residual,0.98097086452480453,0.019029135475195469,0.059196617336152217,0.79245283018867929,13.779014271691619,13.350119980885465,0.17360087052227358,0.17774341324610524
Docking-44,low_mw,row_random_disjoint,16,1581,1581,1442,1445,144,177.27900000000002,178.15099999999998,0.87199999999995725,0.0164452877925364,raw,0.99141503263700637,0.0085849673629936341,0,0.84466019417475724,1.1890623699004634,1.1852702091478742,0.91114453567888098,0.91266575096987801
Docking-44,low_mw,row_random_disjoint,16,1581,1581,1442,1445,144,177.27900000000002,178.15099999999998,0.87199999999995725,0.0164452877925364,row_centered_residual,0.98346108649883091,0.016538913501169095,0.054968287526427059,0.82692307692307687,13.446563532618139,13.687634949190398,0.17658187295738717,0.17442325948697474
Docking-44,low_mw,row_random_disjoint,17,1581,1581,1443,1464,164,176.2589999999999,178.27499999999998,2.0160000000000764,0.037950664136622403,raw,0.989316154950594,0.010683845049406004,0,0.88118811881188119,1.1819233753990326,1.1928292449814046,0.91415251480770088,0.90948637055462245
Docking-44,low_mw,row_random_disjoint,17,1581,1581,1443,1464,164,176.2589999999999,178.27499999999998,2.0160000000000764,0.037950664136622403,row_centered_residual,0.98120050590274788,0.018799494097252123,0.064482029598308663,0.80952380952380953,13.096687073939096,14.071044221171574,0.1806484561157406,0.17024194999352887
Docking-44,low_mw,row_random_disjoint,18,1581,1581,1456,1465,177,178.054,178.054,0,0.018975332068311201,raw,0.98659932494563274,0.013400675054367261,0,0.79245283018867929,1.1770800005398003,1.1979918770072886,0.91634479037345618,0.90717417805075684
Docking-44,low_mw,row_random_disjoint,18,1581,1581,1456,1465,177,178.054,178.054,0,0.018975332068311201,row_centered_residual,0.97552195273272846,0.024478047267271541,0.065539112050739964,0.79245283018867929,13.366005824549577,13.727845421641744,0.17594217712944332,0.17553530535063994
Docking-44,low_mw,row_random_disjoint,19,1581,1581,1446,1458,161,177.291,178.16699999999997,0.87599999999997635,0.027830487033523088,raw,0.98862353126737579,0.011376468732624212,0,0.84466019417475724,1.1835359898235387,1.1909769583620236,0.9132377702372193,0.91049101129339904
Docking-44,low_mw,row_random_disjoint,19,1581,1581,1446,1458,161,177.291,178.16699999999997,0.87599999999997635,0.027830487033523088,row_centered_residual,0.98206669656781365,0.017933303432186354,0.060253699788583512,0.77570093457943923,13.59152040076799,13.531530167182794,0.17542982923235073,0.17553576728431286
Docking-44,low_mw,row_random_disjoint,20,1581,1581,1443,1451,151,178.054,177.27199999999999,0.78200000000001069,0.02656546489563566,raw,0.98963835593584348,0.010361644064156517,0,0.86274509803921573,1.1837849767447708,1.190845495256696,0.91335694764953379,0.91032451739873121
Docking-44,low_mw,row_random_disjoint,20,1581,1581,1443,1451,151,178.054,177.27199999999999,0.78200000000001069,0.02656546489563566,row_centered_residual,0.98163458636433254,0.01836541363566746,0.066596194503171252,0.80952380952380953,13.362569957229757,13.766428223756929,0.17788644743498533,0.17331884322937799
