dataset,mw_band,control_type,transformation,repetitions,geometry_spearman_mean,geometry_spearman_median,geometry_spearman_q025,geometry_spearman_q975,sign_flip_fraction_mean,sign_flip_fraction_median,sign_flip_fraction_q025,sign_flip_fraction_q975,top_positive_10pct_pair_jaccard_mean,top_positive_10pct_pair_jaccard_median,top_positive_10pct_pair_jaccard_q025,top_positive_10pct_pair_jaccard_q975,absolute_median_mw_difference_mean,absolute_median_mw_difference_median,absolute_median_mw_difference_q025,absolute_median_mw_difference_q975,mw_ks_statistic_mean,mw_ks_statistic_median,mw_ks_statistic_q025,mw_ks_statistic_q975,first_ligands_mean,first_ligands_median,first_ligands_q025,first_ligands_q975,second_ligands_mean,second_ligands_median,second_ligands_q025,second_ligands_q975,chemical_group_overlap_mean,chemical_group_overlap_median,chemical_group_overlap_q025,chemical_group_overlap_q975
DOCKSTRING-58,high_mw,mw_matched_chemical_group_disjoint,raw,200,0.97950807527416783,0.9800006390725311,0.971849855498777,0.98426178416244781,0.0085541439806412576,0.0078644888082274652,0.0048396854204476713,0.014519056261343012,0.69379460856387654,0.69387755102040816,0.63526755529798129,0.73821989528795806,0.42821000000003862,0.18575000000018349,0.0045000000001735431,1.977150000000087,0.016712672724708406,0.016193995717403209,0.012118785906001902,0.024661223627607011,1874.9949999999999,1875,1869.925,1881,1875.0050000000001,1875,1869,1880.075,0,0,0,0
DOCKSTRING-58,high_mw,mw_matched_chemical_group_disjoint,row_centered_residual,200,0.96574137343344935,0.96622584167544745,0.95762617015777185,0.97132400274065234,0.074924379915305511,0.07441016333938294,0.064125831820931636,0.086539624924379915,0.7783534878835513,0.77540106951871657,0.73799356457242582,0.81420765027322406,0.42821000000003862,0.18575000000018349,0.0045000000001735431,1.977150000000087,0.016712672724708406,0.016193995717403209,0.012118785906001902,0.024661223627607011,1874.9949999999999,1875,1869.925,1881,1875.0050000000001,1875,1869,1880.075,0,0,0,0
DOCKSTRING-58,high_mw,row_random_disjoint,raw,200,0.98148083140280951,0.98196068201765252,0.97358706852594568,0.98597139311663884,0.0081215970961887492,0.0078644888082274652,0.0042347247428917122,0.013339382940108901,0.70683668686534673,0.70695215437483472,0.65174129353233834,0.75661375661375663,1.5590200000000143,1.4840000000000373,0.018949999999894374,5.2154750000001231,0.02835466666666667,0.027199999999999974,0.0165333333333334,0.051226666666666698,1875,1875,1875,1875,1875,1875,1875,1875,179.28,179,163,194.02500000000001
DOCKSTRING-58,high_mw,row_random_disjoint,row_centered_residual,200,0.96861564263206457,0.96922168346370352,0.9607472355171337,0.97360869560758545,0.071457955232909862,0.071385359951603139,0.061705989110707807,0.081669691470054442,0.78924460160840337,0.78977041557686722,0.73821989528795806,0.83425414364640882,1.5590200000000143,1.4840000000000373,0.018949999999894374,5.2154750000001231,0.02835466666666667,0.027199999999999974,0.0165333333333334,0.051226666666666698,1875,1875,1875,1875,1875,1875,1875,1875,179.28,179,163,194.02500000000001
DOCKSTRING-58,low_mw,mw_matched_chemical_group_disjoint,raw,200,0.99110543153945219,0.99120694620777128,0.98834410006533613,0.99357506794257067,0,0,0,0,0.78877987143561312,0.78977041557686722,0.74736842105263157,0.83425414364640882,1.364635000000018,1.0355000000000132,0.037987500000066635,3.0441000000000416,0.034471280652799322,0.03506403766607355,0.018923547687419651,0.047502861227408474,1876.2149999999999,1876,1800.9000000000001,1943.2,1874.7850000000001,1875,1807.8,1950.0999999999999,0,0,0,0
DOCKSTRING-58,low_mw,mw_matched_chemical_group_disjoint,row_centered_residual,200,0.97822285991084301,0.97851615573180006,0.97278361734192353,0.98165480182930431,0.069416212946158518,0.068965517241379309,0.05928614640048397,0.081064730792498485,0.76294031443447385,0.76595744680851063,0.71112080359503038,0.80434782608695654,1.364635000000018,1.0355000000000132,0.037987500000066635,3.0441000000000416,0.034471280652799322,0.03506403766607355,0.018923547687419651,0.047502861227408474,1876.2149999999999,1876,1800.9000000000001,1943.2,1874.7850000000001,1875,1807.8,1950.0999999999999,0,0,0,0
DOCKSTRING-58,low_mw,row_random_disjoint,raw,200,0.9927970308510603,0.99288780872093119,0.99050384347901665,0.99459633183100726,0,0,0,0,0.79794032105392088,0.79459459459459458,0.75661375661375663,0.83425414364640882,1.0831200000000125,0.93650000000005207,0.028849999999941648,3.3860500000000457,0.028450666666666676,0.027200000000000002,0.015453333333333352,0.048546666666666655,1875,1875,1875,1875,1875,1875,1875,1875,247.45500000000001,248,229,264.05000000000001
DOCKSTRING-58,low_mw,row_random_disjoint,row_centered_residual,200,0.98048354567302387,0.9807287896107072,0.9755461615235177,0.9835157617646002,0.065747126436781614,0.065940713853599522,0.056866303690260134,0.077450090744101641,0.77341417775649546,0.77540106951871657,0.72894268134715023,0.81445685462078909,1.0831200000000125,0.93650000000005207,0.028849999999941648,3.3860500000000457,0.028450666666666676,0.027200000000000002,0.015453333333333352,0.048546666666666655,1875,1875,1875,1875,1875,1875,1875,1875,247.45500000000001,248,229,264.05000000000001
Docking-44,high_mw,mw_matched_chemical_group_disjoint,raw,200,0.98911234181369967,0.98941494425888221,0.98285763683912042,0.99285726936472252,0.010332980972515858,0.0095137420718816069,0.0042283298097251587,0.019080338266384791,0.77501796238937914,0.77570093457943923,0.6960532553729456,0.84511231677136878,1.3620750000000115,0.99150000000000205,0.025700000000171037,4.0280874999999652,0.025352467219513834,0.024804738631967915,0.016317882377459431,0.037219359500927876,1580.76,1580,1567,1593,1582.24,1583,1570,1596,0,0,0,0
Docking-44,high_mw,mw_matched_chemical_group_disjoint,row_centered_residual,200,0.9776809289611037,0.97876654968081989,0.9664119353274826,0.98559580232967414,0.059963002114164915,0.059196617336152217,0.046511627906976744,0.077193446088794929,0.76630943756134851,0.77570093457943923,0.68141592920353977,0.84466019417475724,1.3620750000000115,0.99150000000000205,0.025700000000171037,4.0280874999999652,0.025352467219513834,0.024804738631967915,0.016317882377459431,0.037219359500927876,1580.76,1580,1567,1593,1582.24,1583,1570,1596,0,0,0,0
