path,kind,level,role,license,bytes,sha256
analysis/TARGET_MAP_AUDIT.md,code,research_tool_documentation,usage and interpretation contract for the generic audit,MIT,2391,778a72232ad74a10d5fc36631e716893a034f82d245451ed7e452c95202a6d20
analysis/build_public_core_evidence.py,code,builder,public-core evidence builder,MIT,158354,0fae9cbdcaa4dcc02978221a2a5f8c528c2daa6d31173305f1c9bc977cb023b9
analysis/cross_panel_overlap_audit.py,code,producer_code,producer for the cross-panel overlap audit,MIT,7234,045924497e4dc6e7c732492d10f6cf3772c199de9fbd027cb61127a1deb4eeec
analysis/dense_davis_benchmark.py,code,supporting_code,public DAVIS loader imported by the experimental producer,MIT,67738,f9beba3c4b36b9493bc57a84b2354c01ed08ce46c981cb4064c189e05171bc79
analysis/dense_pkis2_benchmark.py,code,supporting_code,public PKIS2 loader imported by the experimental producer,MIT,69685,06dbe25ece59075f936abf464d5a92ed65800bab6747fa6fb4aa4b134df67cf6
analysis/experimental_map_reliability.py,code,producer_code,producer for experimental reliability and same-support outputs,MIT,68480,a2484ce5d5ad61c7f842bc1f8e5ffc507f3e8c6d0f197c3f0c1e32167a8dcd6a
analysis/fetch_anastassiadis_supplement.py,code,producer_code,checksum-gated fetcher for the non-redistributed official workbook,MIT,1550,4229f4b01940acd9c6aa39324bd13b8cd01ce61de52d2714fab0f1b5896d0002
analysis/public_anastassiadis_identity_audit.py,code,producer_code,producer for the HotSpot PubChem identity crosswalk,MIT,50195,8586461a37eddc3e10925284810b3b62477ab09115865618d8dd8387be4efc6a
analysis/public_anastassiadis_panel_validation.py,code,producer_code,strict-public HotSpot panel-validation producer,MIT,73235,091d6b57fcb2fd2243edc3bd60b0d1809cce3d179057b5884a219c99db754688
analysis/public_chemical_domain_controls.py,code,producer_code,standalone producer for chemical-domain controls,MIT,35355,d3b2554038e13f93c594ca3360018273efbb069879d4298ca8626f904dec2c6d
analysis/public_descriptor_domain_specificity.py,code,producer_code,strict-public producer for descriptor-domain sensitivity,MIT,20624,6c9a1a1af5d744a2a5ac416805f73b1150963141fd81a183ee75b600c866ad0e
analysis/public_docking44_missing_data_sensitivity.py,code,producer_code,standalone producer for Docking-44 missing-data sensitivity,MIT,28978,9b7c113ab3383ab28e359ac54328bff2bd50194087c045258474c838e8191c97
analysis/public_panel_selector_controls.py,code,producer_code,strict-public producer for panel selector and size controls,MIT,50670,8b848e05e930f61ef1708df1f53426605e08eb82019d3950e1fcd1c81000c1d9
analysis/public_panel_selector_robustness.py,code,producer_code,strict-public producer for k=8 selector robustness,MIT,31976,180bde6aef87d61d493ef5482f1b254b494014ffeeeacfd2aa0005c16602bfec
analysis/public_residual_null_audit.py,code,producer_code,producer for the standalone residual-null audit,MIT,34520,7ca2039426a717bd7a30b3b07b5c7dc16b87887594ce39f3b6c4f47a286f61f9
analysis/public_scaffold_holdout_recovery.py,code,producer_code,strict-public producer for chemical-group-held-out recovery,MIT,35905,8f1073f3c306b6f7b67d4280f8bad8d18d2949ae441cc1bbf62f1bc4edaf8992
analysis/residual_mechanism_analysis.py,code,supporting_code,public row-level Vina loaders imported by the revision producer,MIT,89534,d16dc1647d845204bf1277e20ea000907ddc8deccae22176a4b815d8919ffb33
analysis/revision_map_decision_sensitivities.py,code,producer_code,producer for support-dependence and pilot-recovery outputs,MIT,54093,fa99818236cd97fb51a26aa39c92ad159f4f086d9b5e4c725e6c0275242a8698
analysis/target_map_audit.py,code,research_tool,generic strict-public target-map audit CLI,MIT,41044,bc265d8685d08b6ff8e0aea4d83ae2c70d29fde4941f088d2b9851c5c3980c44
analysis/test_build_public_core_evidence.py,code,builder_test,tests for the strict public-core evidence builder,MIT,22467,3d11e9dd8cc7df326f5fff2f71f064aab94d5bca2d019ab0cc0a5d7293fb4847
analysis/test_cross_panel_overlap_audit.py,code,producer_test,tests for the cross-panel overlap audit,MIT,1426,ba0eef25bc7358f6ae4fd0dbe88bbf4f726c5f7fb0898da2c5fa4d54d8ef6668
analysis/test_dense_davis_benchmark.py,code,supporting_test,tests for the public DAVIS loader,MIT,4963,7c25523c7f14944f4726cfd0fc33000eaa86197d00870656104f440922e1eaea
analysis/test_dense_pkis2_benchmark.py,code,supporting_test,tests for the public PKIS2 loader,MIT,11128,526ad89e4484dbb2ada86db471b37ecde51ff590db3428d3a578b3e4e155c3b1
analysis/test_experimental_map_reliability.py,code,producer_test,tests for experimental reliability and same-support outputs,MIT,7195,fc0c8f803193cd5da1193ba53e25b14262027a6c35e2f97b292bc7f6d97d6387
analysis/test_public_anastassiadis_identity_audit.py,code,producer_test,tests for the HotSpot identity crosswalk,MIT,7263,41771304bd5ea77524afbbf5b71441cc7ce39a01223b2170c250739ebed67e00
analysis/test_public_anastassiadis_panel_validation.py,code,producer_test,tests for HotSpot panel validation,MIT,11483,ef8a97f991edadc2974f3ea59092d5d0d77fe665107983906e935449f7090318
