dataset,descriptor_a,descriptor_b,spearman
Docking-44,heavy_atoms,molecular_weight,0.9345913027425945
Docking-44,heavy_atoms,labute_asa,0.98469346137469649
Docking-44,heavy_atoms,tpsa,0.3502666329971757
Docking-44,heavy_atoms,clogp,0.45969719785173146
Docking-44,heavy_atoms,rotatable_bonds,0.62140671846892592
Docking-44,heavy_atoms,ring_count,0.64048346181607463
Docking-44,molecular_weight,labute_asa,0.96754675180153538
Docking-44,molecular_weight,tpsa,0.3613338377852291
Docking-44,molecular_weight,clogp,0.47513490676614534
Docking-44,molecular_weight,rotatable_bonds,0.60174692824189513
Docking-44,molecular_weight,ring_count,0.52630989218511137
Docking-44,labute_asa,tpsa,0.3097000724216713
Docking-44,labute_asa,clogp,0.50583142668148984
Docking-44,labute_asa,rotatable_bonds,0.6393660265905472
Docking-44,labute_asa,ring_count,0.60212649507128924
Docking-44,tpsa,clogp,-0.34039458485131668
Docking-44,tpsa,rotatable_bonds,0.18121922184995778
Docking-44,tpsa,ring_count,0.11664291785211672
Docking-44,clogp,rotatable_bonds,0.34002073759665963
Docking-44,clogp,ring_count,0.2913115308986538
Docking-44,rotatable_bonds,ring_count,0.010037843480954175
DOCKSTRING-58,heavy_atoms,molecular_weight,0.96466938120309209
DOCKSTRING-58,heavy_atoms,labute_asa,0.99196532071527732
DOCKSTRING-58,heavy_atoms,tpsa,0.51854027825152293
DOCKSTRING-58,heavy_atoms,clogp,0.39167004367516117
DOCKSTRING-58,heavy_atoms,rotatable_bonds,0.63030083449609797
DOCKSTRING-58,heavy_atoms,ring_count,0.64440644397864133
DOCKSTRING-58,molecular_weight,labute_asa,0.97918603890129741
DOCKSTRING-58,molecular_weight,tpsa,0.52570157516760774
DOCKSTRING-58,molecular_weight,clogp,0.38272549397477273
DOCKSTRING-58,molecular_weight,rotatable_bonds,0.62716101828652804
DOCKSTRING-58,molecular_weight,ring_count,0.57333351919638009
DOCKSTRING-58,labute_asa,tpsa,0.48153607538466781
DOCKSTRING-58,labute_asa,clogp,0.42384678794313485
DOCKSTRING-58,labute_asa,rotatable_bonds,0.63776761438842833
DOCKSTRING-58,labute_asa,ring_count,0.63141393679317925
DOCKSTRING-58,tpsa,clogp,-0.27807065265332581
DOCKSTRING-58,tpsa,rotatable_bonds,0.45435564786229465
DOCKSTRING-58,tpsa,ring_count,0.12409254037263071
DOCKSTRING-58,clogp,rotatable_bonds,0.14035426037016388
DOCKSTRING-58,clogp,ring_count,0.44828449984173202
DOCKSTRING-58,rotatable_bonds,ring_count,0.060706178057435736
