dataset,descriptor,descriptor_family,low_ligands,high_ligands,low_support_fraction,high_support_fraction,combined_support_fraction,observed_geometry_spearman,control_repetitions,random_disjoint_mean,random_disjoint_median,random_disjoint_q025,random_disjoint_q975,observed_minus_control_median,observed_below_control_q025
Docking-44,heavy_atoms,size_related,3545,3523,0.28021500276657973,0.2784760098015967,0.55869101256817644,0.20732733318868235,200,0.9925852261188326,0.99296388938588276,0.98844581788443675,0.99489703682749031,-0.78563655619720041,True
Docking-44,molecular_weight,size_related,3163,3163,0.25001976128369297,0.25001976128369297,0.50003952256738593,0.20496480945389367,200,0.99150605445077578,0.99173882825561321,0.98740543088889143,0.99418547386107115,-0.7867740188017196,True
Docking-44,labute_asa,size_related,3163,3163,0.25001976128369297,0.25001976128369297,0.50003952256738593,0.200058200573905,200,0.99150605445077578,0.99173882825561321,0.98740543088889143,0.99418547386107115,-0.79168062768170822,True
Docking-44,tpsa,other_coarse,3163,3167,0.25001976128369297,0.25033594182278079,0.50035570310647381,0.75305974173389001,200,0.99161601987097414,0.99203525996581154,0.98672554336511498,0.99419207245390273,-0.23897551823192154,True
Docking-44,clogp,other_coarse,3164,3163,0.25009880641846494,0.25001976128369297,0.5001185677021579,0.88724656536350732,200,0.99166096606503262,0.99189727102597591,0.98789459140408253,0.99407171732409316,-0.10465070566246859,True
Docking-44,rotatable_bonds,other_coarse,3736,3168,0.29531262350802306,0.25041498695755277,0.54572761046557583,0.78857265183239489,200,0.99238536384554399,0.99262758475449697,0.98866039635568859,0.99456187466231405,-0.20405493292210208,True
Docking-44,ring_count,other_coarse,4537,4349,0.35862777646035887,0.34376729112323134,0.70239506758359027,0.703229858992242,200,0.99404780845462537,0.99424077255662913,0.99160991490575712,0.99577076089489813,-0.29101091356438713,True
DOCKSTRING-58,heavy_atoms,size_related,4367,3817,0.29113333333333336,0.25446666666666667,0.54559999999999997,0.36094194859500778,200,0.99121058618998314,0.99128863957154634,0.98911214209062237,0.99261020677474165,-0.6303466909765385,True
DOCKSTRING-58,molecular_weight,size_related,3751,3750,0.25006666666666666,0.25,0.50006666666666666,0.35059784207093159,200,0.99037554172449394,0.99047838253340748,0.98791573044382919,0.99203446038284593,-0.63988054046247589,True
DOCKSTRING-58,labute_asa,size_related,3750,3750,0.25,0.25,0.5,0.32203190302999185,200,0.9904644307516558,0.99049101041958154,0.98840596534966474,0.99208308246047927,-0.66845910738958969,True
DOCKSTRING-58,tpsa,other_coarse,3755,3750,0.25033333333333335,0.25,0.5003333333333333,0.78710359496444848,200,0.99043148622260413,0.99052853142157882,0.98835247218383271,0.99184434500594409,-0.20342493645713033,True
DOCKSTRING-58,clogp,other_coarse,3750,3750,0.25,0.25,0.5,0.82211110562093115,200,0.9904644307516558,0.99049101041958154,0.98840596534966474,0.99208308246047927,-0.16837990479865039,True
DOCKSTRING-58,rotatable_bonds,other_coarse,6154,4352,0.41026666666666667,0.29013333333333335,0.70040000000000002,0.83141471470799533,200,0.99292158395925501,0.99298718723604606,0.99142936604488452,0.99408975068046712,-0.16157247252805074,True
DOCKSTRING-58,ring_count,other_coarse,8376,6624,0.55840000000000001,0.44159999999999999,1,0.80279161674781507,200,0.99516155215047841,0.99521614464380936,0.99424615534002481,0.99586771713498834,-0.19242452789599429,True
