target,missing_cells,fraction_rows_missing
4mqs,3352,0.26495929175559246
8st0,1007,0.079598450715358468
3b66,634,0.050114615445419335
8e9y,528,0.041735831159592125
3ln1,451,0.035649355782151608
1m2z,411,0.03248755039127342
2z5x,343,0.027112481226780491
7ym8,259,0.02047268990593629
8yn3,237,0.018733696940953285
6kpf,223,0.017627065054145918
9eo4,133,0.010513002924669987
5u09,129,0.010196822385582168
7ljd,88,0.0069559718599320215
7wc9,77,0.0060864753774405181
5cxv,62,0.0049007983558611969
4iar,30,0.0023713540431586438
6x3x,29,0.0022923089083866886
6y1z,27,0.0021342186388427793
8wty,24,0.001897083234526915
7f8y,20,0.0015809026954390958
6cm4,17,0.0013437672911232313
8pjk,17,0.0013437672911232313
2vt4,15,0.0011856770215793219
3kk6,10,0.00079045134771954788
5i71,9,0.00071140621294759308
6kux,8,0.00063236107817563828
2rh1,7,0.00055331594340368349
3rze,3,0.00023713540431586437
2ydo,2,0.00015809026954390957
7kwe,2,0.00015809026954390957
8fhs,2,0.00015809026954390957
1xoq,1,7.9045134771954786e-05
5tvn,1,7.9045134771954786e-05
8xvk,1,7.9045134771954786e-05
1pbq,0,0
4djh,0,0
4ey7,0,0
4n6h,0,0
5va1,0,0
6lqa,0,0
6pdj,0,0
7xnk,0,0
8ef6,0,0
V1A,0,0
