analysis_family,support,transform,davis_threshold,pkis2_threshold,davis_ligands,pkis2_ligands,targets,target_names,edge_spearman,target_label_qap_p_two_sided,qap_null_median,qap_permutations,qap_seed,davis_positive_cell_fraction,pkis2_positive_cell_fraction
continuous_or_rank,released_informative,native_row_centered_pearson,,,67,644,21,ABL1;AKT1;AKT2;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK1;MAPK14;MAPKAPK2;MET;PLK1;PTK2;ROCK1;SRC,0.848403429945,9.99900009999e-05,-0.0114599294445,10000,20270831,,
continuous_or_rank,released_informative,column_rank_then_row_centered_pearson,,,67,644,21,ABL1;AKT1;AKT2;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK1;MAPK14;MAPKAPK2;MET;PLK1;PTK2;ROCK1;SRC,0.571360542675,9.99900009999e-05,-0.0083830861082,10000,20270832,,
continuous_or_rank,exact_dockstring_match_informative,native_row_centered_pearson,,,56,154,21,ABL1;AKT1;AKT2;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK1;MAPK14;MAPKAPK2;MET;PLK1;PTK2;ROCK1;SRC,0.822724843129,9.99900009999e-05,-0.0122037104826,10000,20270833,,
continuous_or_rank,exact_dockstring_match_informative,column_rank_then_row_centered_pearson,,,56,154,21,ABL1;AKT1;AKT2;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK1;MAPK14;MAPKAPK2;MET;PLK1;PTK2;ROCK1;SRC,0.469952347478,9.99900009999e-05,-0.00676983281124,10000,20270834,,
davis_minimum_uncensored_target_filter,released_informative,native_row_centered_pearson,5,,67,644,19,ABL1;AKT1;AKT2;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK14;MET;PLK1;PTK2;ROCK1;SRC,0.842678858569,9.99900009999e-05,-0.0125866993064,10000,20270835,,
davis_minimum_uncensored_target_filter,released_informative,column_rank_then_row_centered_pearson,5,,67,644,19,ABL1;AKT1;AKT2;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK14;MET;PLK1;PTK2;ROCK1;SRC,0.590107279142,9.99900009999e-05,-0.00706554347565,10000,20270836,,
davis_minimum_uncensored_target_filter,released_informative,native_row_centered_pearson,10,,67,644,17,ABL1;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK14;MET;PLK1;PTK2;ROCK1;SRC,0.853265588474,9.99900009999e-05,-0.0131219884547,10000,20270837,,
davis_minimum_uncensored_target_filter,released_informative,column_rank_then_row_centered_pearson,10,,67,644,17,ABL1;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK14;MET;PLK1;PTK2;ROCK1;SRC,0.61801440771,9.99900009999e-05,-0.0072372501312,10000,20270838,,
davis_minimum_uncensored_target_filter,released_informative,native_row_centered_pearson,15,,67,644,13,ABL1;CSF1R;EGFR;FGFR1;JAK2;KDR;KIT;LCK;MAP2K1;MET;PTK2;ROCK1;SRC,0.816588474816,9.99900009999e-05,-0.018171701716,10000,20270839,,
davis_minimum_uncensored_target_filter,released_informative,column_rank_then_row_centered_pearson,15,,67,644,13,ABL1;CSF1R;EGFR;FGFR1;JAK2;KDR;KIT;LCK;MAP2K1;MET;PTK2;ROCK1;SRC,0.600424891564,9.99900009999e-05,-0.00856105919397,10000,20270840,,
davis_minimum_uncensored_target_filter,released_informative,native_row_centered_pearson,20,,67,644,12,ABL1;CSF1R;EGFR;FGFR1;JAK2;KDR;KIT;LCK;MAP2K1;MET;ROCK1;SRC,0.784239640956,9.99900009999e-05,-0.01607347876,10000,20270841,,
davis_minimum_uncensored_target_filter,released_informative,column_rank_then_row_centered_pearson,20,,67,644,12,ABL1;CSF1R;EGFR;FGFR1;JAK2;KDR;KIT;LCK;MAP2K1;MET;ROCK1;SRC,0.665254148836,9.99900009999e-05,-0.00350694082037,10000,20270842,,
fully_crossed_binary_threshold_grid,released_informative_fixed_common_estimable_targets,binary_then_row_centered_pearson,5,50,67,644,17,ABL1;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK14;MET;PLK1;PTK2;ROCK1;SRC,0.728700920758,9.99900009999e-05,-0.0139735699633,10000,20270843,0.417910447761,0.134088417976
fully_crossed_binary_threshold_grid,released_informative_fixed_common_estimable_targets,binary_then_row_centered_pearson,5,70,67,644,17,ABL1;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK14;MET;PLK1;PTK2;ROCK1;SRC,0.701712704547,9.99900009999e-05,-0.0156958160393,10000,20270844,0.417910447761,0.0992875411034
