record_type,target_a,target_b,target_a_floor_fraction,target_b_floor_fraction,target_a_uncensored_ligands,target_b_uncensored_ligands,jointly_uncensored_ligands,continuous_map_edge,rank_map_edge,sum_floor_fraction,absolute_floor_fraction_difference
target,ABL1,,0.373134328358,,42,,,,,,
target,AKT1,,0.925373134328,,5,,,,,,
target,AKT2,,0.89552238806,,7,,,,,,
target,CDK2,,0.835820895522,,11,,,,,,
target,CSF1R,,0.34328358209,,44,,,,,,
target,EGFR,,0.55223880597,,30,,,,,,
target,FGFR1,,0.55223880597,,30,,,,,,
target,IGF1R,,0.805970149254,,13,,,,,,
target,JAK2,,0.582089552239,,28,,,,,,
target,KDR,,0.492537313433,,34,,,,,,
target,KIT,,0.388059701493,,41,,,,,,
target,LCK,,0.283582089552,,48,,,,,,
target,MAP2K1,,0.582089552239,,28,,,,,,
target,MAPK1,,0.970149253731,,2,,,,,,
target,MAPK14,,0.850746268657,,10,,,,,,
target,MAPKAPK2,,0.955223880597,,3,,,,,,
target,MET,,0.537313432836,,31,,,,,,
target,PLK1,,0.850746268657,,10,,,,,,
target,PTK2,,0.731343283582,,18,,,,,,
target,ROCK1,,0.701492537313,,20,,,,,,
target,SRC,,0.432835820896,,38,,,,,,
pair,ABL1,AKT1,0.373134328358,0.925373134328,42,5,2,-0.4108499848,-0.523516681387,1.29850746269,0.55223880597
pair,ABL1,AKT2,0.373134328358,0.89552238806,42,7,3,-0.438617164567,-0.520290303808,1.26865671642,0.522388059701
pair,ABL1,CDK2,0.373134328358,0.835820895522,42,11,7,-0.354887552385,-0.338135405969,1.20895522388,0.462686567164
pair,ABL1,CSF1R,0.373134328358,0.34328358209,42,44,36,0.318858781433,0.281671312176,0.716417910448,0.0298507462687
pair,ABL1,EGFR,0.373134328358,0.55223880597,42,30,21,-0.022051196792,-0.112181933648,0.925373134328,0.179104477612
pair,ABL1,FGFR1,0.373134328358,0.55223880597,42,30,28,-0.115435128026,0.161833380247,0.925373134328,0.179104477612
pair,ABL1,IGF1R,0.373134328358,0.805970149254,42,13,12,-0.366997806013,-0.27548309306,1.17910447761,0.432835820896
pair,ABL1,JAK2,0.373134328358,0.582089552239,42,28,25,-0.188268010736,-0.0714939550172,0.955223880597,0.208955223881
pair,ABL1,KDR,0.373134328358,0.492537313433,42,34,30,-0.107111213432,0.0860670222713,0.865671641791,0.119402985075
pair,ABL1,KIT,0.373134328358,0.388059701493,42,41,36,0.333903049738,0.322949222988,0.761194029851,0.0149253731343
pair,ABL1,LCK,0.373134328358,0.283582089552,42,48,40,0.781002082155,0.68841915444,0.65671641791,0.089552238806
pair,ABL1,MAP2K1,0.373134328358,0.582089552239,42,28,25,-0.140782528743,-0.0171531098394,0.955223880597,0.208955223881
pair,ABL1,MAPK1,0.373134328358,0.970149253731,42,2,2,-0.439339055458,-0.394065372292,1.34328358209,0.597014925373
pair,ABL1,MAPK14,0.373134328358,0.850746268657,42,10,8,0.0642508765559,0.0223868298864,1.22388059701,0.477611940299
pair,ABL1,MAPKAPK2,0.373134328358,0.955223880597,42,3,3,-0.494223603378,-0.379325223389,1.32835820896,0.582089552239
pair,ABL1,MET,0.373134328358,0.537313432836,42,31,25,-0.17519159201,-0.0576838969712,0.910447761194,0.164179104478
pair,ABL1,PLK1,0.373134328358,0.850746268657,42,10,7,-0.379147519792,-0.425832128103,1.22388059701,0.477611940299
pair,ABL1,PTK2,0.373134328358,0.731343283582,42,18,15,-0.385517727184,-0.343503274359,1.10447761194,0.358208955224
pair,ABL1,ROCK1,0.373134328358,0.701492537313,42,20,14,-0.396902790995,-0.348001023852,1.07462686567,0.328358208955
pair,ABL1,SRC,0.373134328358,0.432835820896,42,38,33,0.598718253663,0.496828810792,0.805970149254,0.0597014925373
pair,AKT1,AKT2,0.925373134328,0.89552238806,5,7,5,0.954595323516,0.887822923195,1.82089552239,0.0298507462687
pair,AKT1,CDK2,0.925373134328,0.835820895522,5,11,2,0.341762809818,0.373603740807,1.76119402985,0.089552238806
pair,AKT1,CSF1R,0.925373134328,0.34328358209,5,44,3,-0.384326448449,-0.325896906738,1.26865671642,0.582089552239
