transformation,objective,evaluation_map,selection_source,target_index,target
raw,signed_1_minus_r,DAVIS_experiment,Vina_selected,0,ABL1
raw,signed_1_minus_r,DAVIS_experiment,Vina_selected,3,CDK2
raw,signed_1_minus_r,DAVIS_experiment,Vina_selected,4,CSF1R
raw,signed_1_minus_r,DAVIS_experiment,Vina_selected,6,FGFR1
raw,signed_1_minus_r,DAVIS_experiment,Vina_selected,9,KDR
raw,signed_1_minus_r,DAVIS_experiment,Vina_selected,10,KIT
raw,signed_1_minus_r,DAVIS_experiment,Vina_selected,16,MET
raw,signed_1_minus_r,DAVIS_experiment,Vina_selected,19,ROCK1
raw,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,1,AKT1
raw,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,9,KDR
raw,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,11,LCK
raw,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,12,MAP2K1
raw,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,14,MAPK14
raw,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,15,MAPKAPK2
raw,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,17,PLK1
raw,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,18,PTK2
raw,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,1,AKT1
raw,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,3,CDK2
raw,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,5,EGFR
raw,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,10,KIT
raw,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,11,LCK
raw,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,14,MAPK14
raw,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,16,MET
raw,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,18,PTK2
raw,signed_1_minus_r,PKIS2_experiment,Vina_selected,0,ABL1
raw,signed_1_minus_r,PKIS2_experiment,Vina_selected,3,CDK2
raw,signed_1_minus_r,PKIS2_experiment,Vina_selected,4,CSF1R
raw,signed_1_minus_r,PKIS2_experiment,Vina_selected,6,FGFR1
raw,signed_1_minus_r,PKIS2_experiment,Vina_selected,9,KDR
raw,signed_1_minus_r,PKIS2_experiment,Vina_selected,10,KIT
raw,signed_1_minus_r,PKIS2_experiment,Vina_selected,16,MET
raw,signed_1_minus_r,PKIS2_experiment,Vina_selected,19,ROCK1
raw,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,1,AKT1
raw,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,3,CDK2
raw,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,5,EGFR
raw,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,10,KIT
raw,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,11,LCK
raw,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,14,MAPK14
raw,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,16,MET
raw,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,18,PTK2
raw,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,1,AKT1
raw,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,9,KDR
raw,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,11,LCK
raw,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,12,MAP2K1
raw,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,14,MAPK14
raw,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,15,MAPKAPK2
raw,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,17,PLK1
raw,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,18,PTK2
raw,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,0,ABL1
raw,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,3,CDK2
raw,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,4,CSF1R
raw,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,6,FGFR1
raw,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,9,KDR
raw,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,10,KIT
raw,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,16,MET
raw,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,19,ROCK1
raw,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,1,AKT1
