dataset,pilot_ligands,panel_k,surface,selector,folds,designed_minus_random_median_median,designed_minus_random_median_minimum,designed_minus_random_median_maximum,fraction_random_panels_no_worse_median,fraction_random_panels_no_worse_minimum,fraction_random_panels_no_worse_maximum,ridge_minus_selected_pc1_median,ridge_minus_selected_pc1_minimum,ridge_minus_selected_pc1_maximum,ridge_minus_descriptor_only_median,ridge_minus_descriptor_only_minimum,ridge_minus_descriptor_only_maximum
DOCKSTRING-58,500,4,raw,pilot_raw_correlation_pivoted_qr,5,-0.04109828290599693,-0.05427118049503421,-0.022692873176050288,0.94,0.92,0.98,0.36576528225314753,0.17243188442050417,0.5649051094952705,0.15655788024698647,0.14132282779573568,0.17510599045710618
DOCKSTRING-58,500,4,raw,pilot_residual_r2_exact_kmedoids,5,0.015550267625506375,0.0007762905936220532,0.05169368416689901,0.1,0.0,0.48,0.12525137705811684,0.05066274991064734,0.3096588735773447,0.21400218344411026,0.19857515422677852,0.2409846015311201
DOCKSTRING-58,500,4,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,5,0.011365057948312107,0.009320898388615606,0.017987005285333146,0.34,0.24,0.4,0.11981801208582987,0.11620833884236204,0.139353013386741,0.031884422560406134,0.027600444434287885,0.037124208117492286
DOCKSTRING-58,500,4,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,5,0.05682104617634387,0.04160606241016285,0.06701304253675089,0.0,0.0,0.04,0.15408889114835544,0.11615251645538738,0.15944021772162653,0.07778973579467652,0.06650998366126681,0.08324842902272667
DOCKSTRING-58,500,6,raw,pilot_raw_correlation_pivoted_qr,5,-0.046426117368494224,-0.05087612099526406,-0.017564664473244562,1.0,0.92,1.0,0.37424203344708085,0.23466160240433076,0.46237750847284564,0.2062071562514819,0.1847830474093164,0.21277968705614658
DOCKSTRING-58,500,6,raw,pilot_residual_r2_exact_kmedoids,5,0.019136443240644008,0.013991969030301643,0.031180399918886437,0.02,0.0,0.1,0.06103386515024589,0.055363018208802295,0.10926683927942538,0.26014293257681176,0.24459263183464908,0.2831967776437365
DOCKSTRING-58,500,6,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,5,-0.00790968977569062,-0.01063038903041269,0.00289196958721899,0.58,0.42,0.74,0.1450060144253288,0.12791299884888674,0.1588253752852422,0.07362313956742461,0.06693920303007828,0.08124878483951459
DOCKSTRING-58,500,6,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,5,0.03472566868699445,0.029601458819544457,0.045052811017825156,0.02,0.0,0.04,0.12846878900740843,0.11574711416308514,0.14277128809632722,0.11768794201344612,0.10907685382901533,0.12340962627012075
DOCKSTRING-58,500,8,raw,pilot_raw_correlation_pivoted_qr,5,-0.00472474949320012,-0.013525162357752363,0.027234337813951237,0.66,0.02,0.88,0.27726603008352224,0.240490106240689,0.32220995592161794,0.26608732142928193,0.239227066642268,0.3084386514369196
DOCKSTRING-58,500,8,raw,pilot_residual_r2_exact_kmedoids,5,0.02351329673251823,0.017286606851413477,0.029732410043896595,0.02,0.02,0.12,0.056986417272460566,0.052131596386843504,0.0710609424007076,0.28801786061055634,0.27126007198852176,0.310936723666865
DOCKSTRING-58,500,8,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,5,0.0047556079634773485,-0.009096852930491284,0.022139325984435687,0.42,0.06,0.64,0.17161467047510914,0.1608095368756297,0.17896934120613783,0.13605781260654293,0.1116241968827777,0.14774220928986104
