dataset,fold,pilot_ligands,panel_k,surface,selector,metric,higher_is_better,designed_value,random_median,designed_minus_random_median,fraction_random_panels_no_worse,selected_panel_pc1_value,ridge_minus_selected_pc1,descriptor_only_value,ridge_minus_descriptor_only,random_panels
DOCKSTRING-58,1,500,4,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.69680259326228,0.6812523256367736,0.015550267625506375,0.1,0.5715512162041632,0.12525137705811684,0.49064421564558747,0.20615837761669253,50
DOCKSTRING-58,1,500,4,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.6570289360266813,0.6812523256367736,-0.024223389610092294,0.92,0.09212382653141082,0.5649051094952705,0.49064421564558747,0.16638472038109386,50
DOCKSTRING-58,1,500,4,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.2385494065073267,0.18172836033098283,0.05682104617634387,0.0,0.08325533227818105,0.15529407422914565,0.1572594271851565,0.08128997932217019,50
DOCKSTRING-58,1,500,4,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.19104925871959844,0.18172836033098283,0.009320898388615606,0.4,0.055399775678112606,0.13564948304148583,0.1572594271851565,0.03378983153444193,50
DOCKSTRING-58,1,500,6,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7352368474802365,0.7209885671749786,0.014248280305257932,0.04,0.6742029823299907,0.06103386515024589,0.49064421564558747,0.24459263183464908,50
DOCKSTRING-58,1,500,6,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.703423902701734,0.7209885671749786,-0.017564664473244562,0.92,0.3637541755400032,0.33966972716173083,0.49064421564558747,0.21277968705614658,50
DOCKSTRING-58,1,500,6,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.27494736919860263,0.24022170051160818,0.03472566868699445,0.02,0.13866136852248967,0.13628600067611296,0.1572594271851565,0.11768794201344612,50
DOCKSTRING-58,1,500,6,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.23127957698345236,0.24022170051160818,-0.008942123528155821,0.58,0.07245420169821015,0.1588253752852422,0.1572594271851565,0.07402014979829585,50
DOCKSTRING-58,1,500,8,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7619042876341092,0.7408980863326331,0.021006201301476124,0.08,0.7097726912472657,0.052131596386843504,0.49064421564558747,0.27126007198852176,50
DOCKSTRING-58,1,500,8,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7298712822878555,0.7408980863326331,-0.011026804044777627,0.8,0.4344733391579767,0.29539794312987877,0.49064421564558747,0.239227066642268,50
DOCKSTRING-58,1,500,8,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.3155723182475104,0.2779804769984255,0.037591841249084934,0.02,0.18107668407472732,0.1344956341727831,0.1572594271851565,0.1583128910623539,50
DOCKSTRING-58,1,500,8,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.2688836240679342,0.2779804769984255,-0.009096852930491284,0.64,0.10565921923112276,0.16322440483681144,0.1572594271851565,0.1116241968827777,50
DOCKSTRING-58,1,500,10,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7752968192671468,0.7621681307248056,0.013128688542341171,0.14,0.7236761754701535,0.05162064379699327,0.49064421564558747,0.2846526036215593,50
DOCKSTRING-58,1,500,10,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7701291932131218,0.7621681307248056,0.007961062488316184,0.26,0.5718632383650617,0.1982659548480601,0.49064421564558747,0.2794849775675343,50
DOCKSTRING-58,1,500,10,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.34925033434364317,0.3291084170011823,0.020141917342460847,0.1,0.2146285481106991,0.13462178623294407,0.1572594271851565,0.19199090715848666,50
DOCKSTRING-58,1,500,10,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.3255237002891974,0.3291084170011823,-0.0035847167119849033,0.6,0.1570383297207657,0.1684853705684317,0.1572594271851565,0.1682642731040409,50
DOCKSTRING-58,1,500,12,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7945055418399337,0.7864729119486551,0.00803262989127862,0.1,0.7431776226118654,0.05132791922806834,0.49064421564558747,0.30386132619434625,50
