dataset,fold,pilot_ligands,panel_k,surface,comparison,metric,higher_is_better,pivoted_qr_value,residual_kmedoids_value,pivoted_qr_minus_residual_kmedoids
DOCKSTRING-58,1,500,4,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.6570289360266813,0.69680259326228,-0.03977365723559867
DOCKSTRING-58,1,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.19104925871959844,0.2385494065073267,-0.047500147787728264
DOCKSTRING-58,1,500,6,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.703423902701734,0.7352368474802365,-0.031812944778502494
DOCKSTRING-58,1,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.23127957698345236,0.27494736919860263,-0.04366779221515027
DOCKSTRING-58,1,500,8,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.7298712822878555,0.7619042876341092,-0.03203300534625375
DOCKSTRING-58,1,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.2688836240679342,0.3155723182475104,-0.04668869417957622
DOCKSTRING-58,1,500,10,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.7701291932131218,0.7752968192671468,-0.005167626054024987
DOCKSTRING-58,1,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3255237002891974,0.34925033434364317,-0.02372663405444575
DOCKSTRING-58,1,500,12,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.7871815956314666,0.7945055418399337,-0.0073239462084671025
DOCKSTRING-58,1,500,12,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3560411803657102,0.3869354560701569,-0.030894275704446694
DOCKSTRING-58,2,500,4,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.564043715139968,0.6214880183370918,-0.05744430319712379
DOCKSTRING-58,2,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.19080019645112012,0.22018597199489465,-0.02938577554377453
DOCKSTRING-58,2,500,6,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.6182980957582355,0.690682612536718,-0.07238451677848257
DOCKSTRING-58,2,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.22729912790105244,0.26275284216264316,-0.03545371426159072
DOCKSTRING-58,2,500,8,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.7159244863299011,0.7184225585598465,-0.0024980722299453584
DOCKSTRING-58,2,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.28973680742200847,0.29879420510451815,-0.009057397682509682
DOCKSTRING-58,2,500,10,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.7386052652364077,0.7462197454340311,-0.007614480197623452
DOCKSTRING-58,2,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3217313769919926,0.34261374942136824,-0.02088237242937563
