dataset,fold,pilot_ligands,evaluation_ligands,pilot_complete_rows,evaluation_complete_rows,pilot_evaluation_row_overlap,pilot_evaluation_group_overlap,panel_k,selector,target_index,target
Docking-44,1,500,2125,True,True,0,0,4,pilot_residual_r2_exact_kmedoids,14,4mqs
Docking-44,1,500,2125,True,True,0,0,4,pilot_residual_r2_exact_kmedoids,20,5va1
Docking-44,1,500,2125,True,True,0,0,4,pilot_residual_r2_exact_kmedoids,29,7kwe
Docking-44,1,500,2125,True,True,0,0,4,pilot_residual_r2_exact_kmedoids,36,8fhs
Docking-44,1,500,2125,True,True,0,0,4,pilot_raw_correlation_pivoted_qr,10,3rze
Docking-44,1,500,2125,True,True,0,0,4,pilot_raw_correlation_pivoted_qr,14,4mqs
Docking-44,1,500,2125,True,True,0,0,4,pilot_raw_correlation_pivoted_qr,36,8fhs
Docking-44,1,500,2125,True,True,0,0,4,pilot_raw_correlation_pivoted_qr,38,8st0
Docking-44,1,500,2125,True,True,0,0,6,pilot_residual_r2_exact_kmedoids,2,1xoq
Docking-44,1,500,2125,True,True,0,0,6,pilot_residual_r2_exact_kmedoids,14,4mqs
Docking-44,1,500,2125,True,True,0,0,6,pilot_residual_r2_exact_kmedoids,20,5va1
Docking-44,1,500,2125,True,True,0,0,6,pilot_residual_r2_exact_kmedoids,25,6pdj
Docking-44,1,500,2125,True,True,0,0,6,pilot_residual_r2_exact_kmedoids,35,8ef6
Docking-44,1,500,2125,True,True,0,0,6,pilot_residual_r2_exact_kmedoids,36,8fhs
Docking-44,1,500,2125,True,True,0,0,6,pilot_raw_correlation_pivoted_qr,7,3b66
Docking-44,1,500,2125,True,True,0,0,6,pilot_raw_correlation_pivoted_qr,10,3rze
Docking-44,1,500,2125,True,True,0,0,6,pilot_raw_correlation_pivoted_qr,14,4mqs
Docking-44,1,500,2125,True,True,0,0,6,pilot_raw_correlation_pivoted_qr,36,8fhs
Docking-44,1,500,2125,True,True,0,0,6,pilot_raw_correlation_pivoted_qr,38,8st0
Docking-44,1,500,2125,True,True,0,0,6,pilot_raw_correlation_pivoted_qr,40,8xvk
Docking-44,1,500,2125,True,True,0,0,8,pilot_residual_r2_exact_kmedoids,2,1xoq
Docking-44,1,500,2125,True,True,0,0,8,pilot_residual_r2_exact_kmedoids,11,4djh
Docking-44,1,500,2125,True,True,0,0,8,pilot_residual_r2_exact_kmedoids,14,4mqs
Docking-44,1,500,2125,True,True,0,0,8,pilot_residual_r2_exact_kmedoids,20,5va1
Docking-44,1,500,2125,True,True,0,0,8,pilot_residual_r2_exact_kmedoids,25,6pdj
Docking-44,1,500,2125,True,True,0,0,8,pilot_residual_r2_exact_kmedoids,33,7ym8
Docking-44,1,500,2125,True,True,0,0,8,pilot_residual_r2_exact_kmedoids,35,8ef6
Docking-44,1,500,2125,True,True,0,0,8,pilot_residual_r2_exact_kmedoids,36,8fhs
Docking-44,1,500,2125,True,True,0,0,8,pilot_raw_correlation_pivoted_qr,7,3b66
Docking-44,1,500,2125,True,True,0,0,8,pilot_raw_correlation_pivoted_qr,10,3rze
