dataset,pilot_ligands,panel_k,selector,predictor,surface,records,folds,full_profile_variance_weighted_r2_median,full_profile_variance_weighted_r2_minimum,full_profile_variance_weighted_r2_maximum,full_profile_pooled_rmse_median,full_profile_pooled_rmse_minimum,full_profile_pooled_rmse_maximum,full_profile_median_target_pearson_median,full_profile_median_target_pearson_minimum,full_profile_median_target_pearson_maximum,full_profile_median_ligand_profile_pearson_median,full_profile_median_ligand_profile_pearson_minimum,full_profile_median_ligand_profile_pearson_maximum,omitted_only_variance_weighted_r2_median,omitted_only_variance_weighted_r2_minimum,omitted_only_variance_weighted_r2_maximum,omitted_only_pooled_rmse_median,omitted_only_pooled_rmse_minimum,omitted_only_pooled_rmse_maximum,omitted_only_median_target_pearson_median,omitted_only_median_target_pearson_minimum,omitted_only_median_target_pearson_maximum,omitted_only_median_ligand_profile_pearson_median,omitted_only_median_ligand_profile_pearson_minimum,omitted_only_median_ligand_profile_pearson_maximum
DOCKSTRING-58,500,0,descriptor_only_no_docking_panel,seven_descriptor_ridge_gcv,raw,5,5,0.4494391534081347,0.4074858348929815,0.49064421564558747,0.7464216817274077,0.707131949411877,0.7794677219964478,0.6915948020755809,0.668776314841306,0.7218622758952726,0.4597289447901462,0.44983366140404196,0.48500912339360147,0.4494391534081347,0.4074858348929815,0.49064421564558747,0.7464216817274077,0.707131949411877,0.7794677219964478,0.6915948020755809,0.668776314841306,0.7218622758952726,0.4597289447901462,0.44983366140404196,0.48500912339360147
DOCKSTRING-58,500,0,descriptor_only_no_docking_panel,seven_descriptor_ridge_gcv,raw_row_centered_residual,5,5,0.1538785858178464,0.15088556885192161,0.15801095386512265,0.9227320566440734,0.9105691193773322,0.9244462709350216,0.33143614492735035,0.32320508422386574,0.3379017899103096,0.37536429074145133,0.3706512773185664,0.39241759261997,0.1538785858178464,0.15088556885192161,0.15801095386512265,0.9227320566440734,0.9105691193773322,0.9244462709350216,0.33143614492735035,0.32320508422386574,0.3379017899103096,0.37536429074145133,0.3706512773185664,0.39241759261997
DOCKSTRING-58,500,4,fixed_random_panel,multivariate_ridge_gcv,raw,250,5,0.6474009012150084,0.5107018653714357,0.7096144650015836,0.6021267710894829,0.5392180412859542,0.6535582996144899,0.8304896683518793,0.6912750351257665,0.8635091107926784,0.468774635277281,0.3630194314332187,0.5482241372595027,0.6217097793930988,0.47097023410654903,0.6883994764316311,0.6240294035515608,0.5588323403709098,0.6773317770885041,0.8247864955354764,0.6869041610386895,0.857772560746088,0.42862864941849144,0.3183990864521078,0.4954552320142075
DOCKSTRING-58,500,4,fixed_random_panel,multivariate_ridge_gcv,raw_row_centered_residual,250,5,0.17351239381518518,0.11214936798009789,0.2287130352866661,0.9088343326157191,0.8791504043878681,0.9479623759887776,0.33829039824970136,0.22855173572654364,0.4345021383227121,0.42173478941354064,0.3308929792045464,0.49250993515789687,0.1263116558594241,0.06835360634727361,0.1814480730398006,0.9346953368096735,0.9037039562326448,0.9720754259120016,0.32489832583420863,0.2179891208820829,0.42166291688835067,0.3714103286378059,0.24704539578438584,0.4428651394228348
DOCKSTRING-58,500,4,pilot_raw_correlation_pivoted_qr,multivariate_ridge_gcv,raw,5,5,0.6000805562679836,0.564043715139968,0.6570289360266813,0.6341861398244587,0.60655831778559,0.639812053770586,0.7771733394938238,0.7407695413829987,0.8188018522227491,0.5425517228526406,0.5073362021412904,0.558425114154224,0.5696106735560456,0.525122614745184,0.6329108863921411,0.65725494626199,0.6286221497544556,0.6630855053614998,0.7690596172531701,0.7354829710280131,0.8167539307693252,0.41413595062024455,0.3870131811237724,0.4415042396246611
DOCKSTRING-58,500,4,pilot_raw_correlation_pivoted_qr,multivariate_ridge_gcv,raw_row_centered_residual,5,5,0.18576300837825255,0.18194055847801405,0.19104925871959844,0.9048616564940162,0.8932478692884719,0.9073837441738588,0.3606296093688238,0.3470145628571829,0.38363335289346345,0.4443116367011849,0.4072821125740885,0.45199491311891826,0.14185998821603496,0.13175510558148495,0.1479848924278363,0.9301174940562229,0.9174240249195317,0.9318464863938644,0.3355892257898357,0.31186472735062437,0.365183805520832,0.384009061440182,0.34474645046799157,0.4026503730842959
DOCKSTRING-58,500,4,pilot_raw_correlation_pivoted_qr,selected_target_pc1,raw,5,5,0.19827843288682045,0.09212382653141082,0.4544766603249011,0.8225510754161723,0.7580546078405545,1.0280088752202716,0.3627816493137588,0.12361698053039291,0.6564238698557492,0.34725502843854816,0.32850504088710325,0.39104730021796585,0.12670271145343392,0.028281115254067513,0.4143162324625498,0.8524717412147206,0.7856291855854938,1.065403161013217,0.358168711488032,0.11427094785211817,0.654368768473612,0.19694015580889773,0.06781485784567366,0.24213377303095207
DOCKSTRING-58,500,4,pilot_raw_correlation_pivoted_qr,selected_target_pc1,raw_row_centered_residual,5,5,0.06366187039657578,0.04640999499151155,0.07459185760875808,0.970766807426559,0.9648814020993637,0.9777890488851011,0.1970559736171164,0.1233325918341096,0.22827234444762634,0.24001212879956274,0.2048646232355218,0.26046614378696875,0.03245193425718107,0.023827328726087504,0.059371304191768504,0.980733870138118,0.9729232866098734,0.989371489191777,0.1906823296810291,0.11848726642287792,0.1912348631550142,0.16854957336971335,0.13273852303318126,0.2209003013060552
DOCKSTRING-58,500,4,pilot_residual_r2_exact_kmedoids,multivariate_ridge_gcv,raw,5,5,0.6745994362016181,0.6214880183370918,0.69680259326228,0.5720574382809706,0.5530265854979699,0.6187031971293162,0.8352634869628135,0.8030087842573547,0.8450495706273276,0.561821768938501,0.5547530278175713,0.57653977479192,0.6499644016510161,0.5904631782448637,0.6752205813494412,0.592866285220619,0.5731431765972216,0.6412088045536739,0.8276797147511639,0.7940672452407767,0.8442150048722714,0.495031321782181,0.4512536995503451,0.504993732961827
DOCKSTRING-58,500,4,pilot_residual_r2_exact_kmedoids,multivariate_ridge_gcv,raw_row_centered_residual,5,5,0.23166832161252293,0.22018597199489465,0.24125938288784932,0.8778938598054983,0.8677026908281433,0.8857329458142505,0.4409563441220398,0.4267400556111147,0.45172556030134553,0.4905693661822028,0.4793236278741212,0.5017116296804169,0.18398753934602807,0.17434290969185506,0.192308225249749,0.9046684687725101,0.8931420547980324,0.9118515777373926,0.42394211168234264,0.3783649605784919,0.4307484620220088,0.44455706246971727,0.4265789844860566,0.4501671765024967
