dataset,pilot_ligands,panel_k,surface,comparison,folds,pivoted_qr_minus_residual_kmedoids_median,pivoted_qr_minus_residual_kmedoids_minimum,pivoted_qr_minus_residual_kmedoids_maximum
DOCKSTRING-58,500,4,raw,pivoted_qr_minus_residual_kmedoids,5,-0.05744430319712379,-0.09966177373538443,-0.02346916376967234
DOCKSTRING-58,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,5,-0.045905313234270384,-0.05564798458843878,-0.02938577554377453
DOCKSTRING-58,500,6,raw,pivoted_qr_minus_residual_kmedoids,5,-0.06760413633002493,-0.0820565209141505,-0.031812944778502494
DOCKSTRING-58,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,5,-0.042160841430606166,-0.05211727376241404,-0.03545371426159072
DOCKSTRING-58,500,8,raw,pivoted_qr_minus_residual_kmedoids,5,-0.02823804622571835,-0.04215750966242637,-0.0024980722299453584
DOCKSTRING-58,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,5,-0.025429435329952788,-0.04668869417957622,-0.009057397682509682
DOCKSTRING-58,500,10,raw,pivoted_qr_minus_residual_kmedoids,5,-0.006592202152183146,-0.013784681559993128,-0.004429446948856164
DOCKSTRING-58,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,5,-0.023493535930164122,-0.026546733198669625,-0.02088237242937563
DOCKSTRING-58,500,12,raw,pivoted_qr_minus_residual_kmedoids,5,-0.004755878635759325,-0.0073239462084671025,0.007106644988723931
DOCKSTRING-58,500,12,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,5,-0.034148272015801395,-0.03828334946423184,-0.018080710776197884
Docking-44,500,4,raw,pivoted_qr_minus_residual_kmedoids,5,0.005671619574661557,-0.033681551947592925,0.028594773726051348
Docking-44,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,5,-0.0009742893963533561,-0.005080926674593811,0.016356654525737646
Docking-44,500,6,raw,pivoted_qr_minus_residual_kmedoids,5,0.0009041793500440543,-0.012497819610379213,0.03471011072804786
Docking-44,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,5,-0.024223782795279925,-0.02897980697686009,-0.003467267395687035
Docking-44,500,8,raw,pivoted_qr_minus_residual_kmedoids,5,0.008842133569890165,0.0023318853867387856,0.042467891788782186
Docking-44,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,5,-0.026680607294517267,-0.03778539897726152,-0.01367487433505088
Docking-44,500,10,raw,pivoted_qr_minus_residual_kmedoids,5,0.01435784812891483,0.010965435807953172,0.04717292713955834
Docking-44,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,5,-0.025501925336014808,-0.02965218354928334,-0.011670490555518942
Docking-44,500,12,raw,pivoted_qr_minus_residual_kmedoids,5,0.017632355225985497,0.013085356460136977,0.050931990222918166
Docking-44,500,12,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,5,-0.016704947503539347,-0.025592428231861364,-0.008334821673685822
