dataset,fold,pilot_ligands,surface,training_outcome,random_panels,common_omitted_targets_min,common_omitted_targets_max,designed_benefit_mean_r2_random_median,designed_benefit_mean_r2_fraction_positive,designed_benefit_median_r2_random_median,designed_benefit_median_r2_fraction_positive,designed_benefit_mean_rmse_random_median,designed_benefit_mean_rmse_fraction_positive,designed_benefit_median_rmse_random_median,designed_benefit_median_rmse_fraction_positive,designed_benefit_mean_pearson_random_median,designed_benefit_mean_pearson_fraction_positive,designed_benefit_median_pearson_random_median,designed_benefit_median_pearson_fraction_positive,designed_benefit_mean_spearman_random_median,designed_benefit_mean_spearman_fraction_positive,designed_benefit_median_spearman_random_median,designed_benefit_median_spearman_fraction_positive,designed_benefit_mean_equal_budget_lower_5pct_overlap_random_median,designed_benefit_mean_equal_budget_lower_5pct_overlap_fraction_positive,designed_benefit_median_equal_budget_lower_5pct_overlap_random_median,designed_benefit_median_equal_budget_lower_5pct_overlap_fraction_positive
DOCKSTRING-58,1,500,raw,raw_outcome,3,42,43,0.018772509974114393,1,-0.024255384000687941,0.33333333333333331,0.0095600113299963985,1,-0.0050501338052466593,0.33333333333333331,0.017344328829007161,1,-0.012907256187418503,0.33333333333333331,0.017648717856472818,1,-0.013183984814285732,0.33333333333333331,0.021904761904761927,1,0.029999999999999971,1
DOCKSTRING-58,1,500,raw_row_centered_residual,raw_then_derived_residual,3,42,43,0.058433368535526053,1,0.061256436046633778,1,0.033747608595962708,1,0.02164241145169854,1,0.070826271401966734,1,0.073463129883090006,1,0.074023454399317457,1,0.10011762821575282,1,0.024761904761904763,1,0.0066666666666666818,1
DOCKSTRING-58,2,500,raw,raw_outcome,3,42,44,-0.0066885465680777134,0,-0.0081761892253915391,0,-0.0099565530160518056,0,-0.017287781575824557,0,0.00077128731580899945,0.66666666666666663,-0.004674658363081452,0,0.00029342424512923682,0.66666666666666663,-0.0076693268071423848,0,-0.009365079365079243,0,-0.010000000000000009,0.33333333333333331
DOCKSTRING-58,2,500,raw_row_centered_residual,raw_then_derived_residual,3,42,44,0.031579586402723736,1,0.039016134339376174,1,0.018587576749174217,1,0.00024104858804308016,0.66666666666666663,0.03539163400726475,1,0.046230970511698721,1,0.036219775504013951,1,0.058707394226639176,1,0.019841269841269854,1,-0.003333333333333327,0.33333333333333331
DOCKSTRING-58,3,500,raw,raw_outcome,3,42,43,0.0089586390758825685,1,0.0014076074737914279,0.66666666666666663,0.0072165060164446349,1,-0.0056585958610916309,0.33333333333333331,0.0075257394337886474,1,0.00034328012373940897,0.66666666666666663,0.008854643576127641,1,-0.0019881581017257011,0.33333333333333331,0.0040310077519380427,0.66666666666666663,0,0.33333333333333331
DOCKSTRING-58,3,500,raw_row_centered_residual,raw_then_derived_residual,3,42,43,0.059913181536632582,1,0.051610620176390509,1,0.034713576686058567,1,0.024842274627657313,1,0.072011747568332396,1,0.063479993502531029,1,0.077603614419564482,1,0.074126943559490788,1,0.021550387596899229,0.66666666666666663,0.026666666666666672,1
DOCKSTRING-58,4,500,raw,raw_outcome,3,43,43,0.027133389522689066,1,0.010746841315723676,1,0.021614059727531609,1,0.013634380585289207,1,0.016947501379910634,1,0.006483119418713934,1,0.019134455812675588,1,0.004438008422844697,1,0.014728682170542629,1,0.026666666666666672,1
DOCKSTRING-58,4,500,raw_row_centered_residual,raw_then_derived_residual,3,43,43,0.050876341354950561,1,0.068330008611929616,1,0.02838876598940443,1,0.039251741884469671,1,0.059554436144987566,1,0.07811793190046773,1,0.055553347399133646,1,0.086604595418365626,1,0.033953488372093027,1,0.053333333333333344,1
DOCKSTRING-58,5,500,raw,raw_outcome,3,42,43,0.031133837282997567,1,0.013197114334615234,1,0.024389177878170409,1,0.011328519956174898,1,0.027215202894851132,1,0.0077907292736203448,1,0.028408922609782783,1,0.0083116327498595766,1,0.013798449612403119,1,-0.020000000000000018,0
DOCKSTRING-58,5,500,raw_row_centered_residual,raw_then_derived_residual,3,42,43,0.072125280385602647,1,0.052320482645220101,1,0.042526221126921171,1,0.028176270392567648,1,0.080109854795919921,1,0.062859751683694898,1,0.072927973442782568,1,0.051314086769119638,0.66666666666666663,0.050476190476190452,1,0.026666666666666672,1
