dataset,fold,pilot_ligands,panel_k,panel_selector,random_panel_draw,panel_indices,selected_targets,omitted_targets,training_outcome,surface,predictor,ridge_alpha,pilot_gcv,variance_weighted_r2,pooled_rmse,median_target_pearson,median_ligand_profile_pearson,mean_ligand_profile_pearson
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,10,0.099059749824752477,0.75319782815248371,0.28088563425697455,0.89977460019743405,0.49069436325104354,0.45224986957935309
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.6867720609641792,0.31643556272393031,0.89201028128932669,0.3313743063358493,0.22881912459586931
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,10,0.099059749824752477,0.17009556236639911,0.72110515827395139,0.44013843315697726,0.4489252354486018,0.41782170483570513
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.050338317657525278,0.77138114006517389,0.32163974059058253,0.25757006560016998,0.24457703348209056
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,direct_residual_outcome,raw_row_centered_residual,multivariate_ridge_gcv,10,0.69094316552127111,0.16996412805770911,0.72116225774312315,0.44001437365369711,0.44856827443476388,0.41778847518936379
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,direct_residual_outcome,raw_row_centered_residual,selected_target_pc1,-1,-1,0.0039069169007548421,0.79001351500794437,0.22366995615298643,0.20405332574902652,0.19145502931225933
Docking-44,1,500,8,fixed_random_panel,0,0|1|4|19|27|31|36|41,8,36,raw_outcome,raw,multivariate_ridge_gcv,1,0.12592518677943776,0.69474013263314294,0.3212209328462976,0.90059067984174612,0.58020763456013869,0.49076240679307609
Docking-44,1,500,8,fixed_random_panel,0,0|1|4|19|27|31|36|41,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.62993293489970859,0.3536789408391679,0.89537112596151047,0.53159140156297768,0.31396142852815589
Docking-44,1,500,8,fixed_random_panel,0,0|1|4|19|27|31|36|41,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,1,0.12592518677943776,0.12724503295319489,0.74758124870378984,0.34200498778337651,0.42937518695505228,0.4006834576739402
Docking-44,1,500,8,fixed_random_panel,0,0|1|4|19|27|31|36|41,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.015275031358342739,0.79408996901256967,0.19644838326301836,0.22932848411528625,0.21541314790350127
Docking-44,1,500,8,fixed_random_panel,1,0|1|7|14|23|26|33|34,8,36,raw_outcome,raw,multivariate_ridge_gcv,10,0.099402764105905039,0.75086527876938236,0.28237402980693427,0.9067449084294914,0.47602956747584846,0.43712219892751969
Docking-44,1,500,8,fixed_random_panel,1,0|1|7|14|23|26|33|34,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.68935812176250455,0.31530991275934317,0.89914155551611308,0.26950965609477856,0.18194427519156858
Docking-44,1,500,8,fixed_random_panel,1,0|1|7|14|23|26|33|34,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,10,0.099402764105905039,0.16745597189165162,0.72889578369342756,0.43478734117505863,0.42740450038584382,0.40272216748236711
Docking-44,1,500,8,fixed_random_panel,1,0|1|7|14|23|26|33|34,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.053314338511807113,0.77725716242011667,0.32692879627495952,0.2516571860504343,0.24180473645007045
Docking-44,1,500,8,fixed_random_panel,2,0|1|7|23|25|32|38|43,8,36,raw_outcome,raw,multivariate_ridge_gcv,10,0.10309347293570277,0.7478221812700272,0.28437164172841306,0.90425563476450321,0.60262824516272251,0.50118127611928354
Docking-44,1,500,8,fixed_random_panel,2,0|1|7|23|25|32|38|43,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.66847928109181742,0.32605298542147571,0.88437513357669006,0.45666489863923809,0.24700678524407232
Docking-44,1,500,8,fixed_random_panel,2,0|1|7|23|25|32|38|43,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,10,0.10309347293570277,0.13799178764732978,0.74542387064817628,0.37933073801749528,0.42363270828224858,0.38002953230619707
Docking-44,1,500,8,fixed_random_panel,2,0|1|7|23|25|32|38|43,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,-0.00091008356886779218,0.80323962847411856,0.24697481460343468,0.18452037170891453,0.18122576147707758
Docking-44,2,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|20|25|27|30|33|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,10,0.11951202598145653,0.90047393092491879,0.3559103061998028,0.96231587718573253,0.46975373961898853,0.42385962492500789
Docking-44,2,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|20|25|27|30|33|36,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.87970392122914531,0.39128921170524283,0.95697004004802722,0.3319187221572934,0.24645931584967412
Docking-44,2,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|20|25|27|30|33|36,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,10,0.11951202598145653,0.27880663794522764,0.86739848001143327,0.49268882727102903,0.4862399894983977,0.48041587248636303
Docking-44,2,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|20|25|27|30|33|36,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.18032430996819726,0.92472760813499599,0.40544184737541444,0.34539302742978806,0.35446538138580813
Docking-44,2,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|20|25|27|30|33|36,8,36,direct_residual_outcome,raw_row_centered_residual,multivariate_ridge_gcv,10,0.71851145427128793,0.27885940005482157,0.86736675023329601,0.49260493666121535,0.48650002329202086,0.48042385404070742
Docking-44,2,500,8,pilot_residual_r2_exact_kmedoids,-1,2|14|20|25|27|30|33|36,8,36,direct_residual_outcome,raw_row_centered_residual,selected_target_pc1,-1,-1,0.15287051754525816,0.94008623726579743,0.33948589835092913,0.33198318423582895,0.33386339616253047
Docking-44,2,500,8,fixed_random_panel,0,0|1|4|6|13|17|27|40,8,36,raw_outcome,raw,multivariate_ridge_gcv,1,0.1429265081211549,0.87848335762415808,0.39269498240419348,0.95967479461024419,0.56704250016087221,0.49389591882226186
Docking-44,2,500,8,fixed_random_panel,0,0|1|4|6|13|17|27|40,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.86557964963549217,0.41301895467323124,0.95600850198263854,0.55516944825448034,0.40630428958910936
Docking-44,2,500,8,fixed_random_panel,0,0|1|4|6|13|17|27|40,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,1,0.1429265081211549,0.21313002870545739,0.91033531449813732,0.39587781206830908,0.43892258336951506,0.42876575357454727
Docking-44,2,500,8,fixed_random_panel,0,0|1|4|6|13|17|27|40,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.14750597619212524,0.94753568787863218,0.29274135299723442,0.34073333079048651,0.33919601601562488
Docking-44,2,500,8,fixed_random_panel,1,0|1|5|20|22|25|26|42,8,36,raw_outcome,raw,multivariate_ridge_gcv,10,0.14492456963233935,0.87654367437332437,0.3952552821505349,0.96263357956900109,0.57657946871656529,0.48523852637659037
