dataset,fold,pilot_ligands,panel_k,panel_selector,random_panel_draw,panel_indices,selected_targets,omitted_targets,training_outcome,surface,predictor,target_index,target,r2,rmse,pearson,spearman,equal_budget_lower_5pct_overlap,calibration_lower_5pct_threshold,calibration_threshold_true_count,calibration_threshold_predicted_count,calibration_threshold_true_positive
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,0,1m2z,0.79942473714853601,0.25327157892405172,0.89678937464816821,0.85584627748472397,0.7289719626168224,-1.3700902533826413,47,39,25
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,1,1pbq,0.81199143954379738,0.23571758746349653,0.901668305129946,0.83938816589157772,0.77570093457943923,-1.4291796594633259,35,35,24
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,3,2rh1,0.84669556559144699,0.20174182191210649,0.92138339234260569,0.86663505354352421,0.79439252336448596,-1.4408840974631687,34,35,23
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,4,2vt4,0.84897243044477255,0.21765037070210702,0.9216694452191071,0.87701030316392825,0.77570093457943923,-1.4193954806003426,48,38,29
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,5,2ydo,0.81718907362318172,0.21414310582869944,0.90796166193633399,0.86781751237792881,0.73831775700934577,-1.5007607242117991,35,27,26
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,6,2z5x,0.81878053751631108,0.22969876665215938,0.90490604214416326,0.86792118615085712,0.71962616822429903,-1.4335824819859224,41,29,22
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,7,3b66,0.6430350472756492,0.34856723149377988,0.80318224931285398,0.76171869374684842,0.69158878504672894,-1.469635058460699,51,27,16
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,8,3kk6,0.85109710208377221,0.20822120001334085,0.92292723222736395,0.87075278273741585,0.84112149532710279,-1.5035473139264917,36,30,23
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,9,3ln1,0.75904402581062391,0.2663978255241069,0.8733968736780543,0.81712359688386826,0.71962616822429903,-1.5581506147950523,27,20,13
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,10,3rze,0.54583497258142977,0.37970542339366992,0.74734276957331902,0.72357299558830468,0.55140186915887845,-1.7249768879362506,29,4,2
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,12,4ey7,0.86530719523678867,0.19704127315328074,0.93064428747213979,0.8850435556958417,0.85981308411214952,-1.3385672310583454,46,43,32
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,13,4iar,0.8740007739323522,0.19136007429092733,0.93491824937742352,0.87954531026855132,0.85046728971962615,-1.3569134438852259,52,41,36
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,15,4n6h,0.7974751180707933,0.24469312290715037,0.89403688044391283,0.81364460215941425,0.7570093457943925,-1.479363670277106,46,27,20
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,16,5cxv,0.75111700113984325,0.26623216945714223,0.87101792025363922,0.8141004084863519,0.67289719626168221,-1.3930879742871938,33,30,19
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,17,5i71,0.86546495922823108,0.20226177344087279,0.93116843558716922,0.87249133471364182,0.82242990654205606,-1.4589707463369914,45,31,30
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,18,5tvn,0.8548316012624193,0.21402652163894226,0.92699558843602703,0.85641992515772936,0.80373831775700932,-1.4926937616106906,47,31,28
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,19,5u09,0.85355993376949779,0.22027894140987883,0.92635321944595239,0.874682758681946,0.80373831775700932,-1.5236490355684265,43,30,24
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,21,6cm4,0.77327268681520978,0.27080101121616129,0.88047132425775332,0.80997332919773912,0.76635514018691586,-1.4310234305917562,53,27,25
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,22,6kpf,0.85031014298507546,0.22118475913949437,0.92459461687287336,0.88352859378639648,0.83177570093457942,-1.3269133797837538,53,45,33
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,23,6kux,0.82183264924739841,0.23426436612917043,0.90811002304716415,0.86418447387943687,0.7289719626168224,-1.4354241292643386,45,27,22
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,24,6lqa,0.84435824821394667,0.21558967617725394,0.91928885393802673,0.84797961059447735,0.84112149532710279,-1.4630763685238086,33,30,27
Docking-44,1,500,8,pilot_residual_r2_exact_kmedoids,-1,2|11|14|20|25|33|35|36,8,36,raw_outcome,raw,multivariate_ridge_gcv,26,6x3x,0.75790337560551113,0.2440927581689887,0.8771975883905474,0.82643017871219882,0.71028037383177567,-1.4039421108194381,33,30,21
