dataset,fold,pilot_ligands,evaluation_ligands,pilot_row_index_sha256,evaluation_row_index_sha256,pilot_evaluation_row_overlap,pilot_evaluation_group_overlap
Docking-44,1,500,2125,d15961fea6d06d602158798807e234e153cf1a2f60e5fd81a7ca0fb3322e396d,3335618577f17fdfbebd1545d3239209359b5ee2d40920ae8c2d90afe0561f08,0,0
Docking-44,2,500,1769,44246ab97b46539b1525308012227fcbeb77834dd696bade702772e5a9620f8d,af6043c0acc3d875312779fb731054489a586c0b058f99144e8df1c72d955ba4,0,0
Docking-44,3,500,1750,b6f37a3802eca7e5d80d80813d33564fd38be6e6b6ea648b7e10047063a6c632,6f0ec0d5299b66573fe9b929be79a428e103d2fd90dd93138aebebacb6eda03b,0,0
Docking-44,4,500,1828,e0104a7a4942ab4982c0e7aa30bd2feb30c018f55dc51c98d35230fcd292bae5,f025fcd4b43540a7c29c408247f4feaca7e4f692688efdf5212af8a4e85ca0b9,0,0
Docking-44,5,500,1825,86b8ebc7417b94923a51a7fb0534e5e4c6992a35c7130f5b198a809f3600a738,d753ae71f9a8a1d4f636cd1d734d4a5799b2dff448a7c969327129cb1a9f4ec5,0,0
DOCKSTRING-58,1,500,3000,a42d2633c5f95e7f079719c5bc09fd16d060cf573b91d5979d18f2bc532a014f,63172bbac4de34a238825fb07d0dab4bfdde232e075f0264e08a4cb6da378023,0,0
DOCKSTRING-58,2,500,3000,d76f6fbf85dfa5c63bacbca7083e942123f7670cf27525da41b6a0c1d9b295c1,12f2ee24ee19e25511fd02832baea92202fbd98fe2838d3ca2c9db2685b7a1fc,0,0
DOCKSTRING-58,3,500,3000,f2fe88326c3dce92d50eba138e06c01cdc94715d8633ecb113b66351f0f13723,d813fa60ec1c425242c3503c83f7d654aa383100a6abe613d40df38efd85190b,0,0
DOCKSTRING-58,4,500,3000,1574ad87b2ac88e2308dc2ef799ac041211624ad240528991e422d9d32d5ead2,10d38588d069e68735f97f7f9d61827edbbc205f0251ad6473312ae5d1e8d365,0,0
DOCKSTRING-58,5,500,3000,17a75554f0d32c9f1e611705cc1051b77ce3689066c05674d2aede3d6b8ebce6,3385c96707b41339ef3653933cc0cca9e1f8a123a976cd3ba3e163bd5ca7adbc,0,0
