dataset,null_key,requested_mw_bins,actual_mw_bins,support_index_sha256,bin_index,ligands,mw_minimum_g_per_mol,mw_median_g_per_mol,mw_maximum_g_per_mol
docking44,mw_1_bins,1,1,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,0,12000,16.042999999999999,282.38700000000006,1506.1350000000004
docking44,mw_5_bins,5,5,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,0,2400,16.042999999999999,167.29599999999999,204.20900000000003
docking44,mw_5_bins,5,5,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,1,2400,204.22899999999996,231.33899999999994,258.15499999999992
docking44,mw_5_bins,5,5,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,2,2400,258.173,282.38700000000006,306.45300000000003
docking44,mw_5_bins,5,5,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,3,2400,306.45300000000009,332.44400000000007,367.51400000000018
docking44,mw_5_bins,5,5,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,4,2400,367.56200000000018,438.97800000000024,1506.1350000000004
docking44,mw_10_bins,10,10,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,0,1203,16.042999999999999,142.62899999999999,167.29599999999999
docking44,mw_10_bins,10,10,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,1,1197,168.03599999999997,187.28299999999999,204.20900000000003
docking44,mw_10_bins,10,10,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,2,1201,204.22899999999996,218.29999999999995,231.33899999999994
docking44,mw_10_bins,10,10,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,3,1199,231.33899999999997,245.32599999999999,258.15499999999992
docking44,mw_10_bins,10,10,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,4,1202,258.173,270.33449999999993,282.38700000000006
docking44,mw_10_bins,10,10,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,5,1198,282.39000000000004,294.35000000000002,306.45300000000003
docking44,mw_10_bins,10,10,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,6,1200,306.45300000000009,318.53950000000003,332.44400000000002
docking44,mw_10_bins,10,10,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,7,1200,332.44400000000007,348.72000000000014,367.51400000000018
docking44,mw_10_bins,10,10,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,8,1200,367.56200000000018,394.56300000000022,438.74000000000041
docking44,mw_10_bins,10,10,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,9,1200,439.21600000000007,555.86500000000001,1506.1350000000004
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,0,600,16.042999999999999,122.17099999999999,142.58500000000001
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,1,603,142.589,156.31299999999999,167.29599999999999
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,2,597,168.03599999999997,178.054,187.26799999999997
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,3,600,187.28299999999996,195.26599999999993,204.20900000000003
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,4,603,204.22899999999996,210.31699999999992,218.29999999999995
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,5,598,218.29999999999998,224.35849999999999,231.33899999999994
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,6,601,231.33899999999997,238.28999999999994,245.32599999999999
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,7,598,245.32600000000002,251.37,258.15499999999992
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,8,600,258.173,264.32799999999997,270.33199999999999
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,9,602,270.33299999999997,276.33999999999997,282.38700000000006
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,10,598,282.39000000000004,288.44999999999999,294.33100000000007
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,11,600,294.34999999999997,300.339,306.45300000000003
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,12,600,306.45300000000009,311.79250000000013,318.51000000000005
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,13,600,318.56900000000002,325.27200000000005,332.44400000000002
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,14,600,332.44400000000007,340.27550000000002,348.67600000000022
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,15,600,348.76400000000001,357.26250000000005,367.51400000000018
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,16,600,367.56200000000018,379.72750000000019,394.55900000000003
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,17,600,394.56700000000035,413.57500000000027,438.74000000000041
