targets_selected_k,transformation,target_index,target
4,raw,3,CDK2
4,raw,6,FGFR1
4,raw,9,KDR
4,raw,19,ROCK1
4,row_centered_residual,1,AKT1
4,row_centered_residual,8,JAK2
4,row_centered_residual,9,KDR
4,row_centered_residual,11,LCK
6,raw,0,ABL1
6,raw,3,CDK2
6,raw,6,FGFR1
6,raw,9,KDR
6,raw,16,MET
6,raw,19,ROCK1
6,row_centered_residual,1,AKT1
6,row_centered_residual,4,CSF1R
6,row_centered_residual,5,EGFR
6,row_centered_residual,8,JAK2
6,row_centered_residual,9,KDR
6,row_centered_residual,20,SRC
8,raw,0,ABL1
8,raw,3,CDK2
8,raw,4,CSF1R
8,raw,6,FGFR1
8,raw,9,KDR
8,raw,10,KIT
8,raw,16,MET
8,raw,19,ROCK1
8,row_centered_residual,1,AKT1
8,row_centered_residual,4,CSF1R
8,row_centered_residual,5,EGFR
8,row_centered_residual,8,JAK2
8,row_centered_residual,9,KDR
8,row_centered_residual,11,LCK
8,row_centered_residual,15,MAPKAPK2
8,row_centered_residual,18,PTK2
10,raw,0,ABL1
10,raw,3,CDK2
10,raw,4,CSF1R
10,raw,6,FGFR1
10,raw,7,IGF1R
10,raw,9,KDR
10,raw,10,KIT
10,raw,14,MAPK14
10,raw,16,MET
10,raw,19,ROCK1
10,row_centered_residual,1,AKT1
10,row_centered_residual,4,CSF1R
10,row_centered_residual,5,EGFR
10,row_centered_residual,7,IGF1R
10,row_centered_residual,8,JAK2
10,row_centered_residual,9,KDR
10,row_centered_residual,11,LCK
10,row_centered_residual,13,MAPK1
10,row_centered_residual,15,MAPKAPK2
10,row_centered_residual,18,PTK2
12,raw,0,ABL1
12,raw,1,AKT1
12,raw,3,CDK2
12,raw,4,CSF1R
12,raw,6,FGFR1
12,raw,7,IGF1R
12,raw,9,KDR
12,raw,10,KIT
12,raw,11,LCK
12,raw,13,MAPK1
12,raw,14,MAPK14
12,raw,16,MET
12,row_centered_residual,1,AKT1
12,row_centered_residual,2,AKT2
12,row_centered_residual,4,CSF1R
12,row_centered_residual,5,EGFR
12,row_centered_residual,7,IGF1R
12,row_centered_residual,8,JAK2
12,row_centered_residual,9,KDR
12,row_centered_residual,11,LCK
12,row_centered_residual,13,MAPK1
12,row_centered_residual,14,MAPK14
12,row_centered_residual,15,MAPKAPK2
12,row_centered_residual,18,PTK2
