selection_source,calibration_ligands,repetition,target_index,target
calibration_sample,200,0,1,AKT1
calibration_sample,200,0,4,CSF1R
calibration_sample,200,0,5,EGFR
calibration_sample,200,0,8,JAK2
calibration_sample,200,0,9,KDR
calibration_sample,200,0,11,LCK
calibration_sample,200,0,14,MAPK14
calibration_sample,200,0,15,MAPKAPK2
calibration_sample,200,1,1,AKT1
calibration_sample,200,1,3,CDK2
calibration_sample,200,1,4,CSF1R
calibration_sample,200,1,5,EGFR
calibration_sample,200,1,9,KDR
calibration_sample,200,1,11,LCK
calibration_sample,200,1,13,MAPK1
calibration_sample,200,1,15,MAPKAPK2
calibration_sample,200,2,1,AKT1
calibration_sample,200,2,3,CDK2
calibration_sample,200,2,4,CSF1R
calibration_sample,200,2,5,EGFR
calibration_sample,200,2,9,KDR
calibration_sample,200,2,11,LCK
calibration_sample,200,2,13,MAPK1
calibration_sample,200,2,19,ROCK1
calibration_sample,200,3,1,AKT1
calibration_sample,200,3,4,CSF1R
calibration_sample,200,3,5,EGFR
calibration_sample,200,3,6,FGFR1
calibration_sample,200,3,8,JAK2
calibration_sample,200,3,15,MAPKAPK2
calibration_sample,200,3,18,PTK2
calibration_sample,200,3,20,SRC
calibration_sample,200,4,1,AKT1
calibration_sample,200,4,4,CSF1R
calibration_sample,200,4,5,EGFR
calibration_sample,200,4,7,IGF1R
calibration_sample,200,4,9,KDR
calibration_sample,200,4,11,LCK
calibration_sample,200,4,15,MAPKAPK2
calibration_sample,200,4,18,PTK2
calibration_sample,200,5,1,AKT1
calibration_sample,200,5,3,CDK2
calibration_sample,200,5,4,CSF1R
calibration_sample,200,5,9,KDR
calibration_sample,200,5,13,MAPK1
calibration_sample,200,5,14,MAPK14
calibration_sample,200,5,17,PLK1
calibration_sample,200,5,20,SRC
calibration_sample,200,6,1,AKT1
calibration_sample,200,6,4,CSF1R
calibration_sample,200,6,5,EGFR
calibration_sample,200,6,8,JAK2
calibration_sample,200,6,9,KDR
calibration_sample,200,6,11,LCK
calibration_sample,200,6,15,MAPKAPK2
calibration_sample,200,6,18,PTK2
calibration_sample,200,7,1,AKT1
calibration_sample,200,7,3,CDK2
calibration_sample,200,7,4,CSF1R
calibration_sample,200,7,5,EGFR
calibration_sample,200,7,7,IGF1R
calibration_sample,200,7,9,KDR
calibration_sample,200,7,11,LCK
calibration_sample,200,7,13,MAPK1
calibration_sample,200,8,1,AKT1
calibration_sample,200,8,2,AKT2
calibration_sample,200,8,4,CSF1R
calibration_sample,200,8,8,JAK2
calibration_sample,200,8,9,KDR
calibration_sample,200,8,11,LCK
calibration_sample,200,8,15,MAPKAPK2
calibration_sample,200,8,18,PTK2
calibration_sample,200,9,1,AKT1
calibration_sample,200,9,4,CSF1R
