experimental_endpoint,objective,targets_selected_k,evaluation_map,all_possible_panels,raw_vina_selected_mean_nearest_distance,residual_vina_selected_mean_nearest_distance,sequence_selected_mean_nearest_distance,experimental_in_sample_oracle_mean_nearest_distance,raw_vina_selected_excess_loss_over_in_sample_oracle,residual_vina_selected_excess_loss_over_in_sample_oracle,sequence_selected_excess_loss_over_in_sample_oracle,raw_minus_residual_selected_coverage_loss_improvement,raw_vina_selected_exact_fraction_all_panels_no_worse,residual_vina_selected_exact_fraction_all_panels_no_worse,sequence_selected_exact_fraction_all_panels_no_worse,raw_minus_residual_selected_exact_percentile_improvement,residual_selector_has_lower_coverage_loss,raw_vina_numerical_optimal_panel_count,residual_vina_numerical_optimal_panel_count,raw_optimal_experimental_excess_loss_min,raw_optimal_experimental_excess_loss_max,residual_optimal_experimental_excess_loss_min,residual_optimal_experimental_excess_loss_max,all_optimal_pair_coverage_loss_improvement_min_conservative,all_optimal_pair_coverage_loss_improvement_mean,all_optimal_pair_coverage_loss_improvement_max,all_optimal_pair_exact_percentile_improvement_min_conservative,all_optimal_pair_exact_percentile_improvement_mean,all_optimal_pair_exact_percentile_improvement_max,residual_minus_sequence_selected_coverage_loss,sequence_minus_residual_selected_coverage_loss_improvement,residual_minus_sequence_selected_exact_percentile,pooled_mean_coverage_loss_improvement_over_k_and_panels,pooled_mean_exact_percentile_improvement_over_k_and_panels,target_label_p_one_sided_coverage_loss_improvement,target_label_p_one_sided_exact_percentile_improvement,pooled_conservative_mean_coverage_loss_improvement_over_ties,pooled_tie_averaged_mean_coverage_loss_improvement,target_label_p_one_sided_conservative_tie_improvement,target_label_p_one_sided_tie_averaged_improvement
metric_row_centered_residual,signed_1_minus_r,4,DAVIS,5985,0.61258947234,0.47992682479,0.483125131369,0.423967523597,0.188621948743,0.0559593011922,0.0591576077721,0.132662647551,0.695739348371,0.0312447786132,0.0380952380952,0.664494569758,True,2,1,0.188621948743,0.218528883647,0.0559593011922,0.0559593011922,0.132662647551,0.147616115003,0.162569582455,0.664494569758,0.72305764411,0.781620718463,-0.00319830657984,0.00319830657984,-0.00685045948204,0.0578379806966,0.496900528092,0.0433978301085,0.0201489925504,0.054931116366,0.0640037573506,0.0114994250287,0.0228488575571
metric_row_centered_residual,signed_1_minus_r,4,PKIS2,5985,0.651900763817,0.613206332038,0.570437570721,0.565402279093,0.0864984847239,0.0478040529454,0.00503529162822,0.0386944317785,0.526984126984,0.147201336675,0.000501253132832,0.379782790309,True,2,1,0.0864984847239,0.154200509218,0.0478040529454,0.0478040529454,0.0386944317785,0.0725454440257,0.106396456273,0.379782790309,0.545279866332,0.710776942356,0.0427687613171,-0.0427687613171,0.146700083542,0.0578379806966,0.496900528092,0.0433978301085,0.0201489925504,0.054931116366,0.0640037573506,0.0114994250287,0.0228488575571
metric_row_centered_residual,absolute_1_minus_abs_r,4,DAVIS,5985,0.517414085183,0.452666646648,0.427444134268,0.397474028993,0.11994005619,0.0551926176555,0.0299701052759,0.0647474385347,0.918128654971,0.273015873016,0.0594820384294,0.645112781955,True,2,2,0.11994005619,0.129847023751,0.0551926176555,0.0742736072178,0.0456664489725,0.0601604275339,0.0746544060954,0.395655806182,0.535004177109,0.674352548037,0.0252225123797,-0.0252225123797,0.213533834586,0.00423555938578,0.0575707840491,0.407029648518,0.413129343533,0.000348025746641,0.0072178547654,0.32398380081,0.342032898355
metric_row_centered_residual,absolute_1_minus_abs_r,4,PKIS2,5985,0.57474761384,0.5556243319,0.524308295311,0.511196380407,0.0635512334334,0.0444279514925,0.0131119149035,0.019123281941,0.695405179616,0.318629908104,0.0183792815372,0.376775271512,True,2,2,0.0635512334334,0.109283671804,0.0406806309454,0.0444279514925,0.019123281941,0.0438631614,0.068603040859,0.376775271512,0.542355889724,0.707936507937,0.031316036589,-0.031316036589,0.300250626566,0.00423555938578,0.0575707840491,0.407029648518,0.413129343533,0.000348025746641,0.0072178547654,0.32398380081,0.342032898355
metric_row_centered_residual,squared_1_minus_r2,4,DAVIS,5985,0.681486114805,0.616301765982,0.579926986288,0.551077362866,0.130408751939,0.0652244031153,0.0288496234219,0.0651843488233,0.900584795322,0.236925647452,0.01888053467,0.66365914787,True,2,2,0.130408751939,0.145569569449,0.0652244031153,0.0848774587955,0.0455312931431,0.0629382297386,0.0803451663342,0.42656641604,0.570509607352,0.714452798663,0.0363747796934,-0.0363747796934,0.218045112782,0.00192282399042,0.0311527877008,0.457127143643,0.449227538623,-0.00244725089432,0.00349978965476,0.387280635968,0.422178891055
metric_row_centered_residual,squared_1_minus_r2,4,PKIS2,5985,0.734410083129,0.714332123956,0.686079813936,0.678680176416,0.0557299067136,0.0356519475402,0.00739963752057,0.0200779591734,0.773600668338,0.287552213868,0.00818713450292,0.48604845447,True,2,2,0.0557299067136,0.0829195970369,0.0350581832565,0.0356519475402,0.0200779591734,0.0339696864769,0.0478614137804,0.48604845447,0.593149540518,0.700250626566,0.0282523100196,-0.0282523100196,0.279365079365,0.00192282399042,0.0311527877008,0.457127143643,0.449227538623,-0.00244725089432,0.00349978965476,0.387280635968,0.422178891055
column_rank_then_row_centered,signed_1_minus_r,4,DAVIS,5985,0.581820720017,0.45819567593,0.505191571782,0.43060444716,0.151216272857,0.02759122877,0.0745871246214,0.123625044087,0.5776106934,0.0061821219716,0.0773600668338,0.571428571429,True,2,1,0.151216272857,0.164812341921,0.02759122877,0.02759122877,0.123625044087,0.130423078619,0.137221113151,0.571428571429,0.605096073517,0.638763575606,-0.0469958958514,0.0469958958514,-0.0711779448622,0.0545200541891,0.598497327406,0.0205989700515,0.00449977501125,0.0492262264181,0.0564830744642,0.00569971501425,0.0125493725314
column_rank_then_row_centered,signed_1_minus_r,4,PKIS2,5985,0.727327166503,0.700555031959,0.703423533414,0.645429939024,0.0818972274793,0.0551250929354,0.0579935943902,0.0267721345439,0.579949874687,0.182623224728,0.217209690894,0.397326649958,True,2,1,0.0818972274793,0.115296343068,0.0551250929354,0.0551250929354,0.0267721345439,0.0434716923381,0.0601712501322,0.397326649958,0.558980785297,0.720634920635,-0.00286850145483,0.00286850145483,-0.0345864661654,0.0545200541891,0.598497327406,0.0205989700515,0.00449977501125,0.0492262264181,0.0564830744642,0.00569971501425,0.0125493725314
column_rank_then_row_centered,absolute_1_minus_abs_r,4,DAVIS,5985,0.495842327046,0.438679183654,0.433281352912,0.398563349759,0.0972789772872,0.0401158338948,0.0347180031528,0.0571631433924,0.783959899749,0.104093567251,0.0688387635756,0.679866332498,True,2,2,0.0972789772872,0.110165919025,0.0310544191284,0.0401158338948,0.0571631433924,0.0681373216443,0.0791114998962,0.679866332498,0.758813700919,0.83776106934,0.00539783074207,-0.00539783074207,0.0352548036759,0.0045112601416,0.0394433481895,0.371581420929,0.433128343583,0.0016755621994,0.00712562950899,0.265936703165,0.297735113244
column_rank_then_row_centered,absolute_1_minus_abs_r,4,PKIS2,5985,0.645046070136,0.653205102715,0.638087863076,0.586902287016,0.0581437831199,0.0663028156989,0.0511855760605,-0.00815903257892,0.695739348371,0.851127819549,0.550543024227,-0.155388471178,False,2,2,0.0581437831199,0.0864003034154,0.0591687013242,0.0663028156989,-0.00815903257892,0.00953628475611,0.0272316020911,-0.155388471178,0.056223893066,0.26783625731,0.0151172396384,-0.0151172396384,0.300584795322,0.0045112601416,0.0394433481895,0.371581420929,0.433128343583,0.0016755621994,0.00712562950899,0.265936703165,0.297735113244
column_rank_then_row_centered,squared_1_minus_r2,4,DAVIS,5985,0.672881328525,0.612162780883,0.599508248141,0.568232120394,0.10464920813,0.0439306604884,0.0312761277466,0.060718547642,0.806349206349,0.103258145363,0.0380952380952,0.703091060986,True,2,2,0.10464920813,0.12095290114,0.0397884453342,0.0439306604884,0.060718547642,0.0709415017239,0.0811644558059,0.703091060986,0.774937343358,0.846783625731,0.0126545327419,-0.0126545327419,0.0651629072682,0.00441097063741,0.0200969618617,0.365781710914,0.462226888656,0.00194870455622,0.00548696670966,0.274386280686,0.330883455827
column_rank_then_row_centered,squared_1_minus_r2,4,PKIS2,5985,0.773947787315,0.774307508843,0.761824919693,0.740665904073,0.0332818832417,0.0336416047701,0.0211590156202,-0.000359721528431,0.77694235589,0.791812865497,0.315455304929,-0.0148705096074,False,2,2,0.0332818832417,0.042757922081,0.0311621174774,0.0336416047701,-0.000359721528431,0.00561804153761,0.0115958046037,-0.0148705096074,0.14269005848,0.300250626566,0.0124825891499,-0.0124825891499,0.476357560568,0.00441097063741,0.0200969618617,0.365781710914,0.462226888656,0.00194870455622,0.00548696670966,0.274386280686,0.330883455827
metric_row_centered_residual,signed_1_minus_r,6,DAVIS,54264,0.443717422212,0.418858149744,0.401374687606,0.329694437496,0.114022984716,0.0891637122482,0.0716802501097,0.0248592724675,0.492131062951,0.288570691434,0.170241780923,0.203560371517,True,2,4,0.112696934024,0.114022984716,0.0675131323099,0.0891637122482,0.0235332217762,0.035021537091,0.0465098524058,0.19160032434,0.271211116025,0.345643520566,0.0174834621385,-0.0174834621385,0.118328910512,0.0578379806966,0.496900528092,0.0433978301085,0.0201489925504,0.054931116366,0.0640037573506,0.0114994250287,0.0228488575571
metric_row_centered_residual,signed_1_minus_r,6,PKIS2,54264,0.558852202249,0.52448193998,0.495630879196,0.470483559766,0.0883686424824,0.0539983802139,0.0251473194295,0.0343702622685,0.775762936754,0.335839598997,0.0251179419136,0.439923337756,True,2,4,0.0883686424824,0.0913610695975,0.0486821873926,0.0539983802139,0.0343702622685,0.0385245722367,0.0426788822049,0.439923337756,0.492370632464,0.544817927171,0.0288510607844,-0.0288510607844,0.310721657084,0.0578379806966,0.496900528092,0.0433978301085,0.0201489925504,0.054931116366,0.0640037573506,0.0114994250287,0.0228488575571
