objective,targets_selected_k,selector,numerical_optimum_member_rank,panel_index_lexicographic,is_lexicographic_primary,target_index,target
sequence_distance_1_minus_identity,4,receptor_sequence_identity,0,1505,True,1,AKT1
sequence_distance_1_minus_identity,4,receptor_sequence_identity,0,1505,True,4,CSF1R
sequence_distance_1_minus_identity,4,receptor_sequence_identity,0,1505,True,11,LCK
sequence_distance_1_minus_identity,4,receptor_sequence_identity,0,1505,True,13,MAPK1
signed_1_minus_r,4,raw_vina,0,3184,True,3,CDK2
signed_1_minus_r,4,raw_vina,0,3184,True,6,FGFR1
signed_1_minus_r,4,raw_vina,0,3184,True,9,KDR
signed_1_minus_r,4,raw_vina,0,3184,True,19,ROCK1
signed_1_minus_r,4,raw_vina,1,3233,False,3,CDK2
signed_1_minus_r,4,raw_vina,1,3233,False,6,FGFR1
signed_1_minus_r,4,raw_vina,1,3233,False,16,MET
signed_1_minus_r,4,raw_vina,1,3233,False,19,ROCK1
signed_1_minus_r,4,row_centered_residual_vina,0,1824,True,1,AKT1
signed_1_minus_r,4,row_centered_residual_vina,0,1824,True,8,JAK2
signed_1_minus_r,4,row_centered_residual_vina,0,1824,True,9,KDR
signed_1_minus_r,4,row_centered_residual_vina,0,1824,True,11,LCK
absolute_1_minus_abs_r,4,raw_vina,0,3184,True,3,CDK2
absolute_1_minus_abs_r,4,raw_vina,0,3184,True,6,FGFR1
absolute_1_minus_abs_r,4,raw_vina,0,3184,True,9,KDR
absolute_1_minus_abs_r,4,raw_vina,0,3184,True,19,ROCK1
absolute_1_minus_abs_r,4,raw_vina,1,3233,False,3,CDK2
absolute_1_minus_abs_r,4,raw_vina,1,3233,False,6,FGFR1
absolute_1_minus_abs_r,4,raw_vina,1,3233,False,16,MET
absolute_1_minus_abs_r,4,raw_vina,1,3233,False,19,ROCK1
absolute_1_minus_abs_r,4,row_centered_residual_vina,0,1591,True,1,AKT1
absolute_1_minus_abs_r,4,row_centered_residual_vina,0,1591,True,5,EGFR
absolute_1_minus_abs_r,4,row_centered_residual_vina,0,1591,True,9,KDR
absolute_1_minus_abs_r,4,row_centered_residual_vina,0,1591,True,13,MAPK1
absolute_1_minus_abs_r,4,row_centered_residual_vina,1,1592,False,1,AKT1
absolute_1_minus_abs_r,4,row_centered_residual_vina,1,1592,False,5,EGFR
absolute_1_minus_abs_r,4,row_centered_residual_vina,1,1592,False,9,KDR
absolute_1_minus_abs_r,4,row_centered_residual_vina,1,1592,False,14,MAPK14
squared_1_minus_r2,4,raw_vina,0,3184,True,3,CDK2
squared_1_minus_r2,4,raw_vina,0,3184,True,6,FGFR1
squared_1_minus_r2,4,raw_vina,0,3184,True,9,KDR
squared_1_minus_r2,4,raw_vina,0,3184,True,19,ROCK1
squared_1_minus_r2,4,raw_vina,1,3233,False,3,CDK2
squared_1_minus_r2,4,raw_vina,1,3233,False,6,FGFR1
squared_1_minus_r2,4,raw_vina,1,3233,False,16,MET
squared_1_minus_r2,4,raw_vina,1,3233,False,19,ROCK1
squared_1_minus_r2,4,row_centered_residual_vina,0,1591,True,1,AKT1
squared_1_minus_r2,4,row_centered_residual_vina,0,1591,True,5,EGFR
squared_1_minus_r2,4,row_centered_residual_vina,0,1591,True,9,KDR
squared_1_minus_r2,4,row_centered_residual_vina,0,1591,True,13,MAPK1
squared_1_minus_r2,4,row_centered_residual_vina,1,1592,False,1,AKT1
squared_1_minus_r2,4,row_centered_residual_vina,1,1592,False,5,EGFR
squared_1_minus_r2,4,row_centered_residual_vina,1,1592,False,9,KDR
squared_1_minus_r2,4,row_centered_residual_vina,1,1592,False,14,MAPK14
sequence_distance_1_minus_identity,6,receptor_sequence_identity,0,22561,True,1,AKT1
sequence_distance_1_minus_identity,6,receptor_sequence_identity,0,22561,True,4,CSF1R
sequence_distance_1_minus_identity,6,receptor_sequence_identity,0,22561,True,11,LCK
sequence_distance_1_minus_identity,6,receptor_sequence_identity,0,22561,True,12,MAP2K1
sequence_distance_1_minus_identity,6,receptor_sequence_identity,0,22561,True,14,MAPK14
sequence_distance_1_minus_identity,6,receptor_sequence_identity,0,22561,True,15,MAPKAPK2
signed_1_minus_r,6,raw_vina,0,8142,True,0,ABL1
signed_1_minus_r,6,raw_vina,0,8142,True,3,CDK2
signed_1_minus_r,6,raw_vina,0,8142,True,6,FGFR1
signed_1_minus_r,6,raw_vina,0,8142,True,9,KDR
signed_1_minus_r,6,raw_vina,0,8142,True,16,MET
signed_1_minus_r,6,raw_vina,0,8142,True,19,ROCK1
signed_1_minus_r,6,raw_vina,1,8858,False,0,ABL1
signed_1_minus_r,6,raw_vina,1,8858,False,3,CDK2
signed_1_minus_r,6,raw_vina,1,8858,False,9,KDR
signed_1_minus_r,6,raw_vina,1,8858,False,10,KIT
signed_1_minus_r,6,raw_vina,1,8858,False,16,MET
signed_1_minus_r,6,raw_vina,1,8858,False,19,ROCK1
signed_1_minus_r,6,row_centered_residual_vina,0,21114,False,1,AKT1
signed_1_minus_r,6,row_centered_residual_vina,0,21114,False,4,CSF1R
signed_1_minus_r,6,row_centered_residual_vina,0,21114,False,5,EGFR
signed_1_minus_r,6,row_centered_residual_vina,0,21114,False,8,JAK2
signed_1_minus_r,6,row_centered_residual_vina,0,21114,False,9,KDR
signed_1_minus_r,6,row_centered_residual_vina,0,21114,False,11,LCK
signed_1_minus_r,6,row_centered_residual_vina,1,21123,True,1,AKT1
signed_1_minus_r,6,row_centered_residual_vina,1,21123,True,4,CSF1R
signed_1_minus_r,6,row_centered_residual_vina,1,21123,True,5,EGFR
signed_1_minus_r,6,row_centered_residual_vina,1,21123,True,8,JAK2
signed_1_minus_r,6,row_centered_residual_vina,1,21123,True,9,KDR
signed_1_minus_r,6,row_centered_residual_vina,1,21123,True,20,SRC
signed_1_minus_r,6,row_centered_residual_vina,2,23426,False,1,AKT1
signed_1_minus_r,6,row_centered_residual_vina,2,23426,False,5,EGFR
signed_1_minus_r,6,row_centered_residual_vina,2,23426,False,8,JAK2
signed_1_minus_r,6,row_centered_residual_vina,2,23426,False,9,KDR
signed_1_minus_r,6,row_centered_residual_vina,2,23426,False,11,LCK
signed_1_minus_r,6,row_centered_residual_vina,2,23426,False,14,MAPK14
signed_1_minus_r,6,row_centered_residual_vina,3,23453,False,1,AKT1
signed_1_minus_r,6,row_centered_residual_vina,3,23453,False,5,EGFR
signed_1_minus_r,6,row_centered_residual_vina,3,23453,False,8,JAK2
signed_1_minus_r,6,row_centered_residual_vina,3,23453,False,9,KDR
signed_1_minus_r,6,row_centered_residual_vina,3,23453,False,14,MAPK14
signed_1_minus_r,6,row_centered_residual_vina,3,23453,False,20,SRC
absolute_1_minus_abs_r,6,raw_vina,0,8142,True,0,ABL1
absolute_1_minus_abs_r,6,raw_vina,0,8142,True,3,CDK2
absolute_1_minus_abs_r,6,raw_vina,0,8142,True,6,FGFR1
absolute_1_minus_abs_r,6,raw_vina,0,8142,True,9,KDR
absolute_1_minus_abs_r,6,raw_vina,0,8142,True,16,MET
absolute_1_minus_abs_r,6,raw_vina,0,8142,True,19,ROCK1
absolute_1_minus_abs_r,6,raw_vina,1,8858,False,0,ABL1
absolute_1_minus_abs_r,6,raw_vina,1,8858,False,3,CDK2
absolute_1_minus_abs_r,6,raw_vina,1,8858,False,9,KDR
absolute_1_minus_abs_r,6,raw_vina,1,8858,False,10,KIT
absolute_1_minus_abs_r,6,raw_vina,1,8858,False,16,MET
absolute_1_minus_abs_r,6,raw_vina,1,8858,False,19,ROCK1
absolute_1_minus_abs_r,6,row_centered_residual_vina,0,23751,True,1,AKT1
absolute_1_minus_abs_r,6,row_centered_residual_vina,0,23751,True,5,EGFR
absolute_1_minus_abs_r,6,row_centered_residual_vina,0,23751,True,9,KDR
absolute_1_minus_abs_r,6,row_centered_residual_vina,0,23751,True,13,MAPK1
absolute_1_minus_abs_r,6,row_centered_residual_vina,0,23751,True,15,MAPKAPK2
absolute_1_minus_abs_r,6,row_centered_residual_vina,0,23751,True,18,PTK2
absolute_1_minus_abs_r,6,row_centered_residual_vina,1,23766,False,1,AKT1
absolute_1_minus_abs_r,6,row_centered_residual_vina,1,23766,False,5,EGFR
absolute_1_minus_abs_r,6,row_centered_residual_vina,1,23766,False,9,KDR
absolute_1_minus_abs_r,6,row_centered_residual_vina,1,23766,False,14,MAPK14
absolute_1_minus_abs_r,6,row_centered_residual_vina,1,23766,False,15,MAPKAPK2
absolute_1_minus_abs_r,6,row_centered_residual_vina,1,23766,False,18,PTK2
squared_1_minus_r2,6,raw_vina,0,8142,True,0,ABL1
squared_1_minus_r2,6,raw_vina,0,8142,True,3,CDK2
squared_1_minus_r2,6,raw_vina,0,8142,True,6,FGFR1
squared_1_minus_r2,6,raw_vina,0,8142,True,9,KDR
squared_1_minus_r2,6,raw_vina,0,8142,True,16,MET
squared_1_minus_r2,6,raw_vina,0,8142,True,19,ROCK1
squared_1_minus_r2,6,raw_vina,1,8858,False,0,ABL1
squared_1_minus_r2,6,raw_vina,1,8858,False,3,CDK2
squared_1_minus_r2,6,raw_vina,1,8858,False,9,KDR
squared_1_minus_r2,6,raw_vina,1,8858,False,10,KIT
squared_1_minus_r2,6,raw_vina,1,8858,False,16,MET
squared_1_minus_r2,6,raw_vina,1,8858,False,19,ROCK1
squared_1_minus_r2,6,row_centered_residual_vina,0,23751,True,1,AKT1
squared_1_minus_r2,6,row_centered_residual_vina,0,23751,True,5,EGFR
squared_1_minus_r2,6,row_centered_residual_vina,0,23751,True,9,KDR
squared_1_minus_r2,6,row_centered_residual_vina,0,23751,True,13,MAPK1
squared_1_minus_r2,6,row_centered_residual_vina,0,23751,True,15,MAPKAPK2
squared_1_minus_r2,6,row_centered_residual_vina,0,23751,True,18,PTK2
squared_1_minus_r2,6,row_centered_residual_vina,1,23766,False,1,AKT1
squared_1_minus_r2,6,row_centered_residual_vina,1,23766,False,5,EGFR
squared_1_minus_r2,6,row_centered_residual_vina,1,23766,False,9,KDR
squared_1_minus_r2,6,row_centered_residual_vina,1,23766,False,14,MAPK14
squared_1_minus_r2,6,row_centered_residual_vina,1,23766,False,15,MAPKAPK2
squared_1_minus_r2,6,row_centered_residual_vina,1,23766,False,18,PTK2
sequence_distance_1_minus_identity,8,receptor_sequence_identity,0,111378,True,1,AKT1
sequence_distance_1_minus_identity,8,receptor_sequence_identity,0,111378,True,4,CSF1R
sequence_distance_1_minus_identity,8,receptor_sequence_identity,0,111378,True,5,EGFR
sequence_distance_1_minus_identity,8,receptor_sequence_identity,0,111378,True,12,MAP2K1
sequence_distance_1_minus_identity,8,receptor_sequence_identity,0,111378,True,14,MAPK14
sequence_distance_1_minus_identity,8,receptor_sequence_identity,0,111378,True,15,MAPKAPK2
sequence_distance_1_minus_identity,8,receptor_sequence_identity,0,111378,True,17,PLK1
sequence_distance_1_minus_identity,8,receptor_sequence_identity,0,111378,True,20,SRC
signed_1_minus_r,8,raw_vina,0,47604,True,0,ABL1
