inchikey,row_mean_all_44,row_mean_local_targets,local_minus_all_row_mean,observed_targets,eligible_nontied_target_pairs,changed_pair_predictions,accuracy_all_44_row_mean,accuracy_local_target_row_mean,local_minus_all_accuracy,accuracy_absolute_vina,accuracy_column_standardized
ABJKWBDEJIDSJZ-UHFFFAOYSA-N,-8.658583997556576,-8.773097260328669,-0.11451326277209262,4,6,0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333
ACEHBQPPDDGCGZ-UHFFFAOYSA-N,-6.849999999999998,-6.884210526315789,-0.0342105263157908,2,1,0,1.0,1.0,0.0,0.0,1.0
AEQDJSLRWYMAQI-KRWDZBQOSA-N,-7.2676749066474855,-7.291518312960248,-0.023843406312762383,2,1,0,1.0,1.0,0.0,0.0,1.0
AFZSMODLJJCVPP-UHFFFAOYSA-N,-7.884090909090909,-7.9605263157894735,-0.07643540669856463,6,15,0,0.3333333333333333,0.3333333333333333,0.0,0.26666666666666666,0.3333333333333333
AHOUBRCZNHFOSL-YOEHRIQHSA-N,-8.79090909090909,-8.836842105263159,-0.04593301435406971,8,28,1,0.7142857142857143,0.75,0.0357142857142857,0.6428571428571429,0.6785714285714286
APJYDQYYACXCRM-UHFFFAOYSA-N,-6.547727272727272,-6.58421052631579,-0.03648325358851778,2,1,0,1.0,1.0,0.0,1.0,1.0
BCGWQEUPMDMJNV-UHFFFAOYSA-N,-7.838636363636363,-7.976315789473683,-0.1376794258373204,7,21,0,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143
BDSUMBDGCUOHGR-UHFFFAOYSA-N,-7.615909090909091,-7.713157894736843,-0.09724880382775147,2,1,0,1.0,1.0,0.0,1.0,1.0
BQDBKDMTIJBJLA-UHFFFAOYSA-N,-7.906311270283852,-8.091518312960247,-0.18520704267639498,2,1,0,1.0,1.0,0.0,1.0,1.0
BXNJHAXVSOCGBA-UHFFFAOYSA-N,-7.636363636363637,-7.7026315789473685,-0.06626794258373181,4,6,0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
CAHCBJPUTCKATP-FAWZKKEFSA-N,-6.894947633920216,-6.962570944539196,-0.06762331061897964,2,1,0,0.0,0.0,0.0,0.0,0.0
CFJMRBQWBDQYMK-UHFFFAOYSA-N,-6.697220361192942,-6.746781470854986,-0.049561109662043634,2,1,0,1.0,1.0,0.0,1.0,1.0
CGIGDMFJXJATDK-UHFFFAOYSA-N,-8.267674906647485,-8.35467620769709,-0.0870013010496038,3,3,0,0.0,0.0,0.0,0.0,0.0
CQXADFVORZEARL-UHFFFAOYSA-N,-5.825,-5.852631578947369,-0.027631578947368673,2,1,0,0.0,0.0,0.0,0.0,0.0
CTSPAMFJBXKSOY-UHFFFAOYSA-N,-9.004038543011122,-9.044149891907615,-0.04011134889649348,2,1,0,1.0,1.0,0.0,0.0,1.0
