cumulative_centered_modes,cumulative_eigenvalue_fraction,roc_auc,average_precision,DAVIS_continuous_geometry_spearman,PKIS2_continuous_geometry_spearman,PKIS1_continuous_geometry_spearman,mean_continuous_geometry_spearman
1,0.20650994491018718,0.6392380952380953,0.1744687761368205,0.2696820585495152,0.293217336535055,0.15487497102267012,0.23925812203574678
2,0.3131429545044264,0.6247619047619047,0.1803711757615068,0.20999182073858294,0.2052207307098462,0.1245146023872946,0.1799090512785746
3,0.39973722671972467,0.6819047619047619,0.2041743289835159,0.2936144899771243,0.2842822588758108,0.19463055544620717,0.25750910143304745
4,0.45978416411539774,0.7135238095238096,0.25906426655443293,0.3004938174406348,0.29482519562431386,0.1877004903182914,0.26100650112774665
5,0.516762634687312,0.7413333333333333,0.3163902262775297,0.29455751070520986,0.2942618325919511,0.1968052767170982,0.2618748733380864
6,0.5678064329696454,0.7436190476190476,0.31186112038326974,0.2825064406216239,0.27978235291544745,0.17527851041215606,0.24585576798307576
7,0.6159749066984248,0.7489523809523809,0.3192108803339101,0.26908020487518974,0.2669947119106667,0.1523205920560564,0.22946516961397098
8,0.660337167825672,0.737904761904762,0.29119568172536503,0.26194893866428726,0.26303542451241546,0.14925358772148523,0.22474598363272932
9,0.6998591971583901,0.7489523809523809,0.2946089629087556,0.2595572701386976,0.2654428392097172,0.15877477288334277,0.22792496074391919
10,0.737340141519042,0.7356190476190476,0.27420850955228715,0.2566967156110171,0.2637002628735889,0.16196774659160992,0.22745490835873863
11,0.7727248767649124,0.7390476190476191,0.2774291367112973,0.2608642023907938,0.27051485607561665,0.1577932615132946,0.2297241066599017
12,0.8074947988961273,0.7386666666666667,0.2813956639573247,0.27999580102087684,0.28604932925682447,0.15506217550857948,0.24036910192876026
13,0.8411792119612197,0.7401904761904762,0.2835011800180804,0.2836874035000241,0.29498965563997254,0.176970349083879,0.2518824694079585
14,0.8719992139596068,0.7268571428571429,0.27586416568198274,0.27824272723694055,0.2890376027328356,0.17077335572788868,0.24601789523255493
15,0.9019360104728997,0.7211428571428572,0.29484054065644627,0.2813867128554371,0.28678590017801925,0.16679307343402136,0.2449885621558259
16,0.9290912581668394,0.72,0.3307132230619414,0.2773714390688764,0.2824714491289305,0.17126848534949943,0.24370379118243546
17,0.9547326452849987,0.7226666666666667,0.332474620979092,0.2819570741863385,0.2904862505303399,0.17940400740070073,0.2506157773724597
18,0.9780513510340109,0.716952380952381,0.3254997194572259,0.27680457688724436,0.28857396545464886,0.17735350592887109,0.2475773494235881
19,1.0,0.7104761904761905,0.3014656490938134,0.27979984866179414,0.287170806597646,0.1736426581287425,0.24687110446272753
20,1.0,0.7104761904761905,0.3014656490938134,0.27979984866179414,0.287170806597646,0.1736426581287425,0.24687110446272753
