omitted_target,remaining_positive_pairs,raw_roc_auc,centered_roc_auc,centered_minus_raw_roc_auc,raw_average_precision,centered_average_precision,centered_minus_raw_average_precision
ABL1,12,0.6635220125786163,0.7510482180293501,0.08752620545073375,0.2714051084388049,0.31617509879521444,0.04476999035640955
AKT1,11,0.509090909090909,0.675,0.165909090909091,0.1582431034833943,0.24297540033507845,0.08473229685168415
AKT2,12,0.5476939203354297,0.710691823899371,0.16299790356394128,0.2412642087293022,0.3234247005934701,0.0821604918641679
CDK2,15,0.6188034188034188,0.7222222222222222,0.10341880341880338,0.2626508785806119,0.3188056975447982,0.05615481896418628
CSF1R,13,0.6387536514118792,0.737585199610516,0.09883154819863682,0.2588010023060895,0.32985129265145324,0.07105029034536375
EGFR,15,0.6123931623931624,0.7085470085470086,0.09615384615384615,0.2500212612090987,0.3074987982413367,0.05747753703223801
FGFR1,15,0.5705128205128205,0.7029914529914529,0.13247863247863245,0.2377330399057138,0.3380233535571444,0.10029031365143062
IGF1R,14,0.5859872611464968,0.6992720655141037,0.1132848043676069,0.2449408589553263,0.30599676111361596,0.061055902158289654
JAK2,15,0.6038461538461538,0.7196581196581197,0.11581196581196584,0.24816419868880307,0.3198206476004882,0.0716564489116851
KDR,12,0.6556603773584906,0.6850104821802935,0.02935010482180289,0.2706163735461789,0.27552057843689054,0.004904204890711639
KIT,13,0.6144109055501461,0.675267770204479,0.06085686465433293,0.25621722240449407,0.29425332264523935,0.038036100240745274
LCK,13,0.6085686465433301,0.7190847127555988,0.11051606621226873,0.1855480357442179,0.2471870415568181,0.06163900581260018
MAP2K1,15,0.6047008547008547,0.7123931623931624,0.10769230769230775,0.2490709118966001,0.3246371979882002,0.07556628609160007
MAPK1,11,0.5676136363636364,0.7193181818181819,0.15170454545454548,0.26579284533121283,0.3422521198516159,0.07645927452040308
MAPK14,15,0.5918803418803419,0.7098290598290599,0.11794871794871797,0.24121114260669885,0.31057818248744157,0.06936703988074272
MAPKAPK2,12,0.5455974842767296,0.7112159329140462,0.16561844863731656,0.24079722517085053,0.33291502380814625,0.09211779863729572
MET,15,0.5794871794871795,0.7017094017094017,0.12222222222222212,0.23873468392856914,0.3186844765205825,0.07994979259201337
PLK1,15,0.6162393162393163,0.7192307692307692,0.10299145299145296,0.25881553264000284,0.31519142368448866,0.056375891044485815
ROCK1,14,0.5841674249317561,0.697452229299363,0.1132848043676069,0.18786289143384657,0.24680529792863956,0.05894240649479299
SRC,13,0.6139240506329114,0.7370983446932814,0.12317429406036995,0.18513801727487775,0.25029020892031534,0.06515219164543759
