target_a,target_b,primary_replicated_positive,number_of_panels_in_top_10_percent,DAVIS_centered_pair_percentile,PKIS2_centered_pair_percentile,PKIS1_centered_pair_percentile,mean_experimental_centered_pair_percentile,raw_docking_pair_percentile,centered_docking_pair_percentile,receptor_domain_sequence_identity
AKT1,AKT2,True,3,0.9973684210526316,0.9973684210526316,0.9973684210526316,0.9973684210526316,0.8868421052631579,0.9026315789473685,0.7323529411764705
CSF1R,KIT,True,3,0.9921052631578947,0.9921052631578947,0.9763157894736842,0.9868421052631579,0.49736842105263157,0.7552631578947369,0.6666666666666666
LCK,SRC,True,3,0.9763157894736842,0.9868421052631579,0.9868421052631579,0.9833333333333334,0.9973684210526316,0.9973684210526316,0.5687022900763359
MAPK1,MAPKAPK2,True,3,0.9868421052631579,0.9763157894736842,0.9657894736842105,0.9763157894736842,0.7868421052631579,0.7342105263157894,0.2108843537414966
ABL1,LCK,True,3,0.9815789473684211,0.9342105263157895,0.9710526315789474,0.962280701754386,0.2131578947368421,0.3763157894736842,0.3716216216216216
AKT2,MAPKAPK2,True,3,0.9657894736842105,0.9657894736842105,0.9552631578947368,0.962280701754386,0.8605263157894737,0.6078947368421053,0.2136986301369863
ABL1,SRC,True,2,0.9605263157894737,0.8868421052631579,0.9815789473684211,0.9429824561403509,0.12894736842105264,0.18157894736842106,0.3892857142857143
KDR,KIT,True,2,0.9710526315789474,0.9710526315789474,0.881578947368421,0.9412280701754385,0.3131578947368421,0.95,0.38857142857142857
AKT1,ROCK1,True,3,0.9447368421052632,0.9605263157894737,0.9078947368421053,0.9377192982456141,0.9921052631578947,0.9921052631578947,0.3284457478005865
AKT1,MAPKAPK2,True,2,0.9552631578947368,0.8763157894736842,0.9605263157894737,0.9307017543859649,0.8973684210526316,0.7447368421052631,0.24522292993630573
AKT2,MAPK1,True,2,0.9394736842105263,0.9447368421052632,0.8605263157894737,0.9149122807017545,0.6552631578947369,0.5342105263157895,0.19832402234636873
AKT1,MAPK1,True,2,0.9342105263157895,0.95,0.85,0.9114035087719299,0.5394736842105263,0.5026315789473684,0.2064516129032258
CSF1R,KDR,True,2,0.9289473684210526,0.9815789473684211,0.7921052631578948,0.9008771929824562,0.034210526315789476,0.2868421052631579,0.3875739644970414
IGF1R,MAPK1,True,2,0.9184210526315789,0.9394736842105263,0.8026315789473685,0.8868421052631579,0.65,0.8763157894736842,0.20655737704918034
ABL1,KDR,True,2,0.4342105263157895,0.9552631578947368,0.9342105263157895,0.7745614035087719,0.3815789473684211,0.9657894736842105,0.3119266055045872
AKT2,ROCK1,False,1,0.9236842105263158,0.8973684210526316,0.8763157894736842,0.8991228070175438,0.9447368421052632,0.8973684210526316,0.31043956043956045
ABL1,KIT,False,1,0.8657894736842106,0.8921052631578947,0.9131578947368421,0.8903508771929824,0.44473684210526315,0.9447368421052632,0.2822085889570552
JAK2,ROCK1,False,1,0.8763157894736842,0.9131578947368421,0.8710526315789474,0.8868421052631579,0.7236842105263158,0.6921052631578948,0.18994413407821228
IGF1R,PLK1,False,1,0.8921052631578947,0.8447368421052631,0.9026315789473685,0.8798245614035087,0.6815789473684211,0.718421052631579,0.22509225092250923
CDK2,MAPK1,False,1,0.881578947368421,0.9026315789473685,0.7868421052631579,0.8570175438596491,0.8447368421052631,0.881578947368421,0.3023255813953488
MAPKAPK2,PLK1,False,0,0.8868421052631579,0.8184210526315789,0.8552631578947368,0.8535087719298246,0.9289473684210526,0.6763157894736842,0.22419928825622776
MAPK1,PLK1,False,1,0.9131578947368421,0.881578947368421,0.7552631578947369,0.85,0.781578947368421,0.7921052631578948,0.24113475177304963
KIT,LCK,False,1,0.8289473684210527,0.9184210526315789,0.7973684210526316,0.8482456140350877,0.3605263157894737,0.16578947368421051,0.32786885245901637
ABL1,CSF1R,False,1,0.8605263157894737,0.9078947368421053,0.7710526315789473,0.8464912280701755,0.2026315789473684,0.6236842105263158,0.3089700996677741
IGF1R,MAPKAPK2,False,1,0.8184210526315789,0.9289473684210526,0.7605263157894737,0.8359649122807018,0.6605263157894737,0.6394736842105263,0.19243986254295534
MAPKAPK2,ROCK1,False,0,0.8447368421052631,0.7921052631578948,0.8289473684210527,0.8219298245614035,0.9026315789473685,0.6657894736842105,0.22448979591836735
MAPK1,ROCK1,False,1,0.7973684210526316,0.7131578947368421,0.9184210526315789,0.8096491228070176,0.5552631578947368,0.4236842105263158,0.2254335260115607
MAPK14,MAPKAPK2,False,0,0.8394736842105263,0.7342105263157894,0.8447368421052631,0.8061403508771928,0.6342105263157894,0.46578947368421053,0.20833333333333334
KIT,SRC,False,1,0.6342105263157894,0.7868421052631579,0.9289473684210526,0.7833333333333333,0.29210526315789476,0.07105263157894737,0.29292929292929293
CSF1R,LCK,False,1,0.8342105263157895,0.9236842105263158,0.5815789473684211,0.7798245614035088,0.5605263157894737,0.6605263157894737,0.36395759717314485
AKT1,PLK1,False,0,0.8078947368421052,0.8236842105263158,0.6973684210526315,0.7763157894736842,0.8184210526315789,0.8026315789473685,0.2508250825082508
EGFR,MAPKAPK2,False,0,0.7605263157894737,0.7236842105263158,0.8342105263157895,0.7728070175438596,0.9236842105263158,0.5868421052631579,0.22996515679442509
