chemical_support_sensitivity,target_sensitivity,residual_scaling,n_docking44_ligands,n_dockstring_ligands,n_targets,statistic,spearman_rho,exact_target_label_permutation_two_sided_p,exact_target_label_permutations
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,heavy_atoms,0.8666666666666667,,
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,molecular_weight,0.90000000000000002,,
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,labute_asa,0.8666666666666667,,
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,tpsa,0.91666666666666663,,
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,clogp,0.6166666666666667,,
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,rotatable_bonds,0.83333333333333337,,
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,ring_count,0.71666666666666667,,
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,prespecified_mean_of_7_descriptor_spearman_rho,0.81666666666666654,0.0026151895943562612,362880
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,heavy_atoms,0.8833333333333333,,
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,molecular_weight,0.8833333333333333,,
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,labute_asa,0.84999999999999998,,
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,tpsa,0.91666666666666663,,
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,clogp,0.58333333333333337,,
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,rotatable_bonds,0.75,,
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,ring_count,0.83333333333333337,,
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,prespecified_mean_of_7_descriptor_spearman_rho,0.81428571428571417,0.0029569003527336862,362880
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,heavy_atoms,0.8666666666666667,,
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,molecular_weight,0.90000000000000002,,
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,labute_asa,0.8666666666666667,,
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,tpsa,0.91666666666666663,,
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,clogp,0.6166666666666667,,
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,rotatable_bonds,0.81666666666666665,,
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,ring_count,0.71666666666666667,,
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,prespecified_mean_of_7_descriptor_spearman_rho,0.81428571428571417,0.0024112654320987653,362880
connectivity_disjoint,all_9_mapped_targets,target_standardized_two_way_residual,12600,14949,9,heavy_atoms,0.8833333333333333,,
connectivity_disjoint,all_9_mapped_targets,target_standardized_two_way_residual,12600,14949,9,molecular_weight,0.8833333333333333,,
connectivity_disjoint,all_9_mapped_targets,target_standardized_two_way_residual,12600,14949,9,labute_asa,0.8666666666666667,,
connectivity_disjoint,all_9_mapped_targets,target_standardized_two_way_residual,12600,14949,9,tpsa,0.91666666666666663,,
connectivity_disjoint,all_9_mapped_targets,target_standardized_two_way_residual,12600,14949,9,clogp,0.58333333333333337,,
connectivity_disjoint,all_9_mapped_targets,target_standardized_two_way_residual,12600,14949,9,rotatable_bonds,0.75,,
connectivity_disjoint,all_9_mapped_targets,target_standardized_two_way_residual,12600,14949,9,ring_count,0.83333333333333337,,
connectivity_disjoint,all_9_mapped_targets,target_standardized_two_way_residual,12600,14949,9,prespecified_mean_of_7_descriptor_spearman_rho,0.81666666666666654,0.0028411596119929453,362880
