chemical_support_sensitivity,target_sensitivity,residual_scaling,n_docking44_ligands,n_dockstring_ligands,n_targets,docking44_target,dockstring_target,descriptor,docking44_slope_per_descriptor_sd,dockstring_slope_per_descriptor_sd,docking44_target_slope_rank,dockstring_target_slope_rank
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,1m2z,NR3C1,heavy_atoms,0.22602025926644514,0.4203403125488322,7,7
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,1m2z,NR3C1,molecular_weight,0.18176158797813805,0.39858401110991404,7,7
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,1m2z,NR3C1,labute_asa,0.21567634703278277,0.41696800741653328,7,7
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,1m2z,NR3C1,tpsa,0.15448595660204539,0.20522077091732521,7,7
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,1m2z,NR3C1,clogp,0.088828226725315929,0.23163267293131357,8,8
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,1m2z,NR3C1,rotatable_bonds,0.10339634729750312,0.12113501465713221,8,7
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,1m2z,NR3C1,ring_count,0.18087280544189316,0.36135595286122696,7,7
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2rh1,ADRB2,heavy_atoms,-0.26669988803669342,-0.26214814043215939,2,1
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2rh1,ADRB2,molecular_weight,-0.19331616635405621,-0.25311470493722238,2,1
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2rh1,ADRB2,labute_asa,-0.25025132652054061,-0.26177251283213171,2,1
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2rh1,ADRB2,tpsa,-0.10698838271211392,-0.11124128844011688,2,1
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2rh1,ADRB2,clogp,-0.12920939414311539,-0.14659178214427304,1,4
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2rh1,ADRB2,rotatable_bonds,-0.11980920632497943,-0.18297082087497987,2,1
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2rh1,ADRB2,ring_count,-0.29189326155340045,-0.18892388901364551,1,3
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2vt4,ADRB1,heavy_atoms,-0.3336395894984085,-0.25053443516833762,1,2
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2vt4,ADRB1,molecular_weight,-0.30491605835048108,-0.23491969763659079,1,2
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2vt4,ADRB1,labute_asa,-0.33045211655177048,-0.24646240468165703,1,2
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2vt4,ADRB1,tpsa,-0.20586123321094729,-0.10982853781556974,1,2
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2vt4,ADRB1,clogp,-0.11020336204996004,-0.17987558254754774,4,2
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2vt4,ADRB1,rotatable_bonds,-0.13533472766226112,-0.14393490131742881,1,2
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2vt4,ADRB1,ring_count,-0.28880383711578744,-0.20211809785451287,2,2
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2ydo,ADORA2A,heavy_atoms,4.4595495800410814e-05,-0.046378349209183635,6,5
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,2ydo,ADORA2A,molecular_weight,0.033073559125250944,-0.03065149929557455,6,5
