target,size_x_angstrom,size_y_angstrom,size_z_angstrom,box_volume_angstrom3,source_package,source_resource,source_repository,metadata_selection_used_score_outcomes,unscaled_two_way_residual__heavy_atoms_slope,unscaled_two_way_residual__molecular_weight_slope,unscaled_two_way_residual__labute_asa_slope,unscaled_two_way_residual__tpsa_slope,unscaled_two_way_residual__clogp_slope,unscaled_two_way_residual__rotatable_bonds_slope,unscaled_two_way_residual__ring_count_slope,target_standardized_two_way_residual__heavy_atoms_slope,target_standardized_two_way_residual__molecular_weight_slope,target_standardized_two_way_residual__labute_asa_slope,target_standardized_two_way_residual__tpsa_slope,target_standardized_two_way_residual__clogp_slope,target_standardized_two_way_residual__rotatable_bonds_slope,target_standardized_two_way_residual__ring_count_slope
PPARD,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/PPARD_conf.txt,https://github.com/dockstring/dockstring,False,-0.22898929832694442,-0.21716529629430278,-0.23211609473399561,-0.03857013215076642,-0.18015755197038269,-0.20648952250381591,-0.1197004423148629,-0.38578136828260401,-0.36586131212252948,-0.39104912448372997,-0.064979623347807228,-0.30351386468002695,-0.34787569161335891,-0.20166095427887099
ABL1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/ABL1_conf.txt,https://github.com/dockstring/dockstring,False,0.23335715998178327,0.23673166110411956,0.23719382525305363,0.13475406833691755,0.057955469210947054,0.2207210360271645,0.090635471616610161,0.31705288486723671,0.32163768233352402,0.32226560597089265,0.18308487349242547,0.07874173952322476,0.29988469704019655,0.12314273000919314
ADAM17,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/ADAM17_conf.txt,https://github.com/dockstring/dockstring,False,-0.02228288266132224,-0.028356073662648276,-0.02164687041356414,-0.073218783768625534,0.077003075829116835,-0.049702962139709234,0.011015624796519775,-0.043672809348560562,-0.055575816547835007,-0.042426272171936626,-0.14350342515652426,0.15092035896123249,-0.097414146211612471,0.021589813531116001
ADRB1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/ADRB1_conf.txt,https://github.com/dockstring/dockstring,False,-0.25053443516833762,-0.23491969763659079,-0.24646240468165703,-0.10982853781556974,-0.17987558254754774,-0.14393490131742881,-0.20211809785451287,-0.44307514314831636,-0.41546016853433365,-0.43587367605426935,-0.1942339586241188,-0.31811355366215815,-0.25455174240781664,-0.35744988540030992
ADRB2,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/ADRB2_conf.txt,https://github.com/dockstring/dockstring,False,-0.26214814043215939,-0.25311470493722238,-0.26177251283213171,-0.11124128844011688,-0.14659178214427304,-0.18297082087497987,-0.18892388901364551,-0.4369822871037024,-0.42192419324702346,-0.43635614263634565,-0.18543130827778914,-0.24435806459054213,-0.30499933223780323,-0.31492267301080989
AKT2,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/AKT2_conf.txt,https://github.com/dockstring/dockstring,False,-0.16115332903266111,-0.15678119377701041,-0.16173663093619392,-0.07866077323176246,-0.05731017176926808,-0.021374982923459719,-0.15575268525439268,-0.31975036098220161,-0.31107544353154232,-0.32090771215413105,-0.1560737887760148,-0.11371126008486951,-0.042410904861788286,-0.30903474121807262
MAOB,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/MAOB_conf.txt,https://github.com/dockstring/dockstring,False,1.5739694547159087,1.5219614515890536,1.5724417900957348,0.71167035483270191,0.77651751166779281,0.6770802779821381,1.2955945006832461,0.71497208235057752,0.69134756398200847,0.71427814413510182,0.32327465696197433,0.35273133200607076,0.30756219240275712,0.58852088600579056
CASP3,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/CASP3_conf.txt,https://github.com/dockstring/dockstring,False,-0.15287367419267683,-0.16666220561566397,-0.15195469841709969,-0.20055217765753955,0.057822303786796495,-0.065780573957365501,-0.071989383285903139,-0.29282998015165618,-0.31924195333302197,-0.29106967930493921,-0.38415829614201846,0.11075879584649748,-0.12600288616091004,-0.13789587899988365
DHFR,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/DHFR_conf.txt,https://github.com/dockstring/dockstring,False,-0.056945589391621899,-0.05032578235238306,-0.060420974104136341,0.064304788687888817,-0.097374277982664167,0.025289261805533616,-0.099358687450487357,-0.098410169010588008,-0.086970190313224366,-0.10441613366192029,0.11112792387563433,-0.16827675779518389,0.043703481780131059,-0.17170610277520856
ESR2,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/ESR2_conf.txt,https://github.com/dockstring/dockstring,False,0.25175613289042748,0.2481544975059688,0.24669127006545449,0.19191625314700431,0.070524118722257917,0.099079972895443763,0.19895542668089364,0.34409651116659129,0.33917384987505589,0.33717393252828248,0.26230825992545048,0.096391309029159877,0.13542102275077864,0.27192929686583667
