dataset,fold,train_ligands,test_ligands,train_groups,test_groups,group_overlap_count,minimum_training_descriptor_sd,maximum_training_descriptor_sd,minimum_training_residual_target_sd,maximum_training_residual_target_sd
Docking-44,1,10120,2531,6520,1630,0,1.3853712047522526,143.89385554803388,0.4105581671447705,2.1726196091123269
Docking-44,2,10121,2530,6521,1629,0,1.3739721625558448,143.63977811488186,0.40973329364038652,2.190594508023052
Docking-44,3,10121,2530,6520,1630,0,1.4011425246153424,148.04998175338906,0.41675295411317359,2.1887439376419247
Docking-44,4,10121,2530,6520,1630,0,1.3850427432335894,147.60247324819716,0.41411931457105516,2.1691089920892539
Docking-44,5,10121,2530,6519,1631,0,1.4087372069437152,142.03956065998494,0.41852771824925133,2.1731941302787137
DOCKSTRING-58,1,12000,3000,9548,2357,0,1.1372356825383994,97.494108467669605,0.40917693374188441,2.2018189942541624
DOCKSTRING-58,2,12000,3000,9518,2387,0,1.1787686164002114,99.123872998378701,0.40687083197594537,2.2050140191389485
DOCKSTRING-58,3,12000,3000,9518,2387,0,1.1745286560845756,99.017001050350416,0.40562478480197878,2.1855513446424157
DOCKSTRING-58,4,12000,3000,9518,2387,0,1.1712781886539085,98.419692639140777,0.4074174399352285,2.2070601058071699
DOCKSTRING-58,5,12000,3000,9518,2387,0,1.1744026544823807,98.460949818511125,0.40850826423721748,2.2074355896294078
