dataset,surface,component,sum_squares,fraction_of_grand_centered_sum_squares,fraction_closure_error,maximum_absolute_pairwise_inner_product_fraction,maximum_absolute_reconstruction_error
Docking-44,grand_centered_score_surface,ligand_main_effect,745716.92980392382,0.53818252145709322,2.2204460492503131e-16,1.009185226182756e-17,1.7763568394002505e-15
Docking-44,grand_centered_score_surface,target_main_effect,269299.5390289271,0.19435297651071015,2.2204460492503131e-16,1.009185226182756e-17,1.7763568394002505e-15
Docking-44,grand_centered_score_surface,ligand_target_interaction,370604.39411331987,0.26746450203219635,2.2204460492503131e-16,1.009185226182756e-17,1.7763568394002505e-15
Docking-44,column_standardized_score_surface,ligand_main_effect,385251.32947323675,0.69215114889190954,6.6613381477509392e-16,1.0212615677471799e-18,8.8817841970012523e-16
Docking-44,column_standardized_score_surface,target_main_effect,1.0409127795106368e-25,1.8701271640507312e-31,6.6613381477509392e-16,1.0212615677471799e-18,8.8817841970012523e-16
Docking-44,column_standardized_score_surface,ligand_target_interaction,171348.67052676342,0.30784885110809102,6.6613381477509392e-16,1.0212615677471799e-18,8.8817841970012523e-16
DOCKSTRING-58,grand_centered_score_surface,ligand_main_effect,10378096.266808696,0.43906506896055009,2.6645352591003757e-15,1.93573899608618e-17,2.6645352591003757e-15
DOCKSTRING-58,grand_centered_score_surface,target_main_effect,5891255.6334420443,0.24924075615236738,2.6645352591003757e-15,1.93573899608618e-17,2.6645352591003757e-15
DOCKSTRING-58,grand_centered_score_surface,ligand_target_interaction,7367455.0344890272,0.31169417488708528,2.6645352591003757e-15,1.93573899608618e-17,2.6645352591003757e-15
DOCKSTRING-58,column_standardized_score_surface,ligand_main_effect,9381094.3180643972,0.62194734842427668,1.2212453270876722e-15,1.3544356670902933e-17,1.7763568394002505e-15
DOCKSTRING-58,column_standardized_score_surface,target_main_effect,2.0513174264031087e-23,1.3599814593817698e-30,1.2212453270876722e-15,1.3544356670902933e-17,1.7763568394002505e-15
DOCKSTRING-58,column_standardized_score_surface,ligand_target_interaction,5702327.6819355795,0.37805265157572204,1.2212453270876722e-15,1.3544356670902933e-17,1.7763568394002505e-15
