representation,weighting,metric,estimate,compound_bootstrap_ci95_low,compound_bootstrap_ci95_high,butina_cluster_bootstrap_ci95_low,butina_cluster_bootstrap_ci95_high,bootstrap_replicates
absolute,pair_weighted,mean_rank_percentile,0.4181627906976745,0.3921847296481599,0.4433487870599255,0.3908496454575093,0.44408480134721784,5000
absolute,compound_balanced,mean_rank_percentile,0.40168594274622427,0.36409476182307426,0.4391581711502152,0.36295317144192785,0.43856912527014635,5000
absolute,pair_weighted,top1,0.05,0.03296650055370986,0.06870313637209931,0.031674019607843135,0.07031348146984923,5000
absolute,compound_balanced,top1,0.06006892230576441,0.03342058270676692,0.09044188596491223,0.030025344755443977,0.0952249142316684,5000
absolute,pair_weighted,top3,0.14,0.11136305060918462,0.16929478255825753,0.11067086502104893,0.17221278922527913,5000
absolute,compound_balanced,top3,0.15797505126452493,0.11564086352244247,0.2019700387331966,0.11481012292754283,0.2071657492610808,5000
absolute,pair_weighted,top5,0.21,0.17635236991840825,0.24541491032316717,0.1757320280759202,0.24800192307692304,5000
absolute,compound_balanced,top5,0.23612459178248651,0.18615240753398646,0.2884525375939849,0.1855880326576173,0.29249753466993206,5000
column_z,pair_weighted,mean_rank_percentile,0.45227906976744187,0.42576162294000947,0.47836538346640917,0.42288505824248257,0.47879464764503243,5000
column_z,compound_balanced,mean_rank_percentile,0.43180715177655193,0.399798145270682,0.46364908759301354,0.3986009789294048,0.46379582284006793,5000
column_z,pair_weighted,top1,0.056,0.03863590169992609,0.0744920993227991,0.03829615993835352,0.07663162022400308,5000
column_z,compound_balanced,top1,0.05836902863218653,0.03261733405483406,0.0867135452267031,0.030963515147776805,0.09442630828373015,5000
column_z,pair_weighted,top3,0.116,0.09071351803200382,0.1443859043517944,0.09037328094302555,0.14211602749965088,5000
column_z,compound_balanced,top3,0.11500493658388396,0.08069968481810585,0.1525719649502544,0.07850351875742824,0.15565425497044555,5000
column_z,pair_weighted,top5,0.164,0.1341984535380762,0.19565630682757476,0.13425880890618247,0.19464569957196357,5000
column_z,compound_balanced,top5,0.170366446419078,0.1283671869066606,0.2156854921394395,0.12597692786248857,0.2159973435763824,5000
two_way_residual,pair_weighted,mean_rank_percentile,0.45227906976744187,0.42576162294000947,0.47836538346640917,0.42288505824248257,0.47879464764503243,5000
two_way_residual,compound_balanced,mean_rank_percentile,0.43180715177655193,0.399798145270682,0.46364908759301354,0.3986009789294048,0.46379582284006793,5000
two_way_residual,pair_weighted,top1,0.056,0.03863590169992609,0.0744920993227991,0.03829615993835352,0.07663162022400308,5000
two_way_residual,compound_balanced,top1,0.05836902863218653,0.03261733405483406,0.0867135452267031,0.030963515147776805,0.09442630828373015,5000
two_way_residual,pair_weighted,top3,0.116,0.09071351803200382,0.1443859043517944,0.09037328094302555,0.14211602749965088,5000
two_way_residual,compound_balanced,top3,0.11500493658388396,0.08069968481810585,0.1525719649502544,0.07850351875742824,0.15565425497044555,5000
two_way_residual,pair_weighted,top5,0.164,0.1341984535380762,0.19565630682757476,0.13425880890618247,0.19464569957196357,5000
two_way_residual,compound_balanced,top5,0.170366446419078,0.1283671869066606,0.2156854921394395,0.12597692786248857,0.2159973435763824,5000
