dataset,support,n_ligands,n_targets,transform,concordance_spearman,qap_one_sided_p,target_loo_min,target_loo_median,target_loo_max,bayesian_ligand_low,bayesian_ligand_high,bayesian_murcko_low,bayesian_murcko_high,bayesian_butina_low,bayesian_butina_high,projection_null_p,raw_docking_vs_centered_experimental,centered_minus_raw_docking_fixed_experimental,paired_qap_fixed_experimental_p,matched_estimand_transition,matched_estimand_transition_p,primary_holm_adjusted_p
DAVIS,full_experimental_panel,72,21,raw,0.06145976747124165,0.30278486075696215,0.00357875491521124,0.0610172901713271,0.1385356935095155,,,,,,,0.1437125748502994,,,,,,
DAVIS,full_experimental_panel,72,21,center_then_correlation,0.28226814343052803,0.003799810009499525,0.23293049377370129,0.2771142515975804,0.35307903266018453,0.20250857648213594,0.34510905657076774,0.2009935761419922,0.34509085078054896,0.20229234222998252,0.3466378894241204,0.001996007984031936,0.26861056130200556,0.013657582128522527,0.3575821208939553,0.22080837595928643,0.05664716764161792,0.009149542522873855
DAVIS,full_experimental_panel,72,21,z_before_center,0.27578791874127373,0.0023998800059997,0.22728986515153507,0.2722539332624756,0.3621155856482393,,,,,,,0.001996007984031936,,,,,,
DAVIS,full_experimental_panel,72,21,rank_normal_before_center,0.30214549730638524,0.0016499175041247937,0.2548579126699821,0.2963963136462448,0.4041823581641714,,,,,,,0.001996007984031936,,,,,,
PKIS2,full_experimental_panel,645,21,raw,-0.21359279283948776,0.9574521273936303,-0.24811155287870637,-0.2096086638935909,-0.16277080134892208,,,,,,,0.998003992015968,,,,,,
PKIS2,full_experimental_panel,645,21,center_then_correlation,0.2855633266708347,0.0030498475076246186,0.23141886128934905,0.27809226381835916,0.3754928333049028,0.23660419899382235,0.3230231006210053,0.22001334659354116,0.33611840890463984,0.21408085055378645,0.3398064743936532,0.001996007984031936,0.2450933451681768,0.04046998150265799,0.16759162041897904,0.49915611951032257,0.000999950002499875,0.009149542522873855
PKIS2,full_experimental_panel,645,21,z_before_center,0.2322650659392989,0.005649717514124294,0.1772870220927537,0.23452085711661355,0.31851793532697364,,,,,,,0.001996007984031936,,,,,,
PKIS2,full_experimental_panel,645,21,rank_normal_before_center,0.20349991739365647,0.008099595020248988,0.15158227156022694,0.19849011709028244,0.2802774825370582,,,,,,,0.007984031936127744,,,,,,
PKIS1,full_experimental_panel,360,20,raw,-0.1592384101615295,0.864206789660517,-0.1935392516859865,-0.16220990232078147,-0.10512395900832792,,,,,,,0.9740518962075848,,,,,,
PKIS1,full_experimental_panel,360,20,center_then_correlation,0.1736426581287425,0.029948502574871257,0.10742794057647541,0.1612715098279214,0.27728418172654623,0.13315627638030506,0.2174907600589607,0.12427906590210258,0.2284944472875032,0.11559299645273745,0.2400994195786149,0.005988023952095809,0.1727818674084863,0.0008607907202561327,0.45697715114244286,0.3328810682902719,0.02199890005499725,0.029948502574871257
PKIS1,full_experimental_panel,360,20,z_before_center,0.20337317989563788,0.014499275036248187,0.12557659538723692,0.19663162694698444,0.335764513883889,,,,,,,0.001996007984031936,,,,,,
PKIS1,full_experimental_panel,360,20,rank_normal_before_center,0.1815594833506104,0.02279886005699715,0.11719826241390069,0.1735762113903089,0.27880816953464377,,,,,,,0.013972055888223553,,,,,,
DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,72,19,raw,0.00487436100511196,0.46052697365131745,-0.05978180745982603,0.011338506694543848,0.07305362336322087,,,,,,,,,,,,,
DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,72,19,center_then_correlation,0.25423956608347137,0.010449477526123694,0.1907609933925723,0.25704635921354185,0.3306327315615241,,,,,,,,0.2305661554707562,0.023673410612715107,0.28123593820308984,0.24936520507835935,0.04464776761161942,
DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,72,19,z_before_center,0.24158206734346127,0.009299535023248838,0.18117486228941337,0.23985096430916863,0.3285352418479353,,,,,,,,,,,,,
DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,72,19,rank_normal_before_center,0.2654426764585884,0.0063996800159992,0.20591920978917883,0.2608225108225108,0.373865814268291,,,,,,,,,,,,,
DAVIS,targets_with_at_least_10_uncensored_DAVIS_ligands,72,17,raw,-0.05228281093459281,0.6097195140242988,-0.10224321133412041,-0.05569136745607333,0.0112993957913744,,,,,,,,,,,,,
DAVIS,targets_with_at_least_10_uncensored_DAVIS_ligands,72,17,center_then_correlation,0.2126806927150422,0.025298735063246838,0.14857281755677473,0.19958330439613858,0.28195708035280226,,,,,,,,0.1865989218071657,0.026081770907876528,0.2682365881705915,0.26496350364963506,0.04769761511924404,
DAVIS,targets_with_at_least_10_uncensored_DAVIS_ligands,72,17,z_before_center,0.2280950336338915,0.01904904754762262,0.15826793527328284,0.22289047850545174,0.3081463990554899,,,,,,,,,,,,,
DAVIS,targets_with_at_least_10_uncensored_DAVIS_ligands,72,17,rank_normal_before_center,0.25643814703496964,0.014099295035248238,0.19023543301618165,0.24746162927981105,0.34744079449961796,,,,,,,,,,,,,
DAVIS,binary_uncensored_activity_surface,72,21,raw,-0.07529628999742621,0.704164791760412,-0.12631606572321696,-0.06785640709820885,-0.022855608227599054,,,,,,,,,,,,,
DAVIS,binary_uncensored_activity_surface,72,21,center_then_correlation,0.28417683588549136,0.0024998750062496873,0.2338997581213068,0.2744881400709453,0.37405643252984117,,,,,,,,0.2107524304082049,0.07342440547728651,0.029798510074496274,0.35947312588291763,0.0038498075096245186,
DAVIS,binary_uncensored_activity_surface,72,21,z_before_center,0.2714250080176745,0.0029498525073746312,0.22137805246099546,0.26249830509957267,0.3648974093173597,,,,,,,,,,,,,
DAVIS,binary_uncensored_activity_surface,72,21,rank_normal_before_center,0.2861762333451034,0.0019499025048747563,0.23479728990889093,0.27646515940811894,0.37882227383467404,,,,,,,,,,,,,
PKIS1,CDK2_cyclinE_construct_sensitivity,360,20,raw,-0.1560034466620303,0.8672066396680166,-0.1906952744378045,-0.1594043247654019,-0.10100079199366406,,,,,,,,,,,,,
PKIS1,CDK2_cyclinE_construct_sensitivity,360,20,center_then_correlation,0.19124337895349197,0.021648917554122293,0.12186622507019945,0.17944296445628438,0.3017207862337102,,,,,,,,0.19005191862728374,0.0011914603262082046,0.46027698615069246,0.3472468256155222,0.017149142542872857,
PKIS1,CDK2_cyclinE_construct_sensitivity,360,20,z_before_center,0.20748468028710523,0.01319934003299835,0.12753257973936208,0.19994120047039626,0.3444068447452421,,,,,,,,,,,,,
PKIS1,CDK2_cyclinE_construct_sensitivity,360,20,rank_normal_before_center,0.19596198174318868,0.018449077546122693,0.13034535723714213,0.18942088463292295,0.2980128158974728,,,,,,,,,,,,,
DAVIS,exact_identity_and_same_Murcko_scaffold_excluded_reference,72,21,raw,0.061037341306735174,0.3080345982700865,0.002835185695477788,0.06070586588635638,0.13934749614000097,,,,,,,,,,,,,
DAVIS,exact_identity_and_same_Murcko_scaffold_excluded_reference,72,21,center_then_correlation,0.2817977731921359,0.004749762511874406,0.23226215626325852,0.27742917503182046,0.3526993749644618,,,,,,,,0.2670646888656367,0.014733084326499168,0.3562821858907055,0.22076043188540073,0.055147242637868105,
DAVIS,exact_identity_and_same_Murcko_scaffold_excluded_reference,72,21,z_before_center,0.2739712270767397,0.00199990000499975,0.22546680838221209,0.27039763457509397,0.3603677605882071,,,,,,,,,,,,,
DAVIS,exact_identity_and_same_Murcko_scaffold_excluded_reference,72,21,rank_normal_before_center,0.30045579264835937,0.0018999050047497626,0.25289488992988585,0.2948216964750445,0.40366448407231,,,,,,,,,,,,,
PKIS2,exact_identity_and_same_Murcko_scaffold_excluded_reference,645,21,raw,-0.21403724736226606,0.9558522073896305,-0.24865742016472248,-0.20977487348388424,-0.1619852423379566,,,,,,,,,,,,,
PKIS2,exact_identity_and_same_Murcko_scaffold_excluded_reference,645,21,center_then_correlation,0.28516811200772285,0.003399830008499575,0.23151508789425573,0.27852440875312195,0.37526713817703067,,,,,,,,0.24401654718441948,0.04115156482330343,0.15824208789560523,0.499205359369989,0.0014499275036248187,
PKIS2,exact_identity_and_same_Murcko_scaffold_excluded_reference,645,21,z_before_center,0.2303174999109147,0.005499725013749313,0.17533624637510006,0.23231989222620253,0.31680335218500005,,,,,,,,,,,,,
PKIS2,exact_identity_and_same_Murcko_scaffold_excluded_reference,645,21,rank_normal_before_center,0.20244903512551304,0.007299635018249088,0.15000940396366136,0.19774479829591432,0.2804034519107542,,,,,,,,,,,,,
PKIS1,exact_identity_and_same_Murcko_scaffold_excluded_reference,360,20,raw,-0.15919991951956683,0.8700564971751412,-0.19329925360597117,-0.16266469868241057,-0.1044903640770874,,,,,,,,,,,,,
PKIS1,exact_identity_and_same_Murcko_scaffold_excluded_reference,360,20,center_then_correlation,0.17193157413603818,0.027548622568871556,0.10565915472676218,0.15905152758777932,0.2755345957232343,,,,,,,,0.1716236490003368,0.00030792513570138125,0.4683265836708165,0.331131493655605,0.02129893505324734,
PKIS1,exact_identity_and_same_Murcko_scaffold_excluded_reference,360,20,z_before_center,0.20120895607255485,0.016899155042247888,0.12336621307029544,0.1945340437276502,0.3340749274005808,,,,,,,,,,,,,
PKIS1,exact_identity_and_same_Murcko_scaffold_excluded_reference,360,20,rank_normal_before_center,0.18022805705362888,0.02454877256137193,0.11579427364581084,0.17228982168142656,0.2773033815729474,,,,,,,,,,,,,
DAVIS,molecule_matched_experimental_sensitivity,59,21,raw,0.09793872876935984,0.2127893605319734,0.036545989756240516,0.09506926128584989,0.1780445879095645,,,,,,,,,,,,,
DAVIS,molecule_matched_experimental_sensitivity,59,21,center_then_correlation,0.29979882925754714,0.0033498325083745812,0.25150222852069093,0.2932208356843243,0.37646209765250827,0.20375920412837348,0.367844881484193,0.2061082045916169,0.3641255227685758,0.20426945217416656,0.36402658952421973,,0.2907490613651751,0.009049767892372051,0.4038298085095745,0.20186010048818728,0.06449677516124194,
DAVIS,molecule_matched_experimental_sensitivity,59,21,z_before_center,0.29681981774773,0.001399930003499825,0.2502022945671334,0.28948899298857966,0.39101505946366794,,,,,,,,,,,,,
DAVIS,molecule_matched_experimental_sensitivity,59,21,rank_normal_before_center,0.32689500571765473,0.0011499425028748563,0.2776041324952871,0.31994208907959254,0.42789259361317783,,,,,,,,,,,,,
PKIS2,molecule_matched_experimental_sensitivity,154,21,raw,-0.1051096072797245,0.7953102344882755,-0.16908676578006973,-0.10779216802914793,-0.053849282893096616,,,,,,,,,,,,,
PKIS2,molecule_matched_experimental_sensitivity,154,21,center_then_correlation,0.3291639266196512,0.002199890005499725,0.27504100565550005,0.32279039658483033,0.4229220520760891,0.2457857159054465,0.380895517553038,0.24008458241683484,0.38510727486531926,0.23607043243610967,0.38803931414058623,,0.30885896343616476,0.020304963183486457,0.29893505324733766,0.43427353389937573,0.00519974001299935,
PKIS2,molecule_matched_experimental_sensitivity,154,21,z_before_center,0.2592744247521,0.002599870006499675,0.20039015514353073,0.25974272504997226,0.35714679368578517,,,,,,,,,,,,,
PKIS2,molecule_matched_experimental_sensitivity,154,21,rank_normal_before_center,0.2174244313930021,0.005299735013249337,0.15792273003625992,0.22504166174598805,0.28844624650631817,,,,,,,,,,,,,
